Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000899,11.025,[10  2] ; [ 6 18],[5.33333333 6.66666667] ; [10.66666667 13.33333333],1
r2,1,0.006374,7.441271,[10  2] ; [ 8 15],[6.17142857 5.82857143] ; [11.82857143 11.17142857],0
p8,1,0.06092,3.512149,[7 5] ; [ 6 17],[4.45714286 7.54285714] ; [ 8.54285714 14.45714286],0
d5,1,0.10247,2.666667,[11  1] ; [16  8],[9. 3.] ; [18.  6.],0
n5,1,0.133614,2.25,[6 6] ; [18  6],[8. 4.] ; [16.  8.],0
v1,1,0.174196,1.846454,[ 2 10] ; [ 9 14],[3.77142857 8.22857143] ; [ 7.22857143 15.77142857],0
s3,1,0.181423,1.78593,[7 5] ; [ 8 15],[5.14285714 6.85714286] ; [ 9.85714286 13.14285714],0
a5,1,0.219901,1.505017,[6 6] ; [17  7],[7.66666667 4.33333333] ; [15.33333333  8.66666667],0
p4,1,0.226765,1.461039,[3 9] ; [11 13],[4.66666667 7.33333333] ; [ 9.33333333 14.66666667],0
d4,1,0.233614,1.418719,[11  1] ; [18  6],[9.66666667 2.33333333] ; [19.33333333  4.66666667],0
b5,1,0.23568,1.40625,[5 7] ; [15  9],[6.66666667 5.33333333] ; [13.33333333 10.66666667],0
v2,1,0.237867,1.393189,[8 4] ; [11 13],[6.33333333 5.66666667] ; [12.66666667 11.33333333],0
p2,1,0.282864,1.153276,[9 3] ; [13 10],[7.54285714 4.45714286] ; [14.45714286  8.54285714],0
n4,1,0.326379,0.963211,[9 3] ; [14 10],[7.66666667 4.33333333] ; [15.33333333  8.66666667],0
a8,1,0.338352,0.916667,[3 8] ; [ 3 19],[2. 9.] ; [ 4. 18.],0
p9,1,0.338574,0.915825,[10  2] ; [15  7],[8.82352941 3.17647059] ; [16.17647059  5.82352941],0
b2,1,0.343709,0.896547,[3 4] ; [ 4 13],[2.04166667 4.95833333] ; [ 4.95833333 12.04166667],0
b3,1,0.343709,0.896547,[3 4] ; [ 4 13],[2.04166667 4.95833333] ; [ 4.95833333 12.04166667],0
a7,1,0.345033,0.891641,[7 5] ; [10 14],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
s2,1,0.376363,0.782547,[ 2 10] ; [ 7 16],[3.08571429 8.91428571] ; [ 5.91428571 17.08571429],0
n1,1,0.386916,0.748611,[2 1] ; [3 5],[1.36363636 1.63636364] ; [3.63636364 4.36363636],0
b4,1,0.414216,0.666667,[8 4] ; [19  5],[9. 3.] ; [18.  6.],0
s8,1,0.453255,0.5625,[5 7] ; [ 7 17],[4. 8.] ; [ 8. 16.],0
s6,1,0.477688,0.504137,[6 5] ; [10 14],[5.02857143 5.97142857] ; [10.97142857 13.02857143],0
d1,1,0.4795,0.5,[7 5] ; [11 13],[6. 6.] ; [12. 12.],0
p5,1,0.495521,0.464516,[ 1 11] ; [ 4 20],[ 1.66666667 10.33333333] ; [ 3.33333333 20.66666667],0
s4,1,0.495521,0.464516,[ 1 11] ; [ 4 20],[ 1.66666667 10.33333333] ; [ 3.33333333 20.66666667],0
n6,1,0.528708,0.396873,[10  2] ; [17  6],[9.25714286 2.74285714] ; [17.74285714  5.25714286],0
p12,1,0.560133,0.339474,[ 1 10] ; [ 1 23],[ 0.62857143 10.37142857] ; [ 1.37142857 22.62857143],0
p3,1,0.608874,0.261818,[3 9] ; [ 8 16],[3.66666667 8.33333333] ; [ 7.33333333 16.66666667],0
n2,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
a4,1,0.628745,0.233766,[4 8] ; [10 14],[4.66666667 7.33333333] ; [ 9.33333333 14.66666667],0
d3,1,0.636831,0.22291,[7 5] ; [12 12],[6.33333333 5.66666667] ; [12.66666667 11.33333333],0
u2,1,0.665006,0.1875,[1 3] ; [3 5],[1.33333333 2.66666667] ; [2.66666667 5.33333333],0
s5,1,0.673633,0.177381,[3 8] ; [ 5 19],[2.51428571 8.48571429] ; [ 5.48571429 18.51428571],0
v3,1,0.765875,0.08867,[ 2 10] ; [ 5 19],[2.33333333 9.66666667] ; [ 4.66666667 19.33333333],0
d2,1,0.812524,0.05625,[7 5] ; [13 11],[6.66666667 5.33333333] ; [13.33333333 10.66666667],0
b1,1,0.813381,0.055728,[6 6] ; [11 13],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
p6,1,0.827375,0.047554,[3 9] ; [ 5 18],[2.74285714 9.25714286] ; [ 5.25714286 17.74285714],0
s7,1,0.859748,0.031221,[4 8] ; [ 8 14],[4.23529412 7.76470588] ; [ 7.76470588 14.23529412],0
p10,1,0.931673,0.007351,[8 4] ; [15  8],[7.88571429 4.11428571] ; [15.11428571  7.88571429],0
u3,1,1.0,0.0,[1 3] ; [2 6],[1. 3.] ; [2. 6.],0
a6,1,1.0,0.0,[6 6] ; [12 12],[6. 6.] ; [12. 12.],0
p7,1,1.0,0.0,[5 7] ; [10 14],[5. 7.] ; [10. 14.],0
a3,1,1.0,0.0,[8 4] ; [16  8],[8. 4.] ; [16.  8.],0
