Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-05,19.423054,[108  34] ; [48 51],[91.91701245 50.08298755] ; [64.08298755 34.91701245],1
s7,1,0.000322,12.936329,[54 78] ; [17 76],[41.65333333 90.34666667] ; [29.34666667 63.65333333],1
v1,1,0.001047,10.742677,[92 49] ; [43 55],[79.64435146 61.35564854] ; [55.35564854 42.64435146],0
v3,1,0.00219,9.38271,[64 76] ; [25 71],[52.79661017 87.20338983] ; [36.20338983 59.79661017],0
u1,1,0.006256,7.475023,[ 30 112] ; [ 8 91],[ 22.39004149 119.60995851] ; [15.60995851 83.39004149],0
p5,1,0.012526,6.234913,[ 26 116] ; [ 7 92],[ 19.4439834 122.5560166] ; [13.5560166 85.4439834],0
v2,1,0.017084,5.687701,[91 49] ; [48 49],[82.10970464 57.89029536] ; [56.89029536 40.10970464],0
p8,1,0.018342,5.563172,[104  36] ; [58 39],[95.69620253 44.30379747] ; [66.30379747 30.69620253],0
a5,1,0.022273,5.224343,[112  30] ; [65 34],[104.29045643  37.70954357] ; [72.70954357 26.29045643],0
p9,1,0.022353,5.218105,[124  16] ; [76 22],[117.64705882  22.35294118] ; [82.35294118 15.64705882],0
r4,1,0.024581,5.053184,[133   9] ; [84 15],[127.85892116  14.14107884] ; [89.14107884  9.85892116],0
r2,1,0.041452,4.157458,[133   8] ; [85 13],[128.61087866  12.38912134] ; [89.38912134  8.61087866],0
p6,1,0.042534,4.113839,[71 68] ; [37 61],[63.34177215 75.65822785] ; [44.65822785 53.34177215],0
r1,1,0.044114,4.052177,[117  25] ; [70 28],[110.64166667  31.35833333] ; [76.35833333 21.64166667],0
n5,1,0.046642,3.958265,[109  32] ; [65 34],[102.225  38.775] ; [71.775 27.225],0
p10,1,0.052976,3.744681,[123  18] ; [77 22],[117.5  23.5] ; [82.5 16.5],0
s8,1,0.056665,3.632413,[49 91] ; [23 75],[42.35294118 97.64705882] ; [29.64705882 68.35294118],0
s5,1,0.059548,3.549927,[43 98] ; [19 78],[ 36.73109244 104.26890756] ; [25.26890756 71.73109244],0
a6,1,0.062273,3.475798,[101  41] ; [59 40],[94.27385892 47.72614108] ; [65.72614108 33.27385892],0
n4,1,0.068194,3.32596,[111  31] ; [67 32],[104.87966805  37.12033195] ; [73.12033195 25.87966805],0
a2,1,0.087937,2.911745,[ 36 106] ; [16 83],[ 30.63900415 111.36099585] ; [21.36099585 77.63900415],0
a1,1,0.094722,2.792227,[  7 135] ; [ 1 98],[  4.71369295 137.28630705] ; [ 3.28630705 95.71369295],0
a7,1,0.106737,2.601884,[109  33] ; [66 32],[103.54166667  38.45833333] ; [71.45833333 26.54166667],0
u3,1,0.161676,1.958481,[23 18] ; [14 21],[19.96052632 21.03947368] ; [17.03947368 17.96052632],0
p12,1,0.171124,1.873069,[ 10 131] ; [ 3 96],[  7.6375 133.3625] ; [ 5.3625 93.6375],0
b2,1,0.175151,1.838298,[35 55] ; [15 39],[31.25 58.75] ; [18.75 35.25],0
b3,1,0.175151,1.838298,[35 55] ; [15 39],[31.25 58.75] ; [18.75 35.25],0
a4,1,0.197573,1.660225,[63 78] ; [36 63],[58.1625 82.8375] ; [40.8375 58.1625],0
d3,1,0.222416,1.488717,[100  42] ; [61 36],[95.65690377 46.34309623] ; [65.34309623 31.65690377],0
b4,1,0.222882,1.485719,[69 73] ; [56 43],[73.65145228 68.34854772] ; [51.34854772 47.65145228],0
b1,1,0.236637,1.400518,[58 84] ; [33 66],[53.61825726 88.38174274] ; [37.38174274 61.61825726],0
a3,1,0.250457,1.320751,[101  40] ; [64 35],[96.9375 44.0625] ; [68.0625 30.9375],0
n2,1,0.319096,0.992647,[15  5] ; [21 13],[13.33333333  6.66666667] ; [22.66666667 11.33333333],0
n6,1,0.320213,0.988075,[122  19] ; [81 18],[119.2625  21.7375] ; [83.7375 15.2625],0
d4,1,0.32826,0.95575,[115  27] ; [75 24],[111.95020747  30.04979253] ; [78.04979253 20.95020747],0
b5,1,0.417671,0.656859,[83 59] ; [63 36],[86.02489627 55.97510373] ; [59.97510373 39.02489627],0
d1,1,0.448982,0.57322,[83 59] ; [53 46],[80.13278008 61.86721992] ; [55.86721992 43.13278008],0
