Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.7e-05,17.036424,[26  9] ; [ 79 134],[14.81854839 20.18145161] ; [ 90.18145161 122.81854839],1
p5,1,4.5e-05,16.637509,[10 27] ; [ 13 201],[ 3.39043825 33.60956175] ; [ 19.60956175 194.39043825],1
p12,1,0.007449,7.161388,[ 5 32] ; [  7 205],[ 1.78313253 35.21686747] ; [ 10.21686747 201.78313253],0
r1,1,0.007635,7.117105,[31  6] ; [130  83],[23.828 13.172] ; [137.172  75.828],0
s3,1,0.012058,6.30237,[ 3 33] ; [ 59 152],[ 9.03643725 26.96356275] ; [ 52.96356275 158.03643725],0
s7,1,0.012181,6.284276,[14 20] ; [ 43 159],[ 8.21186441 25.78813559] ; [ 48.78813559 153.21186441],0
p6,1,0.042889,4.099778,[13 23] ; [ 44 168],[ 8.27419355 27.72580645] ; [ 48.72580645 163.27419355],0
d2,1,0.044422,4.040463,[10 27] ; [ 30 185],[ 5.87301587 31.12698413] ; [ 34.12698413 180.87301587],0
p7,1,0.045595,3.996496,[25 12] ; [104 105],[19.40243902 17.59756098] ; [109.59756098  99.40243902],0
b5,1,0.052909,3.746785,[15 22] ; [124  91],[20.40873016 16.59126984] ; [118.59126984  96.40873016],0
r4,1,0.064537,3.416775,[32  5] ; [155  60],[27.45634921  9.54365079] ; [159.54365079  55.45634921],0
s4,1,0.104259,2.639161,[ 7 30] ; [ 21 193],[ 4.12749004 32.87250996] ; [ 23.87250996 190.12749004],0
s8,1,0.113266,2.508054,[10 26] ; [ 36 179],[ 6.59760956 29.40239044] ; [ 39.40239044 175.59760956],0
p4,1,0.123453,2.372961,[20 16] ; [ 89 124],[15.75903614 20.24096386] ; [ 93.24096386 119.75903614],0
a8,1,0.128274,2.313272,[ 6 30] ; [ 17 183],[ 3.50847458 32.49152542] ; [ 19.49152542 180.50847458],0
d4,1,0.16347,1.941829,[23 14] ; [107 108],[19.08730159 17.91269841] ; [110.91269841 104.08730159],0
p1,1,0.177334,1.81983,[ 5 32] ; [ 15 199],[ 2.94820717 34.05179283] ; [ 17.05179283 196.94820717],0
p10,1,0.192052,1.701803,[27  9] ; [134  76],[23.56097561 12.43902439] ; [137.43902439  72.56097561],0
n6,1,0.205985,1.599425,[30  7] ; [152  62],[26.82868526 10.17131474] ; [155.17131474  58.82868526],0
v2,1,0.236318,1.402424,[19 18] ; [ 83 120],[15.725 21.275] ; [ 86.275 116.725],0
v3,1,0.261369,1.261489,[13 24] ; [ 55 155],[10.18623482 26.81376518] ; [ 57.81376518 152.18623482],0
p3,1,0.26241,1.256,[17 20] ; [ 78 137],[13.9484127 23.0515873] ; [ 81.0515873 133.9484127],0
a1,1,0.300782,1.070723,[ 3 34] ; [  9 206],[ 1.76190476 35.23809524] ; [ 10.23809524 204.76190476],0
v4,1,0.314727,1.010733,[33  3] ; [182  31],[31.08433735  4.91566265] ; [183.91566265  29.08433735],0
p11,1,0.337409,0.92025,[29  8] ; [152  63],[26.57539683 10.42460317] ; [154.42460317  60.57539683],0
p2,1,0.355054,0.855311,[30  7] ; [159  56],[27.75  9.25] ; [161.25  53.75],0
v1,1,0.36771,0.811388,[12 23] ; [ 89 121],[14.42857143 20.57142857] ; [ 86.57142857 123.42857143],0
r3,1,0.384421,0.756518,[33  4] ; [178  35],[31.228  5.772] ; [179.772  33.228],0
