Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,25.822214,[14 22] ; [72 13],[25.58677686 10.41322314] ; [60.41322314 24.58677686],1
d3,1,2.4e-05,17.857143,[14 22] ; [66 18],[24. 12.] ; [56. 28.],1
d5,1,0.000201,13.825805,[19 17] ; [72 13],[27.07438017  8.92561983] ; [63.92561983 21.07438017],1
r2,1,0.000706,11.474092,[25 10] ; [79  5],[30.58823529  4.41176471] ; [73.41176471 10.58823529],1
d4,1,0.001175,10.528733,[20 15] ; [72 13],[26.83333333  8.16666667] ; [65.16666667 19.83333333],0
r3,1,0.003482,8.536155,[28  8] ; [80  4],[32.4  3.6] ; [75.6  8.4],0
r4,1,0.0063,7.462474,[23 13] ; [73 12],[28.56198347  7.43801653] ; [67.43801653 17.56198347],0
b1,1,0.012765,6.201363,[25 11] ; [38 47],[18.74380165 17.25619835] ; [44.25619835 40.74380165],0
p9,1,0.037292,4.337048,[21 15] ; [64 19],[25.71428571 10.28571429] ; [59.28571429 23.71428571],0
d1,1,0.042708,4.106921,[11 25] ; [43 42],[16.0661157 19.9338843] ; [37.9338843 47.0661157],0
a5,1,0.073276,3.208063,[17 19] ; [55 30],[21.4214876 14.5785124] ; [50.5785124 34.4214876],0
u3,1,0.078127,3.103448,[8 8] ; [22  7],[10.66666667  5.33333333] ; [19.33333333  9.66666667],0
r1,1,0.092208,2.835396,[23 13] ; [66 18],[26.7  9.3] ; [62.3 21.7],0
u1,1,0.115934,2.471405,[ 1 35] ; [10 75],[ 3.27272727 32.72727273] ; [ 7.72727273 77.27272727],0
s8,1,0.144215,2.132398,[ 9 27] ; [33 52],[12.49586777 23.50413223] ; [29.50413223 55.49586777],0
n2,1,0.146676,2.106481,[13  2] ; [13  7],[11.14285714  3.85714286] ; [14.85714286  5.14285714],0
s4,1,0.153871,2.033448,[10 26] ; [14 71],[ 7.14049587 28.85950413] ; [16.85950413 68.14049587],0
s1,1,0.168268,1.898307,[ 2 34] ; [ 1 81],[ 0.91525424 35.08474576] ; [ 2.08474576 79.91525424],0
p10,1,0.168939,1.892337,[20 16] ; [57 26],[23.29411765 12.70588235] ; [53.70588235 29.29411765],0
d2,1,0.182782,1.774861,[16 20] ; [27 58],[12.79338843 23.20661157] ; [30.20661157 54.79338843],0
a2,1,0.188107,1.732383,[ 3 33] ; [15 70],[ 5.3553719 30.6446281] ; [12.6446281 72.3553719],0
s5,1,0.200549,1.638374,[11 25] ; [16 65],[ 8.30769231 27.69230769] ; [18.69230769 62.30769231],0
v2,1,0.225818,1.467012,[13 21] ; [40 39],[15.94690265 18.05309735] ; [37.05309735 41.94690265],0
s3,1,0.239617,1.382846,[22 14] ; [41 42],[19.05882353 16.94117647] ; [43.94117647 39.05882353],0
b4,1,0.245463,1.348944,[24 12] ; [47 38],[21.12396694 14.87603306] ; [49.87603306 35.12396694],0
v4,1,0.251802,1.313277,[29  4] ; [80  5],[30.48305085  2.51694915] ; [78.51694915  6.48305085],0
p7,1,0.290394,1.117792,[24 12] ; [45 35],[21.4137931 14.5862069] ; [47.5862069 32.4137931],0
n5,1,0.334646,0.930834,[18 18] ; [34 50],[15.6 20.4] ; [36.4 47.6],0
a3,1,0.34316,0.898589,[20 16] ; [55 30],[22.31404959 13.68595041] ; [52.68595041 32.31404959],0
b2,1,0.367724,0.811342,[ 4 19] ; [12 32],[ 5.49253731 17.50746269] ; [10.50746269 33.49253731],0
b3,1,0.367724,0.811342,[ 4 19] ; [12 32],[ 5.49253731 17.50746269] ; [10.50746269 33.49253731],0
n3,1,0.371776,0.797721,[10  5] ; [16  4],[11.14285714  3.85714286] ; [14.85714286  5.14285714],0
v1,1,0.404538,0.694795,[19 17] ; [36 45],[16.92307692 19.07692308] ; [38.07692308 42.92307692],0
n4,1,0.435224,0.608844,[21 15] ; [43 42],[19.04132231 16.95867769] ; [44.95867769 40.04132231],0
p6,1,0.437199,0.603623,[11 23] ; [21 62],[ 9.2991453 24.7008547] ; [22.7008547 60.2991453],0
s7,1,0.465216,0.533315,[13 19] ; [27 54],[11.32743363 20.67256637] ; [28.67256637 52.32743363],0
v3,1,0.49847,0.458192,[ 7 27] ; [21 58],[ 8.42477876 25.57522124] ; [19.57522124 59.42477876],0
b5,1,0.529809,0.394757,[22 14] ; [57 28],[23.50413223 12.49586777] ; [55.49586777 29.50413223],0
a8,1,0.58302,0.301377,[ 2 31] ; [ 7 69],[ 2.72477064 30.27522936] ; [ 6.27522936 69.72477064],0
p1,1,0.631827,0.229592,[ 3 33] ; [ 5 79],[ 2.4 33.6] ; [ 5.6 78.4],0
p11,1,0.642193,0.215885,[23 13] ; [58 27],[24.09917355 11.90082645] ; [56.90082645 28.09917355],0
s2,1,0.653494,0.201524,[13 23] ; [34 50],[14.1 21.9] ; [32.9 51.1],0
n1,1,0.655667,0.19883,[ 5 10] ; [ 5 14],[ 4.41176471 10.58823529] ; [ 5.58823529 13.41176471],0
u2,1,0.668999,0.182775,[12  4] ; [20  9],[11.37777778  4.62222222] ; [20.62222222  8.37777778],0
p4,1,0.734945,0.114619,[17 19] ; [43 42],[17.85123967 18.14876033] ; [42.14876033 42.85123967],0
