Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000983,10.859195,[54 11] ; [92 61],[43.53211009 21.46788991] ; [102.46788991  50.53211009],1
s4,1,0.004298,8.153352,[17 47] ; [ 17 136],[10.02764977 53.97235023] ; [ 23.97235023 129.02764977],0
s2,1,0.004369,8.123628,[42 22] ; [67 84],[32.44651163 31.55348837] ; [76.55348837 74.44651163],0
s7,1,0.005262,7.78721,[40 23] ; [62 84],[30.74641148 32.25358852] ; [71.25358852 74.74641148],0
a5,1,0.006923,7.292873,[55 10] ; [102  51],[46.81192661 18.18807339] ; [110.18807339  42.81192661],0
n1,1,0.008449,6.935705,[10 10] ; [ 7 33],[ 5.66666667 14.33333333] ; [11.33333333 28.66666667],0
d4,1,0.013567,6.093598,[60  4] ; [123  30],[53.97235023 10.02764977] ; [129.02764977  23.97235023],0
s8,1,0.014822,5.937514,[34 31] ; [ 53 100],[25.94036697 39.05963303] ; [61.05963303 91.94036697],0
p3,1,0.063673,3.439021,[30 35] ; [ 50 102],[23.96313364 41.03686636] ; [56.03686636 95.96313364],0
p5,1,0.06578,3.385307,[ 6 59] ; [  5 148],[ 3.27981651 61.72018349] ; [  7.72018349 145.27981651],0
d2,1,0.068513,3.318287,[37 26] ; [69 84],[30.91666667 32.08333333] ; [75.08333333 77.91666667],0
d5,1,0.072061,3.235429,[60  5] ; [127  26],[55.75688073  9.24311927] ; [131.24311927  21.75688073],0
a3,1,0.087064,2.927841,[52 13] ; [105  48],[46.81192661 18.18807339] ; [110.18807339  42.81192661],0
s3,1,0.111622,2.531108,[37 25] ; [72 79],[31.72769953 30.27230047] ; [77.27230047 73.72769953],0
p12,1,0.115881,2.472129,[ 6 59] ; [  6 147],[ 3.57798165 61.42201835] ; [  8.42201835 144.57798165],0
r1,1,0.119666,2.421685,[56  8] ; [120  33],[51.9078341 12.0921659] ; [124.0921659  28.9078341],0
p11,1,0.138509,2.19445,[42 23] ; [114  39],[46.51376147 18.48623853] ; [109.48623853  43.51376147],0
v3,1,0.154942,2.022906,[25 39] ; [74 75],[29.74647887 34.25352113] ; [69.25352113 79.74647887],0
a7,1,0.160715,1.967485,[44 20] ; [119  34],[48.07373272 15.92626728] ; [114.92626728  38.07373272],0
r2,1,0.166178,1.917086,[60  2] ; [139  13],[57.65420561  4.34579439] ; [141.34579439  10.65420561],0
a2,1,0.181128,1.788348,[20 45] ; [ 34 119],[16.10091743 48.89908257] ; [ 37.89908257 115.10091743],0
a4,1,0.224395,1.47604,[33 32] ; [64 89],[28.92201835 36.07798165] ; [68.07798165 84.92201835],0
u1,1,0.233348,1.420337,[17 48] ; [ 29 124],[13.71559633 51.28440367] ; [ 32.28440367 120.71559633],0
p4,1,0.260592,1.265607,[33 32] ; [65 88],[29.22018349 35.77981651] ; [68.77981651 84.22018349],0
u3,1,0.26952,1.219186,[9 4] ; [25 23],[7.24590164 5.75409836] ; [26.75409836 21.24590164],0
n2,1,0.332922,0.9375,[15  5] ; [25 15],[13.33333333  6.66666667] ; [26.66666667 13.33333333],0
n5,1,0.33687,0.922308,[40 23] ; [106  45],[42.98130841 20.01869159] ; [103.01869159  47.98130841],0
b1,1,0.346155,0.887501,[26 39] ; [ 51 102],[22.9587156 42.0412844] ; [54.0412844 98.9587156],0
b4,1,0.354124,0.858625,[43 22] ; [91 62],[39.95412844 25.04587156] ; [94.04587156 58.95412844],0
r3,1,0.378543,0.77543,[62  1] ; [147   6],[60.95833333  2.04166667] ; [148.04166667   4.95833333],0
d1,1,0.393943,0.726735,[41 24] ; [87 66],[38.16513761 26.83486239] ; [89.83486239 63.16513761],0
