Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000913,10.995775,[103  27] ; [157  94],[88.71391076 41.28608924] ; [171.28608924  79.71391076],1
s5,1,0.002559,9.097701,[46 82] ; [ 53 194],[33.792 94.208] ; [ 65.208 181.792],0
v3,1,0.002688,9.008269,[ 31 100] ; [ 29 217],[ 20.84880637 110.15119363] ; [ 39.15119363 206.84880637],0
p10,1,0.002804,8.930818,[102  28] ; [158  91],[89.18205805 40.81794195] ; [170.81794195  78.18205805],0
p9,1,0.007031,7.264918,[106  25] ; [167  79],[94.86206897 36.13793103] ; [178.13793103  67.86206897],0
s6,1,0.009217,6.780254,[85 45] ; [128 121],[73.06068602 56.93931398] ; [139.93931398 109.06068602],0
a5,1,0.009842,6.663327,[94 38] ; [145 106],[82.37075718 49.62924282] ; [156.62924282  94.37075718],0
p4,1,0.011588,6.37289,[76 56] ; [110 140],[64.27225131 67.72774869] ; [121.72774869 128.27225131],0
a3,1,0.018053,5.590968,[92 38] ; [146 104],[81.42105263 48.57894737] ; [156.57894737  93.42105263],0
p7,1,0.019066,5.495418,[81 50] ; [121 125],[70.19098143 60.80901857] ; [131.80901857 114.19098143],0
r4,1,0.021996,5.246075,[114  18] ; [192  59],[105.46214099  26.53785901] ; [200.53785901  50.46214099],0
p8,1,0.022724,5.189511,[66 65] ; [ 96 155],[55.55497382 75.44502618] ; [106.44502618 144.55497382],0
r2,1,0.028387,4.804383,[124   8] ; [213  33],[117.68253968  14.31746032] ; [219.31746032  26.68253968],0
s8,1,0.029149,4.758763,[52 79] ; [ 72 179],[42.52356021 88.47643979] ; [ 81.47643979 169.52356021],0
n5,1,0.047302,3.934631,[98 34] ; [160  89],[89.38582677 42.61417323] ; [168.61417323  80.38582677],0
b3,1,0.049485,3.858817,[38 51] ; [42 98],[31.09170306 57.90829694] ; [48.90829694 91.09170306],0
b2,1,0.049485,3.858817,[38 51] ; [42 98],[31.09170306 57.90829694] ; [48.90829694 91.09170306],0
p3,1,0.056276,3.643872,[58 74] ; [ 85 165],[49.41361257 82.58638743] ; [ 93.58638743 156.41361257],0
n1,1,0.071987,3.237125,[16 15] ; [29 58],[11.8220339 19.1779661] ; [33.1779661 53.8220339],0
p12,1,0.075919,3.150172,[  7 124] ; [  5 245],[  4.12598425 126.87401575] ; [  7.87401575 242.12598425],0
n2,1,0.080678,3.051195,[25  6] ; [56 32],[21.10084034  9.89915966] ; [59.89915966 28.10084034],0
p11,1,0.121119,2.402792,[97 35] ; [165  86],[90.29765013 41.70234987] ; [171.70234987  79.29765013],0
p2,1,0.126978,2.329072,[107  25] ; [186  65],[100.98172324  31.01827676] ; [192.01827676  58.98172324],0
n4,1,0.132381,2.264363,[96 35] ; [165  86],[89.5052356 41.4947644] ; [171.4947644  79.5052356],0
u1,1,0.147806,2.09475,[ 21 111] ; [ 27 224],[ 16.54308094 115.45691906] ; [ 31.45691906 219.54308094],0
d5,1,0.157745,1.995715,[100  31] ; [173  76],[94.11315789 36.88684211] ; [178.88684211  70.11315789],0
s2,1,0.167228,1.907618,[60 70] ; [ 97 153],[53.71052632 76.28947368] ; [103.28947368 146.71052632],0
a2,1,0.17506,1.839066,[ 29 103] ; [ 41 210],[ 24.12532637 107.87467363] ; [ 45.87467363 205.12532637],0
u3,1,0.233853,1.417273,[25 15] ; [53 50],[21.81818182 18.18181818] ; [56.18181818 46.81818182],0
v4,1,0.240969,1.374918,[120  11] ; [220  31],[116.59685864  14.40314136] ; [223.40314136  27.59685864],0
a8,1,0.330189,0.948157,[ 17 104] ; [ 25 212],[ 14.19553073 106.80446927] ; [ 27.80446927 209.19553073],0
p1,1,0.34279,0.899968,[ 12 120] ; [ 16 233],[  9.7007874 122.2992126] ; [ 18.2992126 230.7007874],0
r3,1,0.365669,0.818329,[116  15] ; [213  37],[113.12073491  17.87926509] ; [215.87926509  34.12073491],0
a4,1,0.377298,0.779487,[56 74] ; [ 96 154],[52. 78.] ; [100. 150.],0
n3,1,0.388176,0.744647,[21  9] ; [52 33],[19.04347826 10.95652174] ; [53.95652174 31.04347826],0
