Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.411777,[16 18] ; [89 13],[26.25  7.75] ; [78.75 23.25],1
p2,1,0.000309,13.016758,[23 12] ; [93  9],[29.6350365  5.3649635] ; [86.3649635 15.6350365],1
b1,1,0.00149,10.090939,[22 13] ; [33 69],[14.05109489 20.94890511] ; [40.94890511 61.05109489],0
s1,1,0.002282,9.307678,[ 6 27] ; [ 3 99],[ 2.2 30.8] ; [ 6.8 95.2],0
n6,1,0.016355,5.764322,[23 11] ; [87 14],[27.7037037  6.2962963] ; [82.2962963 18.7037037],0
p7,1,0.017724,5.623249,[16 18] ; [69 30],[21.72932331 12.27067669] ; [63.27067669 35.72932331],0
a6,1,0.02389,5.102636,[16 18] ; [70 32],[21.5 12.5] ; [64.5 37.5],0
p8,1,0.074335,3.184611,[12 22] ; [53 47],[16.49253731 17.50746269] ; [48.50746269 51.49253731],0
p3,1,0.07509,3.168097,[14 21] ; [58 43],[18.52941176 16.47058824] ; [53.47058824 47.52941176],0
p9,1,0.099476,2.71392,[23 10] ; [83 17],[26.30075188  6.69924812] ; [79.69924812 20.30075188],0
u3,1,0.12471,2.357143,[5 6] ; [16  6],[7. 4.] ; [14.  8.],0
d5,1,0.141762,2.15873,[24 10] ; [84 18],[27.  7.] ; [81. 21.],0
d1,1,0.178147,1.813012,[16 19] ; [60 42],[19.41605839 15.58394161] ; [56.58394161 45.41605839],0
v1,1,0.188084,1.73256,[19 16] ; [41 58],[15.67164179 19.32835821] ; [44.32835821 54.67164179],0
v4,1,0.192385,1.69926,[30  5] ; [93  7],[31.88888889  3.11111111] ; [91.11111111  8.88888889],0
v2,1,0.252546,1.309165,[15 19] ; [56 45],[17.88148148 16.11851852] ; [53.11851852 47.88148148],0
v3,1,0.263642,1.249534,[ 9 24] ; [38 62],[11.66165414 21.33834586] ; [35.33834586 64.66165414],0
d2,1,0.275615,1.188588,[15 19] ; [56 46],[17.75 16.25] ; [53.25 48.75],0
a1,1,0.28104,1.162056,[ 3 32] ; [ 4 98],[ 1.78832117 33.21167883] ; [ 5.21167883 96.78832117],0
n5,1,0.284088,1.147429,[22 12] ; [75 26],[24.42962963  9.57037037] ; [72.57037037 28.42962963],0
s4,1,0.294009,1.101171,[11 24] ; [23 79],[ 8.68613139 26.31386861] ; [25.31386861 76.68613139],0
n4,1,0.300558,1.071719,[26  9] ; [84 18],[28.10218978  6.89781022] ; [81.89781022 20.10218978],0
p5,1,0.307881,1.039745,[ 2 33] ; [12 90],[ 3.57664234 31.42335766] ; [10.42335766 91.57664234],0
a3,1,0.350459,0.871795,[24 10] ; [80 22],[26.  8.] ; [78. 24.],0
s2,1,0.358028,0.844799,[23 12] ; [58 44],[20.69343066 14.30656934] ; [60.30656934 41.69343066],0
d4,1,0.37095,0.80048,[26  8] ; [85 17],[27.75  6.25] ; [83.25 18.75],0
u2,1,0.372957,0.793788,[5 6] ; [13  8],[6.1875 4.8125] ; [11.8125  9.1875],0
r4,1,0.373966,0.790444,[28  7] ; [88 14],[29.6350365  5.3649635] ; [86.3649635 15.6350365],0
s6,1,0.407431,0.686286,[26  8] ; [69 31],[24.10447761  9.89552239] ; [70.89552239 29.10447761],0
r3,1,0.408058,0.684452,[31  3] ; [96  5],[31.98518519  2.01481481] ; [95.01481481  5.98518519],0
p4,1,0.424494,0.637839,[20 15] ; [66 36],[21.97080292 13.02919708] ; [64.02919708 37.97080292],0
n1,1,0.433273,0.614035,[8 8] ; [ 7 12],[6.85714286 9.14285714] ; [ 8.14285714 10.85714286],0
r2,1,0.441189,0.593188,[32  3] ; [95  5],[32.92592593  2.07407407] ; [94.07407407  5.92592593],0
s5,1,0.451727,0.566316,[10 22] ; [39 62],[11.78947368 20.21052632] ; [37.21052632 63.78947368],0
b5,1,0.469105,0.524083,[21 14] ; [54 48],[19.16058394 15.83941606] ; [55.83941606 46.16058394],0
a7,1,0.494765,0.466146,[24 11] ; [76 26],[25.54744526  9.45255474] ; [74.45255474 27.54744526],0
a5,1,0.494765,0.466146,[24 11] ; [76 26],[25.54744526  9.45255474] ; [74.45255474 27.54744526],0
n2,1,0.497378,0.460526,[12  4] ; [16  3],[12.8  3.2] ; [15.2  3.8],0
p1,1,0.517356,0.419161,[ 4 31] ; [ 8 94],[ 3.06569343 31.93430657] ; [ 8.93430657 93.06569343],0
a8,1,0.572843,0.317949,[ 4 27] ; [16 77],[ 5. 26.] ; [15. 78.],0
r1,1,0.68083,0.169194,[27  8] ; [82 20],[27.84671533  7.15328467] ; [81.15328467 20.84671533],0
s3,1,0.695328,0.153378,[23 12] ; [62 38],[22.03703704 12.96296296] ; [62.96296296 37.03703704],0
a2,1,0.756709,0.095979,[ 9 26] ; [29 73],[ 9.7080292 25.2919708] ; [28.2919708 73.7080292],0
b4,1,0.782302,0.076353,[20 15] ; [61 41],[20.69343066 14.30656934] ; [60.30656934 41.69343066],0
n3,1,0.799681,0.064394,[10  6] ; [12  6],[10.35294118  5.64705882] ; [11.64705882  6.35294118],0
d3,1,0.825353,0.048693,[24 10] ; [74 28],[24.5  9.5] ; [73.5 28.5],0
a4,1,0.956638,0.002956,[17 18] ; [49 53],[16.86131387 18.13868613] ; [49.13868613 52.86131387],0
u1,1,0.959864,0.002533,[ 7 28] ; [20 82],[ 6.89781022 28.10218978] ; [20.10218978 81.89781022],0
p6,1,0.968703,0.001539,[13 21] ; [39 62],[13.0962963 20.9037037] ; [38.9037037 62.0962963],0
b3,1,0.990123,0.000153,[ 6 11] ; [26 48],[ 5.97802198 11.02197802] ; [26.02197802 47.97802198],0
b2,1,0.990123,0.000153,[ 6 11] ; [26 48],[ 5.97802198 11.02197802] ; [26.02197802 47.97802198],0
