Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000229,13.575606,[ 1 17] ; [6 2],[ 4.84615385 13.15384615] ; [2.15384615 5.84615385],1
n5,1,0.00037,12.67837,[31  4] ; [11 13],[24.91525424 10.08474576] ; [17.08474576  6.91525424],1
d2,1,0.019332,5.47123,[19 15] ; [ 6 18],[14.65517241 19.34482759] ; [10.34482759 13.65517241],0
p2,1,0.032275,4.583841,[ 9 25] ; [13 11],[12.89655172 21.10344828] ; [ 9.10344828 14.89655172],0
a1,1,0.049825,3.847331,[ 8 27] ; [ 1 23],[ 5.33898305 29.66101695] ; [ 3.66101695 20.33898305],0
d4,1,0.056251,3.644604,[16 19] ; [17  7],[19.57627119 15.42372881] ; [13.42372881 10.57627119],0
s7,1,0.061129,3.506494,[ 3 30] ; [ 6 15],[ 5.5 27.5] ; [ 3.5 17.5],0
p4,1,0.089017,2.892066,[ 6 28] ; [ 9 15],[ 8.79310345 25.20689655] ; [ 6.20689655 17.79310345],0
p7,1,0.110926,2.540975,[ 7 25] ; [10 14],[ 9.71428571 22.28571429] ; [ 7.28571429 16.71428571],0
r2,1,0.147144,2.101612,[24  9] ; [13 11],[21.42105263 11.57894737] ; [15.57894737  8.42105263],0
s1,1,0.147812,2.094692,[ 1 34] ; [ 3 21],[ 2.37288136 32.62711864] ; [ 1.62711864 22.37288136],0
p11,1,0.222483,1.48828,[ 8 27] ; [ 9 15],[10.08474576 24.91525424] ; [ 6.91525424 17.08474576],0
d1,1,0.231827,1.429615,[14 21] ; [ 6 18],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
p8,1,0.232497,1.425521,[ 7 27] ; [ 8 15],[ 8.94736842 25.05263158] ; [ 6.05263158 16.94736842],0
a5,1,0.242777,1.364395,[20 15] ; [10 14],[17.79661017 17.20338983] ; [12.20338983 11.79661017],0
v4,1,0.244604,1.35386,[18 17] ; [16  8],[20.16949153 14.83050847] ; [13.83050847 10.16949153],0
v1,1,0.247927,1.334949,[ 7 28] ; [ 8 16],[ 8.89830508 26.10169492] ; [ 6.10169492 17.89830508],0
a3,1,0.252659,1.30854,[17 16] ; [16  8],[19.10526316 13.89473684] ; [13.89473684 10.10526316],0
p10,1,0.262728,1.254325,[12 22] ; [12 12],[14.06896552 19.93103448] ; [ 9.93103448 14.06896552],0
n1,1,0.267511,1.229464,[11  9] ; [5 9],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
d3,1,0.283297,1.151206,[14 21] ; [13 11],[16.01694915 18.98305085] ; [10.98305085 13.01694915],0
a6,1,0.291467,1.112835,[18 17] ; [ 9 15],[16.01694915 18.98305085] ; [10.98305085 13.01694915],0
b5,1,0.326223,0.963832,[13 22] ; [12 12],[14.83050847 20.16949153] ; [10.16949153 13.83050847],0
s5,1,0.331583,0.942705,[ 6 29] ; [ 2 22],[ 4.74576271 30.25423729] ; [ 3.25423729 20.74576271],0
p6,1,0.37649,0.782131,[ 2 32] ; [ 3 21],[ 2.93103448 31.06896552] ; [ 2.06896552 21.93103448],0
s6,1,0.377873,0.77761,[ 9 25] ; [ 4 20],[ 7.62068966 26.37931034] ; [ 5.37931034 18.62068966],0
b1,1,0.393248,0.728874,[21 14] ; [17  7],[22.54237288 12.45762712] ; [15.45762712  8.54237288],0
