Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,24.011162,[ 4 22] ; [21  4],[12.74509804 13.25490196] ; [12.25490196 12.74509804],1
a5,1,1.4e-05,18.833787,[ 5 21] ; [20  5],[12.74509804 13.25490196] ; [12.25490196 12.74509804],1
a4,1,0.000153,14.333729,[ 5 21] ; [18  7],[11.7254902 14.2745098] ; [11.2745098 13.7254902],1
d4,1,0.000554,11.924248,[14 12] ; [24  1],[19.37254902  6.62745098] ; [18.62745098  6.37254902],1
d3,1,0.000869,11.087881,[10 16] ; [21  4],[15.80392157 10.19607843] ; [15.19607843  9.80392157],1
a3,1,0.002986,8.81608,[ 9 17] ; [19  6],[14.2745098 11.7254902] ; [13.7254902 11.2745098],0
p4,1,0.005849,7.596216,[11 15] ; [20  5],[15.80392157 10.19607843] ; [15.19607843  9.80392157],0
p9,1,0.017463,5.649231,[ 8 18] ; [16  9],[12.23529412 13.76470588] ; [11.76470588 13.23529412],0
u1,1,0.017736,5.622089,[ 1 25] ; [ 7 18],[ 4.07843137 21.92156863] ; [ 3.92156863 21.07843137],0
p7,1,0.029351,4.746923,[21  5] ; [13 12],[17.33333333  8.66666667] ; [16.66666667  8.33333333],0
p1,1,0.036541,4.371683,[ 1 25] ; [ 6 19],[ 3.56862745 22.43137255] ; [ 3.43137255 21.56862745],0
n4,1,0.039281,4.248692,[15 11] ; [21  4],[18.35294118  7.64705882] ; [17.64705882  7.35294118],0
n6,1,0.072356,3.228738,[16 10] ; [21  4],[18.8627451  7.1372549] ; [18.1372549  6.8627451],0
u3,1,0.075529,3.158571,[ 7 10] ; [5 1],[8.86956522 8.13043478] ; [3.13043478 2.86956522],0
s8,1,0.083265,3.0,[ 7 18] ; [13 12],[10. 15.] ; [10. 15.],0
s7,1,0.115256,2.480625,[10 15] ; [15  9],[12.75510204 12.24489796] ; [12.24489796 11.75510204],0
s6,1,0.155969,2.012882,[11 14] ; [16  9],[13.5 11.5] ; [13.5 11.5],0
v2,1,0.159977,1.974441,[10 16] ; [14 10],[12.48 13.52] ; [11.52 12.48],0
n5,1,0.180091,1.796872,[14 12] ; [18  7],[16.31372549  9.68627451] ; [15.68627451  9.31372549],0
s3,1,0.200407,1.639408,[12 14] ; [16  9],[14.2745098 11.7254902] ; [13.7254902 11.2745098],0
p8,1,0.200407,1.639408,[12 14] ; [16  9],[14.2745098 11.7254902] ; [13.7254902 11.2745098],0
a8,1,0.26762,1.228905,[ 5 20] ; [ 2 21],[ 3.64583333 21.35416667] ; [ 3.35416667 19.64583333],0
p5,1,0.278923,1.172332,[ 1 25] ; [ 3 22],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
v3,1,0.362724,0.828441,[ 5 21] ; [ 7 16],[ 6.36734694 19.63265306] ; [ 5.63265306 17.36734694],0
n3,1,0.368688,0.808081,[8 3] ; [8 1],[8.8 2.2] ; [7.2 1.8],0
n1,1,0.462527,0.539773,[5 6] ; [5 3],[5.78947368 5.21052632] ; [4.21052632 3.78947368],0
b1,1,0.473089,0.514752,[13 13] ; [15 10],[14.2745098 11.7254902] ; [13.7254902 11.2745098],0
b5,1,0.475336,0.509546,[20  6] ; [17  8],[18.8627451  7.1372549] ; [18.1372549  6.8627451],0
s1,1,0.479782,0.499358,[ 1 25] ; [ 2 21],[ 1.59183673 24.40816327] ; [ 1.40816327 21.59183673],0
p11,1,0.492575,0.470896,[17  9] ; [14 11],[15.80392157 10.19607843] ; [15.19607843  9.80392157],0
s4,1,0.516601,0.420673,[ 5 21] ; [ 3 21],[ 4.16 21.84] ; [ 3.84 20.16],0
a1,1,0.528533,0.397212,[ 1 25] ; [ 2 23],[ 1.52941176 24.47058824] ; [ 1.47058824 23.52941176],0
u2,1,0.559847,0.33997,[9 8] ; [4 2],[9.60869565 7.39130435] ; [3.39130435 2.60869565],0
r3,1,0.57533,0.313846,[24  2] ; [24  1],[24.47058824  1.52941176] ; [23.52941176  1.47058824],0
r1,1,0.610764,0.259063,[17  9] ; [18  7],[17.84313725  8.15686275] ; [17.15686275  7.84313725],0
a7,1,0.629303,0.233007,[16 10] ; [17  8],[16.82352941  9.17647059] ; [16.17647059  8.82352941],0
s5,1,0.634499,0.22601,[ 4 18] ; [ 3 20],[ 3.42222222 18.57777778] ; [ 3.57777778 19.42222222],0
b4,1,0.667817,0.184167,[13 13] ; [14 11],[13.76470588 12.23529412] ; [13.23529412 11.76470588],0
s2,1,0.682979,0.166792,[11 15] ; [12 13],[11.7254902 14.2745098] ; [11.2745098 13.7254902],0
p3,1,0.682979,0.166792,[11 15] ; [12 13],[11.7254902 14.2745098] ; [11.2745098 13.7254902],0
b3,1,0.723155,0.12549,[8 8] ; [9 7],[8.5 7.5] ; [8.5 7.5],0
b2,1,0.723155,0.12549,[8 8] ; [9 7],[8.5 7.5] ; [8.5 7.5],0
p2,1,0.810755,0.057337,[19  7] ; [19  6],[19.37254902  6.62745098] ; [18.62745098  6.37254902],0
n2,1,0.822187,0.050505,[9 2] ; [7 2],[8.8 2.2] ; [7.2 1.8],0
a6,1,0.867057,0.028022,[15 11] ; [15 10],[15.29411765 10.70588235] ; [14.70588235 10.29411765],0
v1,1,0.944208,0.004897,[10 16] ; [ 9 15],[ 9.88 16.12] ; [ 9.12 14.88],0
r4,1,0.944856,0.004784,[21  5] ; [20  5],[20.90196078  5.09803922] ; [20.09803922  4.90196078],0
v4,1,0.967409,0.001669,[24  2] ; [23  2],[23.96078431  2.03921569] ; [23.03921569  1.96078431],0
