Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,32.78669,[86 10] ; [18 23],[72.87591241 23.12408759] ; [31.12408759  9.87591241],1
r4,1,3e-06,21.687201,[61 36] ; [ 8 33],[48.5 48.5] ; [20.5 20.5],1
p11,1,5e-05,16.449187,[71 26] ; [15 26],[60.44927536 36.55072464] ; [25.55072464 15.44927536],1
v4,1,5.9e-05,16.126625,[83 14] ; [22 19],[73.80434783 23.19565217] ; [31.19565217  9.80434783],1
p10,1,7.5e-05,15.672668,[64 30] ; [12 27],[53.71428571 40.28571429] ; [22.28571429 16.71428571],1
p8,1,0.002523,9.123651,[41 55] ; [ 6 33],[33.42222222 62.57777778] ; [13.57777778 25.42222222],0
a1,1,0.003876,8.341231,[ 2 95] ; [ 6 35],[ 5.62318841 91.37681159] ; [ 2.37681159 38.62318841],0
b1,1,0.004532,8.057152,[36 61] ; [26 15],[43.57971014 53.42028986] ; [18.42028986 22.57971014],0
p9,1,0.006318,7.457345,[71 22] ; [21 19],[64.33082707 28.66917293] ; [27.66917293 12.33082707],0
p2,1,0.008802,6.862629,[68 29] ; [18 21],[61.33823529 35.66176471] ; [24.66176471 14.33823529],0
n4,1,0.017247,5.671038,[68 29] ; [20 21],[61.85507246 35.14492754] ; [26.14492754 14.85507246],0
p4,1,0.019681,5.44,[42 54] ; [ 9 31],[36. 60.] ; [15. 25.],0
p3,1,0.022798,5.183806,[37 60] ; [ 7 32],[31.38235294 65.61764706] ; [12.61764706 26.38235294],0
r2,1,0.027705,4.846312,[73 20] ; [24 16],[67.82706767 25.17293233] ; [29.17293233 10.82706767],0
d5,1,0.083785,2.989912,[67 30] ; [22 19],[62.55797101 34.44202899] ; [26.44202899 14.55797101],0
b4,1,0.086336,2.941388,[58 39] ; [18 23],[53.42028986 43.57971014] ; [22.57971014 18.42028986],0
b5,1,0.092283,2.834097,[60 37] ; [19 22],[55.52898551 41.47101449] ; [23.47101449 17.52898551],0
d2,1,0.092463,2.830953,[34 61] ; [21 20],[38.41911765 56.58088235] ; [16.58088235 24.41911765],0
s1,1,0.122754,2.381825,[ 2 95] ; [ 3 37],[ 3.54014599 93.45985401] ; [ 1.45985401 38.54014599],0
p1,1,0.12796,2.317082,[ 8 89] ; [ 7 34],[10.54347826 86.45652174] ; [ 4.45652174 36.54347826],0
s7,1,0.143579,2.139176,[22 69] ; [ 5 34],[18.9 72.1] ; [ 8.1 30.9],0
n5,1,0.160501,1.969499,[68 28] ; [24 17],[64.46715328 31.53284672] ; [27.53284672 13.46715328],0
d4,1,0.212719,1.552821,[63 34] ; [22 19],[59.74637681 37.25362319] ; [25.25362319 15.74637681],0
s8,1,0.2451,1.351021,[14 83] ; [ 3 38],[11.94927536 85.05072464] ; [ 5.05072464 35.94927536],0
s6,1,0.248804,1.330008,[33 63] ; [10 31],[30.13138686 65.86861314] ; [12.86861314 28.13138686],0
d3,1,0.262424,1.255924,[49 48] ; [16 24],[46.02189781 50.97810219] ; [18.97810219 21.02189781],0
p7,1,0.265738,1.238616,[46 50] ; [15 25],[43.05882353 52.94117647] ; [17.94117647 22.05882353],0
s4,1,0.269232,1.220657,[10 87] ; [ 7 34],[11.94927536 85.05072464] ; [ 5.05072464 35.94927536],0
v2,1,0.314344,1.012335,[35 61] ; [11 29],[32.47058824 63.52941176] ; [13.52941176 26.47058824],0
n2,1,0.316463,1.003509,[22 10] ; [11  9],[20.30769231 11.69230769] ; [12.69230769  7.30769231],0
a8,1,0.33499,0.92951,[ 9 82] ; [ 2 39],[ 7.58333333 83.41666667] ; [ 3.41666667 37.58333333],0
n1,1,0.358152,0.844363,[11 21] ; [ 9 10],[12.54901961 19.45098039] ; [ 7.45098039 11.54901961],0
p5,1,0.40211,0.702008,[ 9 88] ; [ 2 38],[ 7.78832117 89.21167883] ; [ 3.21167883 36.78832117],0
