Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,40.870214,[107   8] ; [68 52],[85.63829787 29.36170213] ; [89.36170213 30.63829787],1
s3,1,0.000179,14.035111,[95 18] ; [74 45],[82.31465517 30.68534483] ; [86.68534483 32.31465517],1
s6,1,0.000262,13.325212,[108   6] ; [94 26],[98.41025641 15.58974359] ; [103.58974359  16.41025641],1
p5,1,0.001078,10.687936,[31 85] ; [ 12 106],[21.31623932 94.68376068] ; [21.68376068 96.31623932],0
p6,1,0.001951,9.595326,[70 44] ; [48 69],[58.23376623 55.76623377] ; [59.76623377 57.23376623],0
s8,1,0.002943,8.842617,[95 19] ; [79 40],[85.13304721 28.86695279] ; [88.86695279 30.13304721],0
p7,1,0.00342,8.56846,[93 19] ; [76 39],[83.38325991 28.61674009] ; [85.61674009 29.38325991],0
s4,1,0.004615,8.024332,[30 85] ; [ 14 106],[21.53191489 93.46808511] ; [22.46808511 97.53191489],0
p8,1,0.019372,5.467657,[79 35] ; [63 53],[70.3826087 43.6173913] ; [71.6173913 44.3826087],0
a3,1,0.034403,4.474572,[101  14] ; [92 27],[94.85042735 20.14957265] ; [98.14957265 20.85042735],0
p4,1,0.042485,4.115759,[87 27] ; [77 43],[79.8974359 34.1025641] ; [84.1025641 35.8974359],0
d1,1,0.049155,3.870059,[81 35] ; [69 51],[73.72881356 42.27118644] ; [76.27118644 43.72881356],0
d4,1,0.056421,3.639592,[103  11] ; [98 22],[97.92307692 16.07692308] ; [103.07692308  16.92307692],0
p12,1,0.058914,3.567708,[18 98] ; [  9 109],[ 13.38461538 102.61538462] ; [ 13.61538462 104.38461538],0
d5,1,0.079312,3.078947,[100  14] ; [95 25],[95. 19.] ; [100.  20.],0
n2,1,0.08866,2.898542,[24  2] ; [14  5],[21.95555556  4.04444444] ; [16.04444444  2.95555556],0
b5,1,0.093421,2.814406,[65 51] ; [80 40],[71.27118644 44.72881356] ; [73.72881356 46.27118644],0
a6,1,0.095209,2.784027,[71 43] ; [87 33],[76.97435897 37.02564103] ; [81.02564103 38.97435897],0
n4,1,0.109526,2.561049,[100  14] ; [96 24],[95.48717949 18.51282051] ; [100.51282051  19.48717949],0
p9,1,0.13518,2.231987,[108   8] ; [103  15],[104.5982906  11.4017094] ; [106.4017094  11.5982906],0
v4,1,0.160858,1.966144,[113   2] ; [112   6],[111.05150215   3.94849785] ; [113.94849785   4.05150215],0
a5,1,0.163017,1.946017,[99 17] ; [94 26],[94.86440678 21.13559322] ; [98.13559322 21.86440678],0
p3,1,0.179434,1.802308,[75 40] ; [68 52],[69.9787234 45.0212766] ; [73.0212766 46.9787234],0
p10,1,0.202883,1.621495,[103  12] ; [99 19],[99.69957082 15.30042918] ; [102.30042918  15.69957082],0
n1,1,0.226831,1.460625,[17  9] ; [ 9 10],[15.02222222 10.97777778] ; [10.97777778  8.02222222],0
p1,1,0.263702,1.249219,[16 99] ; [ 11 108],[ 13.26923077 101.73076923] ; [ 13.73076923 105.26923077],0
a4,1,0.267765,1.228163,[62 54] ; [55 64],[57.75319149 58.24680851] ; [59.24680851 59.75319149],0
r3,1,0.326719,0.961859,[113   3] ; [113   6],[111.55744681   4.44255319] ; [114.44255319   4.55744681],0
r4,1,0.334222,0.932471,[110   6] ; [110  10],[108.13559322   7.86440678] ; [111.86440678   8.13559322],0
p2,1,0.374739,0.78789,[103  13] ; [101  18],[100.69787234  15.30212766] ; [103.30212766  15.69787234],0
b1,1,0.380937,0.767675,[49 67] ; [44 76],[45.71186441 70.28813559] ; [47.28813559 72.71186441],0
u3,1,0.397512,0.715841,[12  3] ; [19  9],[10.81395349  4.18604651] ; [20.18604651  7.81395349],0
n6,1,0.412924,0.670365,[100  12] ; [102  17],[97.93939394 14.06060606] ; [104.06060606  14.93939394],0
n5,1,0.450799,0.568641,[98 16] ; [98 21],[95.89699571 18.10300429] ; [100.10300429  18.89699571],0
u1,1,0.454968,0.558244,[33 83] ; [29 91],[30.47457627 85.52542373] ; [31.52542373 88.47457627],0
a2,1,0.459762,0.546474,[37 79] ; [33 87],[34.40677966 81.59322034] ; [35.59322034 84.40677966],0
a8,1,0.472909,0.51517,[17 87] ; [21 83],[19. 85.] ; [19. 85.],0
r1,1,0.527421,0.399358,[101  13] ; [103  17],[99.38461538 14.61538462] ; [104.61538462  15.38461538],0
r2,1,0.714293,0.134027,[111   5] ; [114   4],[111.53846154   4.46153846] ; [113.46153846   4.53846154],0
d2,1,0.716602,0.131772,[65 50] ; [65 55],[63.61702128 51.38297872] ; [66.38297872 53.61702128],0
b4,1,0.726442,0.122404,[67 49] ; [72 48],[68.3220339 47.6779661] ; [70.6779661 49.3220339],0
u4,1,0.773291,0.082986,[  4 112] ; [  5 115],[  4.42372881 111.57627119] ; [  4.57627119 115.42372881],0
d3,1,0.785575,0.074017,[88 27] ; [90 30],[87.10638298 27.89361702] ; [90.89361702 29.10638298],0
b2,1,0.796859,0.066262,[36 43] ; [41 53],[35.16184971 43.83815029] ; [41.83815029 52.16184971],0
b3,1,0.796859,0.066262,[36 43] ; [41 53],[35.16184971 43.83815029] ; [41.83815029 52.16184971],0
s1,1,0.804596,0.061208,[  4 108] ; [  5 114],[  4.36363636 107.63636364] ; [  4.63636364 114.36363636],0
n3,1,0.805348,0.060729,[16 10] ; [11  8],[15.6 10.4] ; [11.4  7.6],0
p11,1,0.841043,0.040224,[94 22] ; [96 24],[93.38983051 22.61016949] ; [96.61016949 23.38983051],0
v3,1,0.849863,0.035832,[68 48] ; [66 49],[67.29004329 48.70995671] ; [66.70995671 48.29004329],0
a7,1,0.863006,0.029773,[80 36] ; [84 36],[80.61016949 35.38983051] ; [83.38983051 36.61016949],0
a1,1,0.947858,0.004277,[  7 109] ; [  7 113],[  6.88135593 109.11864407] ; [  7.11864407 112.88135593],0
v2,1,0.96751,0.001659,[83 32] ; [84 32],[83.13852814 31.86147186] ; [83.86147186 32.13852814],0
u2,1,1.0,0.0,[10  5] ; [18  9],[10.  5.] ; [18.  9.],0
