Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.827684,[5 4] ; [284  17],[8.39032258 0.60967742] ; [280.60967742  20.39032258],1
b1,1,0.007119,7.242592,[7 2] ; [103 198],[3.19354839 5.80645161] ; [106.80645161 194.19354839],0
r1,1,0.011708,6.354546,[5 4] ; [257  42],[7.65584416 1.34415584] ; [254.34415584  44.65584416],0
r2,1,0.026327,4.934402,[7 2] ; [283  15],[8.50162866 0.49837134] ; [281.49837134  16.50162866],0
s6,1,0.040045,4.21596,[4 5] ; [221  74],[6.66118421 2.33881579] ; [218.33881579  76.66118421],0
n3,1,0.126244,2.338097,[2 2] ; [41  9],[3.18518519 0.81481481] ; [39.81481481 10.18518519],0
p8,1,0.154537,2.026886,[8 1] ; [198 101],[6.01948052 2.98051948] ; [199.98051948  99.01948052],0
n1,1,0.157432,1.998721,[3 1] ; [19 30],[1.66037736 2.33962264] ; [20.33962264 28.66037736],0
s3,1,0.159471,1.979231,[3 6] ; [168 127],[5.0625 3.9375] ; [165.9375 129.0625],0
p11,1,0.16565,1.921872,[6 3] ; [253  48],[7.51935484 1.48064516] ; [251.48064516  49.51935484],0
p5,1,0.189178,1.724011,[3 6] ; [ 50 251],[1.53870968 7.46129032] ; [ 51.46129032 249.53870968],0
p2,1,0.214842,1.538493,[7 2] ; [272  29],[8.1 0.9] ; [270.9  30.1],0
s8,1,0.269277,1.220427,[3 6] ; [155 143],[4.63192182 4.36807818] ; [153.36807818 144.63192182],0
a4,1,0.269577,1.218898,[6 3] ; [144 156],[4.36893204 4.63106796] ; [145.63106796 154.36893204],0
p9,1,0.277218,1.180677,[7 2] ; [267  32],[8.00649351 0.99350649] ; [265.99350649  33.00649351],0
p6,1,0.329403,0.951242,[6 3] ; [149 148],[4.55882353 4.44117647] ; [150.44117647 146.55882353],0
d3,1,0.362145,0.830441,[8 1] ; [228  73],[6.8516129 2.1483871] ; [229.1483871  71.8516129],0
p12,1,0.397371,0.716268,[2 7] ; [ 38 263],[1.16129032 7.83870968] ; [ 38.83870968 262.16129032],0
s7,1,0.414356,0.666268,[4 5] ; [165 119],[5.19112628 3.80887372] ; [163.80887372 120.19112628],0
p10,1,0.421631,0.645765,[7 2] ; [261  39],[7.80582524 1.19417476] ; [260.19417476  39.80582524],0
v3,1,0.42208,0.644517,[4 5] ; [169 123],[5.17275748 3.82724252] ; [167.82724252 124.17275748],0
a7,1,0.453555,0.561752,[6 3] ; [232  68],[6.93203883 2.06796117] ; [231.06796117  68.93203883],0
b3,1,0.453831,0.561067,[4 4] ; [ 72 123],[2.99507389 5.00492611] ; [ 73.00492611 121.99507389],0
b2,1,0.453831,0.561067,[4 4] ; [ 72 123],[2.99507389 5.00492611] ; [ 73.00492611 121.99507389],0
d2,1,0.453916,0.560856,[4 5] ; [171 129],[5.09708738 3.90291262] ; [169.90291262 130.09708738],0
s4,1,0.471018,0.519588,[2 7] ; [ 41 257],[1.26058632 7.73941368] ; [ 41.73941368 256.26058632],0
d4,1,0.483666,0.490585,[7 2] ; [259  42],[7.72258065 1.27741935] ; [258.27741935  42.72258065],0
u1,1,0.499177,0.456685,[3 6] ; [ 71 230],[2.1483871 6.8516129] ; [ 71.8516129 229.1483871],0
d1,1,0.551565,0.354521,[7 2] ; [206  95],[6.18387097 2.81612903] ; [206.81612903  94.18387097],0
b5,1,0.595601,0.281682,[6 3] ; [174 127],[5.22580645 3.77419355] ; [174.77419355 126.22580645],0
a5,1,0.597193,0.27925,[8 1] ; [247  54],[7.40322581 1.59677419] ; [247.59677419  53.40322581],0
s5,1,0.678498,0.171821,[3 6] ; [117 174],[3.6 5.4] ; [116.4 174.6],0
n4,1,0.67852,0.171797,[7 2] ; [250  51],[7.46129032 1.53870968] ; [249.53870968  51.46129032],0
u3,1,0.756503,0.096147,[1 1] ; [42 27],[1.21126761 0.78873239] ; [41.78873239 27.21126761],0
a2,1,0.790251,0.070748,[3 6] ; [ 88 213],[2.64193548 6.35806452] ; [ 88.35806452 212.64193548],0
a6,1,0.790251,0.070748,[6 3] ; [213  88],[6.35806452 2.64193548] ; [212.64193548  88.35806452],0
b4,1,0.79809,0.065444,[5 4] ; [180 121],[5.37096774 3.62903226] ; [179.62903226 121.37096774],0
v1,1,0.798409,0.065232,[6 3] ; [209  87],[6.3442623 2.6557377] ; [208.6557377  87.3442623],0
p7,1,0.806821,0.059794,[7 2] ; [221  77],[6.68403909 2.31596091] ; [221.31596091  76.68403909],0
u2,1,0.835928,0.042892,[1 1] ; [39 29],[1.14285714 0.85714286] ; [38.85714286 29.14285714],0
p1,1,0.856994,0.032473,[1 8] ; [ 28 272],[0.84466019 8.15533981] ; [ 28.15533981 271.84466019],0
p3,1,0.859097,0.031515,[6 3] ; [209  92],[6.24193548 2.75806452] ; [208.75806452  92.24193548],0
d5,1,0.915205,0.011337,[8 1] ; [264  37],[7.89677419 1.10322581] ; [264.10322581  36.89677419],0
n6,1,0.929869,0.007746,[8 1] ; [262  36],[7.91530945 1.08469055] ; [262.08469055  35.91530945],0
a3,1,0.960648,0.002434,[7 2] ; [232  69],[6.93870968 2.06129032] ; [232.06129032  68.93870968],0
s2,1,1.0,0.0,[5 4] ; [165 132],[5. 4.] ; [165. 132.],0
