Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.095862,[ 7 31] ; [43 23],[18.26923077 19.73076923] ; [31.73076923 34.26923077],1
s8,1,1.2e-05,19.193003,[ 4 34] ; [36 31],[14.47619048 23.52380952] ; [25.52380952 41.47619048],1
s5,1,1.2e-05,19.175629,[ 2 36] ; [30 34],[11.92156863 26.07843137] ; [20.07843137 43.92156863],1
s2,1,1.3e-05,18.993485,[ 6 32] ; [40 27],[16.64761905 21.35238095] ; [29.35238095 37.64761905],1
r3,1,0.000197,13.858116,[29  9] ; [66  1],[34.38095238  3.61904762] ; [60.61904762  6.38095238],1
r4,1,0.002884,8.879586,[25 13] ; [60  7],[30.76190476  7.23809524] ; [54.23809524 12.76190476],0
s7,1,0.003644,8.453168,[ 6 30] ; [30 36],[12.70588235 23.29411765] ; [23.29411765 42.70588235],0
s4,1,0.008949,6.833022,[ 3 35] ; [20 47],[ 8.32380952 29.67619048] ; [14.67619048 52.32380952],0
p7,1,0.016145,5.787037,[22 14] ; [53 11],[27.  9.] ; [48. 16.],0
a6,1,0.02089,5.335972,[18 20] ; [47 20],[23.52380952 14.47619048] ; [41.47619048 25.52380952],0
p3,1,0.026598,4.916728,[13 25] ; [38 29],[18.45714286 19.54285714] ; [32.54285714 34.45714286],0
a5,1,0.050049,3.839821,[20 18] ; [48 19],[24.60952381 13.39047619] ; [43.39047619 23.60952381],0
v3,1,0.089243,2.887969,[ 6 28] ; [22 43],[ 9.61616162 24.38383838] ; [18.38383838 46.61616162],0
n2,1,0.142781,2.147727,[7 4] ; [14  2],[8.55555556 2.44444444] ; [12.44444444  3.55555556],0
p4,1,0.155651,2.015975,[19 19] ; [43 24],[22.43809524 15.56190476] ; [39.56190476 27.43809524],0
u2,1,0.180029,1.797386,[8 9] ; [22 11],[10.2  6.8] ; [19.8 13.2],0
n3,1,0.2261,1.465231,[5 6] ; [11  5],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
s1,1,0.265069,1.242087,[ 2 36] ; [ 1 66],[ 1.08571429 36.91428571] ; [ 1.91428571 65.08571429],0
p6,1,0.326686,0.961989,[11 26] ; [26 40],[13.29126214 23.70873786] ; [23.70873786 42.29126214],0
a7,1,0.32891,0.953186,[31  7] ; [49 18],[28.95238095  9.04761905] ; [51.04761905 15.95238095],0
a4,1,0.32891,0.953186,[ 7 31] ; [18 49],[ 9.04761905 28.95238095] ; [15.95238095 51.04761905],0
d3,1,0.335402,0.927926,[25 13] ; [50 17],[27.14285714 10.85714286] ; [47.85714286 19.14285714],0
p11,1,0.351904,0.86658,[27 11] ; [53 14],[28.95238095  9.04761905] ; [51.04761905 15.95238095],0
n5,1,0.374209,0.789638,[12 26] ; [27 40],[14.11428571 23.88571429] ; [24.88571429 42.11428571],0
d5,1,0.403802,0.696976,[29  9] ; [46 21],[27.14285714 10.85714286] ; [47.85714286 19.14285714],0
u3,1,0.409343,0.680707,[8 9] ; [19 13],[9.36734694 7.63265306] ; [17.63265306 14.36734694],0
d4,1,0.4105,0.677352,[28 10] ; [54 13],[29.67619048  8.32380952] ; [52.32380952 14.67619048],0
r2,1,0.424512,0.63779,[32  6] ; [60  7],[33.2952381  4.7047619] ; [58.7047619  8.2952381],0
p2,1,0.533919,0.386927,[29  8] ; [55 11],[30.17475728  6.82524272] ; [53.82524272 12.17475728],0
v4,1,0.560972,0.338023,[33  4] ; [62  5],[33.79807692  3.20192308] ; [61.20192308  5.79807692],0
v1,1,0.561357,0.337361,[14 23] ; [28 36],[15.38613861 21.61386139] ; [26.61386139 37.38613861],0
n6,1,0.565699,0.329932,[23 15] ; [43 22],[24.34951456 13.65048544] ; [41.65048544 23.34951456],0
n1,1,0.579639,0.306818,[3 8] ; [ 6 10],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
