Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,58.981994,[121   8] ; [12 21],[105.90740741  23.09259259] ; [27.09259259  5.90740741],1
d1,1,0.0,51.86868,[97 33] ; [ 2 31],[78.95705521 51.04294479] ; [20.04294479 12.95705521],1
d3,1,0.000835,11.162502,[95 35] ; [14 19],[86.93251534 43.06748466] ; [22.06748466 10.93251534],1
d2,1,0.00207,9.486351,[70 59] ; [ 8 25],[62.11111111 66.88888889] ; [15.88888889 17.11111111],0
b1,1,0.025166,5.012399,[47 83] ; [19 14],[52.63803681 77.36196319] ; [13.36196319 19.63803681],0
u1,1,0.048793,3.882445,[ 21 109] ; [ 1 32],[ 17.54601227 112.45398773] ; [ 4.45398773 28.54601227],0
a4,1,0.051136,3.803826,[64 66] ; [10 23],[59.01840491 70.98159509] ; [14.98159509 18.01840491],0
a5,1,0.057499,3.608084,[100  30] ; [20 13],[95.70552147 34.29447853] ; [24.29447853  8.70552147],0
a2,1,0.087819,2.913903,[ 29 101] ; [ 3 30],[ 25.52147239 104.47852761] ; [ 6.47852761 26.52147239],0
a3,1,0.096528,2.761985,[101  29] ; [21 12],[97.3006135 32.6993865] ; [24.6993865  8.3006135],0
p12,1,0.134016,2.245351,[  4 124] ; [ 3 30],[  5.56521739 122.43478261] ; [ 1.43478261 31.56521739],0
p10,1,0.17851,1.809984,[99 28] ; [22 11],[96.04375 30.95625] ; [24.95625  8.04375],0
p1,1,0.185553,1.752578,[ 10 120] ; [ 5 28],[ 11.96319018 118.03680982] ; [ 3.03680982 29.96319018],0
n6,1,0.193422,1.691359,[101  29] ; [29  4],[103.6809816  26.3190184] ; [26.3190184  6.6809816],0
a6,1,0.223899,1.479202,[93 37] ; [20 13],[90.12269939 39.87730061] ; [22.87730061 10.12269939],0
v3,1,0.279798,1.168073,[70 55] ; [15 18],[67.24683544 57.75316456] ; [17.75316456 15.24683544],0
p5,1,0.281957,1.157632,[ 11 118] ; [ 1 32],[  9.55555556 119.44444444] ; [ 2.44444444 30.55555556],0
u4,1,0.292029,1.110243,[  1 129] ; [ 1 32],[  1.59509202 128.40490798] ; [ 0.40490798 32.59509202],0
p6,1,0.315725,1.006573,[34 90] ; [12 21],[36.33121019 87.66878981] ; [ 9.66878981 23.33121019],0
p3,1,0.321638,0.982273,[57 70] ; [18 15],[59.53125 67.46875] ; [15.46875 17.53125],0
p2,1,0.353382,0.861275,[106  22] ; [25  8],[104.14906832  23.85093168] ; [26.85093168  6.14906832],0
u3,1,0.38037,0.769504,[14 15] ; [4 8],[12.73170732 16.26829268] ; [5.26829268 6.73170732],0
a7,1,0.391297,0.734907,[92 37] ; [21 12],[89.98148148 39.01851852] ; [23.01851852  9.98148148],0
v4,1,0.405287,0.692583,[121   9] ; [32  1],[122.02453988   7.97546012] ; [30.97546012  2.02453988],0
s3,1,0.41575,0.662297,[30 98] ; [10 23],[31.80124224 96.19875776] ; [ 8.19875776 24.80124224],0
s7,1,0.415901,0.661868,[32 89] ; [ 6 25],[30.25 90.75] ; [ 7.75 23.25],0
a1,1,0.416262,0.660845,[  4 126] ; [ 2 31],[  4.78527607 125.21472393] ; [ 1.21472393 31.78527607],0
p11,1,0.442014,0.591049,[107  23] ; [29  4],[108.46625767  21.53374233] ; [27.53374233  5.46625767],0
u2,1,0.442631,0.589453,[13 15] ; [4 8],[11.9 16.1] ; [5.1 6.9],0
n2,1,0.444379,0.58495,[21 10] ; [5 1],[21.78378378  9.21621622] ; [4.21621622 1.78378378],0
p9,1,0.525888,0.402331,[99 28] ; [24  9],[97.63125 29.36875] ; [25.36875  7.63125],0
b2,1,0.532807,0.389034,[37 44] ; [ 8 13],[35.73529412 45.26470588] ; [ 9.26470588 11.73529412],0
b3,1,0.532807,0.389034,[37 44] ; [ 8 13],[35.73529412 45.26470588] ; [ 9.26470588 11.73529412],0
s2,1,0.535979,0.383044,[ 25 104] ; [ 8 25],[ 26.27777778 102.72222222] ; [ 6.72222222 26.27777778],0
s4,1,0.548077,0.360774,[  8 122] ; [ 3 30],[  8.77300613 121.22699387] ; [ 2.22699387 30.77300613],0
p7,1,0.657815,0.196189,[80 48] ; [22 11],[81.0931677 46.9068323] ; [20.9068323 12.0931677],0
n4,1,0.682901,0.166878,[99 31] ; [24  9],[98.09815951 31.90184049] ; [24.90184049  8.09815951],0
b5,1,0.694745,0.153997,[68 62] ; [16 17],[66.99386503 63.00613497] ; [17.00613497 15.99386503],0
r2,1,0.696938,0.151676,[118   9] ; [30  3],[117.475   9.525] ; [30.525  2.475],0
r1,1,0.719171,0.129288,[106  24] ; [26  7],[105.27607362  24.72392638] ; [26.72392638  6.27607362],0
n1,1,0.73927,0.110769,[ 8 22] ; [2 4],[ 8.33333333 21.66666667] ; [1.66666667 4.33333333],0
s8,1,0.754995,0.097381,[35 95] ; [ 8 25],[34.29447853 95.70552147] ; [ 8.70552147 24.29447853],0
s1,1,0.815923,0.054192,[  3 126] ; [ 1 32],[  3.18518519 125.81481481] ; [ 0.81481481 32.18518519],0
s5,1,0.819169,0.052264,[ 22 105] ; [ 5 27],[ 21.56603774 105.43396226] ; [ 5.43396226 26.56603774],0
r4,1,0.847457,0.037004,[112  18] ; [28  5],[111.65644172  18.34355828] ; [28.34355828  4.65644172],0
p4,1,0.876848,0.024015,[63 63] ; [16 17],[62.60377358 63.39622642] ; [16.39622642 16.60377358],0
r3,1,0.887128,0.020147,[122   7] ; [31  2],[121.83333333   7.16666667] ; [31.16666667  1.83333333],0
p8,1,0.898812,0.01617,[67 60] ; [17 16],[66.675 60.325] ; [17.325 15.675],0
a8,1,0.920666,0.009919,[ 11 106] ; [ 3 27],[ 11.14285714 105.85714286] ; [ 2.85714286 27.14285714],0
n5,1,0.933123,0.007042,[85 44] ; [22 11],[85.2037037 43.7962963] ; [21.7962963 11.2037037],0
b4,1,0.946069,0.004576,[74 56] ; [19 14],[74.17177914 55.82822086] ; [18.82822086 14.17177914],0
v1,1,0.992116,9.8e-05,[73 54] ; [19 14],[73.025 53.975] ; [18.975 14.025],0
