Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.1e-05,16.838066,[ 7 12] ; [87 20],[14.17460317  4.82539683] ; [79.82539683 27.17460317],1
p2,1,0.003214,8.681997,[ 5 14] ; [67 40],[10.85714286  8.14285714] ; [61.14285714 45.85714286],0
r3,1,0.006814,7.321485,[14  5] ; [100   7],[17.19047619  1.80952381] ; [96.80952381 10.19047619],0
n6,1,0.008684,6.886717,[ 5 14] ; [63 44],[10.25396825  8.74603175] ; [57.74603175 49.25396825],0
d2,1,0.01144,6.395721,[12  7] ; [35 72],[ 7.08730159 11.91269841] ; [39.91269841 67.08730159],0
a6,1,0.011554,6.378127,[ 6 13] ; [67 40],[11.00793651  7.99206349] ; [61.99206349 45.00793651],0
p10,1,0.018188,5.577921,[ 5 14] ; [58 46],[9.73170732 9.26829268] ; [53.26829268 50.73170732],0
r2,1,0.018432,5.554653,[12  5] ; [97 10],[14.94354839  2.05645161] ; [94.05645161 12.94354839],0
s2,1,0.027767,4.842472,[ 3 16] ; [45 61],[ 7.296 11.704] ; [40.704 65.296],0
p9,1,0.028688,4.786218,[ 7 11] ; [68 35],[11.15702479  6.84297521] ; [63.84297521 39.15702479],0
s8,1,0.03367,4.511385,[ 1 18] ; [30 77],[ 4.67460317 14.32539683] ; [26.32539683 80.67460317],0
r1,1,0.065409,3.394619,[10  9] ; [78 28],[13.376  5.624] ; [74.624 31.376],0
s6,1,0.080955,3.045614,[ 6 13] ; [56 49],[9.5 9.5] ; [52.5 52.5],0
b1,1,0.094915,2.788982,[10  9] ; [35 72],[ 6.78571429 12.21428571] ; [38.21428571 68.78571429],0
b5,1,0.110202,2.551316,[ 8 11] ; [66 41],[11.15873016  7.84126984] ; [62.84126984 44.15873016],0
a3,1,0.131326,2.276759,[14  5] ; [59 48],[11.00793651  7.99206349] ; [61.99206349 45.00793651],0
a4,1,0.133768,2.248228,[10  9] ; [37 70],[ 7.08730159 11.91269841] ; [39.91269841 67.08730159],0
d4,1,0.147798,2.094835,[18  1] ; [87 20],[15.83333333  3.16666667] ; [89.16666667 17.83333333],0
a7,1,0.156465,2.008067,[11  8] ; [79 28],[13.57142857  5.42857143] ; [76.42857143 30.57142857],0
p4,1,0.158554,1.987962,[ 3 16] ; [34 73],[ 5.57936508 13.42063492] ; [31.42063492 75.57936508],0
s1,1,0.200421,1.639302,[ 2 17] ; [  4 103],[ 0.9047619 18.0952381] ; [  5.0952381 101.9047619],0
d1,1,0.213219,1.549434,[12  7] ; [51 56],[9.5 9.5] ; [53.5 53.5],0
v1,1,0.228811,1.448239,[ 5 13] ; [45 60],[ 7.31707317 10.68292683] ; [42.68292683 62.31707317],0
b2,1,0.316423,1.003676,[7 7] ; [18 33],[5.38461538 8.61538462] ; [19.61538462 31.38461538],0
b3,1,0.316423,1.003676,[7 7] ; [18 33],[5.38461538 8.61538462] ; [19.61538462 31.38461538],0
u2,1,0.347085,0.884087,[2 3] ; [29 18],[2.98076923 2.01923077] ; [28.01923077 18.98076923],0
p6,1,0.372884,0.794032,[ 1 18] ; [13 93],[ 2.128 16.872] ; [11.872 94.128],0
n2,1,0.384431,0.756484,[3 4] ; [23 15],[4.04444444 2.95555556] ; [21.95555556 16.04444444],0
s5,1,0.38575,0.752298,[ 3 15] ; [26 73],[ 4.46153846 13.53846154] ; [24.53846154 74.46153846],0
p3,1,0.452944,0.563274,[ 3 16] ; [25 81],[ 4.256 14.744] ; [23.744 82.256],0
v2,1,0.453137,0.562793,[11  8] ; [49 52],[9.5 9.5] ; [50.5 50.5],0
s3,1,0.486001,0.485367,[ 6 12] ; [45 62],[ 7.344 10.656] ; [43.656 63.344],0
v3,1,0.501015,0.452786,[ 4 15] ; [28 70],[ 5.1965812 13.8034188] ; [26.8034188 71.1965812],0
d5,1,0.515656,0.422573,[16  3] ; [83 24],[14.92857143  4.07142857] ; [84.07142857 22.92857143],0
b4,1,0.52562,0.402853,[13  6] ; [65 42],[11.76190476  7.23809524] ; [66.23809524 40.76190476],0
n1,1,0.529885,0.394612,[3 4] ; [12 27],[2.2826087 4.7173913] ; [12.7173913 26.2826087],0
p11,1,0.531097,0.392293,[ 9 10] ; [59 48],[10.25396825  8.74603175] ; [57.74603175 49.25396825],0
u1,1,0.561265,0.337519,[ 1 18] ; [10 97],[ 1.65873016 17.34126984] ; [ 9.34126984 97.65873016],0
a2,1,0.57044,0.321947,[ 3 16] ; [12 95],[ 2.26190476 16.73809524] ; [12.73809524 94.26190476],0
s4,1,0.694712,0.154032,[ 3 16] ; [21 86],[ 3.61904762 15.38095238] ; [20.38095238 86.61904762],0
n4,1,0.696101,0.15256,[ 8 11] ; [40 67],[ 7.23809524 11.76190476] ; [40.76190476 66.23809524],0
p1,1,0.722832,0.125796,[ 1 18] ; [ 8 98],[ 1.368 17.632] ; [ 7.632 98.368],0
p8,1,0.724944,0.123805,[ 4 14] ; [20 87],[ 3.456 14.544] ; [20.544 86.456],0
n3,1,0.774062,0.082406,[4 2] ; [23 15],[3.68181818 2.31818182] ; [23.31818182 14.68181818],0
s7,1,0.836605,0.042534,[ 5 12] ; [27 73],[ 4.64957265 12.35042735] ; [27.35042735 72.64957265],0
a5,1,0.882814,0.021728,[11  8] ; [60 47],[10.70634921  8.29365079] ; [60.29365079 46.70634921],0
a8,1,0.892785,0.018166,[ 1 18] ; [ 6 93],[ 1.12711864 17.87288136] ; [ 5.87288136 93.12711864],0
d3,1,0.973809,0.001078,[12  7] ; [68 39],[12.06349206  6.93650794] ; [67.93650794 39.06349206],0
