Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,94.990695,[ 4 61] ; [221  89],[39. 26.] ; [186. 124.],1
d4,1,0.0,64.911515,[32 33] ; [280  30],[54.08 10.92] ; [257.92  52.08],1
d3,1,0.0,25.372951,[30 35] ; [239  71],[46.62666667 18.37333333] ; [222.37333333  87.62666667],1
d2,1,8e-06,20.005825,[17 48] ; [174 133],[33.37365591 31.62634409] ; [157.62634409 149.37365591],1
a4,1,0.000429,12.403328,[21 43] ; [176 133],[33.80160858 30.19839142] ; [163.19839142 145.80160858],1
a2,1,0.000486,12.167839,[ 7 58] ; [100 210],[18.54666667 46.45333333] ; [ 88.45333333 221.54666667],1
u1,1,0.00072,11.435636,[ 2 63] ; [ 64 246],[11.44 53.56] ; [ 54.56 255.44],1
p2,1,0.001846,9.696789,[42 23] ; [250  55],[51.2972973 13.7027027] ; [240.7027027  64.2972973],0
p7,1,0.00929,6.766152,[26 38] ; [177 126],[35.40054496 28.59945504] ; [167.59945504 135.40054496],0
r2,1,0.024293,5.073577,[55  9] ; [284  18],[59.27868852  4.72131148] ; [279.72131148  22.27868852],0
a3,1,0.024405,5.065618,[41 23] ; [240  70],[48.0855615 15.9144385] ; [232.9144385  77.0855615],0
s1,1,0.032371,4.578765,[ 5 57] ; [  8 301],[ 2.17250674 59.82749326] ; [ 10.82749326 298.17250674],0
r3,1,0.099011,2.721404,[54  9] ; [284  24],[57.39622642  5.60377358] ; [280.60377358  27.39622642],0
n2,1,0.12154,2.397367,[14  2] ; [54 25],[11.45263158  4.54736842] ; [56.54736842 22.45263158],0
b1,1,0.163822,1.938586,[31 34] ; [119 191],[26. 39.] ; [124. 186.],0
v2,1,0.171123,1.873079,[30 34] ; [166 129],[34.94150418 29.05849582] ; [161.05849582 133.94150418],0
s4,1,0.203834,1.614691,[13 52] ; [ 42 262],[ 9.68834688 55.31165312] ; [ 45.31165312 258.68834688],0
p1,1,0.237507,1.395331,[ 8 57] ; [ 24 284],[ 5.57640751 59.42359249] ; [ 26.42359249 281.57640751],0
a6,1,0.243314,1.361293,[45 20] ; [236  74],[48.70666667 16.29333333] ; [232.29333333  77.70666667],0
p9,1,0.246267,1.34436,[46 18] ; [238  65],[49.52588556 14.47411444] ; [234.47411444  68.52588556],0
a1,1,0.252335,1.310327,[ 6 59] ; [ 17 293],[ 3.98666667 61.01333333] ; [ 19.01333333 290.98666667],0
p4,1,0.267242,1.230851,[31 33] ; [172 135],[35.01886792 28.98113208] ; [167.98113208 139.01886792],0
p10,1,0.292345,1.10879,[44 19] ; [233  73],[47.29268293 15.70731707] ; [229.70731707  76.29268293],0
b3,1,0.310134,1.030105,[14 20] ; [ 56 118],[11.44230769 22.55769231] ; [ 58.55769231 115.44230769],0
b2,1,0.310134,1.030105,[14 20] ; [ 56 118],[11.44230769 22.55769231] ; [ 58.55769231 115.44230769],0
a7,1,0.32703,0.960621,[45 19] ; [236  74],[48.0855615 15.9144385] ; [232.9144385  77.0855615],0
p3,1,0.340788,0.907465,[25 40] ; [137 168],[28.45945946 36.54054054] ; [133.54054054 171.45945946],0
p12,1,0.349051,0.876904,[ 5 59] ; [ 15 291],[ 3.45945946 60.54054054] ; [ 16.54054054 289.45945946],0
v3,1,0.349172,0.876464,[24 39] ; [ 95 202],[20.825 42.175] ; [ 98.175 198.825],0
p11,1,0.349464,0.875401,[45 20] ; [232  78],[48.01333333 16.98666667] ; [228.98666667  81.01333333],0
b5,1,0.359171,0.840788,[35 30] ; [186 124],[38.30666667 26.69333333] ; [182.69333333 127.30666667],0
v4,1,0.360739,0.835319,[56  8] ; [279  27],[57.94594595  6.05405405] ; [277.05405405  28.94594595],0
