Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.972898,[ 9 17] ; [81 11],[19.83050847  6.16949153] ; [70.16949153 21.83050847],1
s3,1,0.001561,10.005068,[ 8 18] ; [59 31],[15.01724138 10.98275862] ; [51.98275862 38.01724138],0
s6,1,0.00595,7.565509,[11 13] ; [69 23],[16.55172414  7.44827586] ; [63.44827586 28.55172414],0
p9,1,0.011107,6.448062,[17  9] ; [80 12],[21.37288136  4.62711864] ; [75.62711864 16.37288136],0
a5,1,0.014824,5.937247,[11 15] ; [63 29],[16.30508475  9.69491525] ; [57.69491525 34.30508475],0
v1,1,0.023724,5.114665,[10 16] ; [57 33],[15.01724138 10.98275862] ; [51.98275862 38.01724138],0
p10,1,0.048959,3.876748,[16 10] ; [73 18],[19.77777778  6.22222222] ; [69.22222222 21.77777778],0
r1,1,0.062545,3.468582,[16 10] ; [73 19],[19.61016949  6.38983051] ; [69.38983051 22.61016949],0
n6,1,0.064457,3.418831,[19  7] ; [80 11],[22.  4.] ; [77. 14.],0
p4,1,0.098271,2.73339,[12 14] ; [59 33],[15.6440678 10.3559322] ; [55.3559322 36.6440678],0
a3,1,0.129005,2.304441,[13 13] ; [61 31],[16.30508475  9.69491525] ; [57.69491525 34.30508475],0
a7,1,0.15869,1.986663,[20  5] ; [60 32],[17.09401709  7.90598291] ; [62.90598291 29.09401709],0
s8,1,0.203121,1.619794,[10 15] ; [50 42],[12.82051282 12.17948718] ; [47.17948718 44.82051282],0
a4,1,0.214638,1.539863,[ 9 17] ; [44 47],[11.77777778 14.22222222] ; [41.22222222 49.77777778],0
v3,1,0.245,1.351593,[ 6 20] ; [31 57],[ 8.43859649 17.56140351] ; [28.56140351 59.43859649],0
v2,1,0.272566,1.203789,[11 15] ; [48 40],[13.45614035 12.54385965] ; [45.54385965 42.45614035],0
b4,1,0.273138,1.200919,[13 13] ; [57 35],[15.42372881 10.57627119] ; [54.57627119 37.42372881],0
s2,1,0.273982,1.196703,[12 14] ; [53 38],[14.44444444 11.55555556] ; [50.55555556 40.44444444],0
d1,1,0.299805,1.07506,[12 14] ; [53 39],[14.3220339 11.6779661] ; [50.6779661 41.3220339],0
v4,1,0.321944,0.981034,[24  2] ; [89  3],[24.89830508  1.10169492] ; [88.10169492  3.89830508],0
b5,1,0.351313,0.868709,[20  6] ; [62 30],[18.06779661  7.93220339] ; [63.93220339 28.06779661],0
r3,1,0.410741,0.676656,[25  1] ; [84  8],[24.01694915  1.98305085] ; [84.98305085  7.01694915],0
p2,1,0.427604,0.629324,[21  5] ; [80 12],[22.25423729  3.74576271] ; [78.74576271 13.25423729],0
d5,1,0.43326,0.614068,[18  7] ; [73 19],[19.44444444  5.55555556] ; [71.55555556 20.44444444],0
b1,1,0.45189,0.565907,[ 7 19] ; [32 60],[ 8.59322034 17.40677966] ; [30.40677966 61.59322034],0
p8,1,0.460029,0.545825,[12 14] ; [50 42],[13.66101695 12.33898305] ; [48.33898305 43.66101695],0
u1,1,0.4734,0.51403,[ 3 23] ; [16 76],[ 4.18644068 21.81355932] ; [14.81355932 77.18644068],0
p11,1,0.495748,0.464026,[19  7] ; [73 19],[20.27118644  5.72881356] ; [71.72881356 20.27118644],0
a2,1,0.549377,0.358435,[ 4 22] ; [19 73],[ 5.06779661 20.93220339] ; [17.93220339 74.06779661],0
b3,1,0.556142,0.346428,[5 9] ; [24 30],[5.97058824 8.02941176] ; [23.02941176 30.97058824],0
b2,1,0.556142,0.346428,[5 9] ; [24 30],[5.97058824 8.02941176] ; [23.02941176 30.97058824],0
n1,1,0.563341,0.333952,[5 9] ; [10 12],[5.83333333 8.16666667] ; [ 9.16666667 12.83333333],0
d4,1,0.601204,0.273184,[20  6] ; [75 17],[20.93220339  5.06779661] ; [74.06779661 17.93220339],0
d2,1,0.618441,0.248065,[11 15] ; [44 48],[12.11864407 13.88135593] ; [42.88135593 49.11864407],0
a6,1,0.619877,0.24604,[15 11] ; [58 34],[16.08474576  9.91525424] ; [56.91525424 35.08474576],0
d3,1,0.65058,0.20517,[19  6] ; [65 26],[18.10344828  6.89655172] ; [65.89655172 25.10344828],0
s4,1,0.672438,0.178764,[ 5 21] ; [14 75],[ 4.29565217 21.70434783] ; [14.70434783 74.29565217],0
s1,1,0.697145,0.151459,[ 2 24] ; [ 5 84],[ 1.5826087 24.4173913] ; [ 5.4173913 83.5826087],0
r2,1,0.736828,0.112934,[25  1] ; [86  5],[24.66666667  1.33333333] ; [86.33333333  4.66666667],0
p1,1,0.746165,0.104781,[ 2 24] ; [ 9 83],[ 2.42372881 23.57627119] ; [ 8.57627119 83.42372881],0
a8,1,0.755343,0.097096,[ 4 20] ; [12 73],[ 3.52293578 20.47706422] ; [12.47706422 72.52293578],0
s5,1,0.764537,0.089717,[ 8 17] ; [31 57],[ 8.62831858 16.37168142] ; [30.37168142 57.62831858],0
s7,1,0.838541,0.041518,[13 13] ; [46 42],[13.45614035 12.54385965] ; [45.54385965 42.45614035],0
p7,1,0.864505,0.029119,[18  6] ; [69 21],[18.31578947  5.68421053] ; [68.68421053 21.31578947],0
n2,1,0.904273,0.014464,[10  4] ; [16  7],[9.83783784 4.16216216] ; [16.16216216  6.83783784],0
a1,1,0.910721,0.012573,[ 1 25] ; [ 4 88],[ 1.10169492 24.89830508] ; [ 3.89830508 88.10169492],0
r4,1,0.923372,0.009252,[23  3] ; [82 10],[23.13559322  2.86440678] ; [81.86440678 10.13559322],0
n3,1,0.932412,0.007193,[10  4] ; [16  6],[10.11111111  3.88888889] ; [15.88888889  6.11111111],0
u3,1,0.951895,0.003639,[7 6] ; [17 14],[7.09090909 5.90909091] ; [16.90909091 14.09090909],0
u2,1,0.987695,0.000238,[8 5] ; [19 12],[7.97727273 5.02272727] ; [19.02272727 11.97727273],0
