Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000858,11.111111,[ 2 13] ; [8 2],[6. 9.] ; [4. 6.],1
p9,1,0.001902,9.642094,[ 4 11] ; [9 1],[7.8 7.2] ; [5.2 4.8],0
u2,1,0.027397,4.865608,[4 8] ; [6 1],[6.31578947 5.68421053] ; [3.68421053 3.31578947],0
p8,1,0.054319,3.702857,[ 3 11] ; [6 4],[5.25 8.75] ; [3.75 6.25],0
u3,1,0.074982,3.170437,[ 1 11] ; [3 4],[2.52631579 9.47368421] ; [1.47368421 5.52631579],0
a7,1,0.095581,2.777778,[ 4 11] ; [6 4],[6. 9.] ; [4. 6.],0
s6,1,0.115184,2.481618,[ 3 12] ; [5 5],[ 4.8 10.2] ; [3.2 6.8],0
b4,1,0.141326,2.163462,[9 6] ; [3 7],[7.2 7.8] ; [4.8 5.2],0
n1,1,0.157299,2.0,[2 7] ; [2 1],[3. 6.] ; [1. 2.],0
b5,1,0.188206,1.731602,[10  5] ; [4 6],[8.4 6.6] ; [5.6 4.4],0
n4,1,0.188206,1.731602,[10  5] ; [4 6],[8.4 6.6] ; [5.6 4.4],0
p4,1,0.233762,1.417824,[ 4 11] ; [5 5],[5.4 9.6] ; [3.6 6.4],0
v2,1,0.242809,1.364211,[ 2 13] ; [3 6],[ 3.125 11.875] ; [1.875 7.125],0
a8,1,0.26939,1.21985,[ 4 10] ; [1 9],[ 2.91666667 11.08333333] ; [2.08333333 7.91666667],0
r1,1,0.275234,1.190476,[ 3 12] ; [4 6],[ 4.2 10.8] ; [2.8 7.2],0
p3,1,0.275234,1.190476,[ 3 12] ; [4 6],[ 4.2 10.8] ; [2.8 7.2],0
b1,1,0.293622,1.102941,[9 6] ; [8 2],[10.2  4.8] ; [6.8 3.2],0
s7,1,0.294644,1.09828,[ 1 13] ; [2 7],[ 1.82608696 12.17391304] ; [1.17391304 7.82608696],0
s3,1,0.466985,0.529101,[ 5 10] ; [2 8],[ 4.2 10.8] ; [2.8 7.2],0
p7,1,0.513292,0.42735,[7 8] ; [6 4],[7.8 7.2] ; [5.2 4.8],0
r4,1,0.56628,0.328947,[ 3 12] ; [3 7],[ 3.6 11.4] ; [2.4 7.6],0
a4,1,0.56628,0.328947,[ 3 12] ; [3 7],[ 3.6 11.4] ; [2.4 7.6],0
a3,1,0.632585,0.228571,[ 3 11] ; [3 7],[ 3.5 10.5] ; [2.5 7.5],0
d2,1,0.702195,0.146199,[ 4 11] ; [2 8],[ 3.6 11.4] ; [2.4 7.6],0
n5,1,0.702195,0.146199,[11  4] ; [8 2],[11.4  3.6] ; [7.6 2.4],0
p2,1,0.733701,0.115741,[10  5] ; [6 4],[9.6 5.4] ; [6.4 3.6],0
a6,1,0.733701,0.115741,[ 5 10] ; [4 6],[5.4 9.6] ; [3.6 6.4],0
v4,1,0.742174,0.108225,[8 7] ; [6 4],[8.4 6.6] ; [5.6 4.4],0
v3,1,0.763441,0.09058,[ 1 14] ; [1 9],[ 1.2 13.8] ; [0.8 9.2],0
s2,1,0.801614,0.063131,[ 2 13] ; [1 9],[ 1.8 13.2] ; [1.2 8.8],0
s1,1,0.801614,0.063131,[ 2 13] ; [1 9],[ 1.8 13.2] ; [1.2 8.8],0
p5,1,0.802839,0.062338,[ 1 13] ; [1 9],[ 1.16666667 12.83333333] ; [0.83333333 9.16666667],0
d5,1,0.855702,0.033069,[ 4 11] ; [3 7],[ 4.2 10.8] ; [2.8 7.2],0
p6,1,0.932294,0.007218,[ 3 11] ; [2 8],[ 2.91666667 11.08333333] ; [2.08333333 7.91666667],0
s4,1,1.0,0.0,[ 3 12] ; [2 8],[ 3. 12.] ; [2. 8.],0
n6,1,1.0,0.0,[9 6] ; [6 4],[9. 6.] ; [6. 4.],0
d3,1,1.0,0.0,[ 3 12] ; [2 8],[ 3. 12.] ; [2. 8.],0
