Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,44.212955,[80 12] ; [110 126],[53.29268293 38.70731707] ; [136.70731707  99.29268293],1
p3,1,0.0,34.976932,[63 30] ; [ 77 163],[39.0990991 53.9009009] ; [100.9009009 139.0990991],1
p4,1,0.0,31.961245,[71 22] ; [ 99 138],[47.90909091 45.09090909] ; [122.09090909 114.90909091],1
p8,1,7e-06,20.151147,[61 32] ; [ 91 147],[42.70694864 50.29305136] ; [109.29305136 128.70694864],1
s2,1,0.000105,15.041381,[58 34] ; [ 94 145],[42.24773414 49.75226586] ; [109.75226586 129.24773414],1
p5,1,0.000302,13.057744,[16 77] ; [ 12 229],[ 7.79640719 85.20359281] ; [ 20.20359281 220.79640719],1
p2,1,0.000311,13.000639,[84  9] ; [173  68],[71.55988024 21.44011976] ; [185.44011976  55.55988024],1
s7,1,0.000736,11.395917,[54 35] ; [ 90 137],[40.55696203 48.44303797] ; [103.44303797 123.55696203],1
s6,1,0.002433,9.190412,[68 21] ; [138  99],[56.2392638 32.7607362] ; [149.7607362  87.2392638],0
b3,1,0.00249,9.147604,[24 31] ; [ 28 101],[15.54347826 39.45652174] ; [36.45652174 92.54347826],0
b2,1,0.00249,9.147604,[24 31] ; [ 28 101],[15.54347826 39.45652174] ; [36.45652174 92.54347826],0
p1,1,0.00413,8.225843,[12 81] ; [ 10 229],[ 6.1626506 86.8373494] ; [ 15.8373494 223.1626506],0
p9,1,0.004204,8.193495,[80 13] ; [168  69],[69.89090909 23.10909091] ; [178.10909091  58.89090909],0
n6,1,0.006444,7.421622,[83 10] ; [182  58],[74.00900901 18.99099099] ; [190.99099099  49.00900901],0
b4,1,0.010774,6.502216,[44 49] ; [151  90],[54.29640719 38.70359281] ; [140.70359281 100.29640719],0
s3,1,0.012024,6.307316,[62 30] ; [124 114],[51.85454545 40.14545455] ; [134.14545455 103.85454545],0
s4,1,0.012527,6.234661,[24 65] ; [ 36 204],[16.23100304 72.76899696] ; [ 43.76899696 196.23100304],0
n4,1,0.030135,4.7016,[76 17] ; [168  72],[68.14414414 24.85585586] ; [175.85585586  64.14414414],0
s5,1,0.030156,4.700394,[34 54] ; [ 62 174],[26.07407407 61.92592593] ; [ 69.92592593 166.07407407],0
u1,1,0.046737,3.954827,[22 71] ; [ 35 206],[15.87125749 77.12874251] ; [ 41.12874251 199.87125749],0
p12,1,0.048643,3.887626,[ 9 83] ; [ 10 230],[ 5.26506024 86.73493976] ; [ 13.73493976 226.26506024],0
s8,1,0.057013,3.622218,[41 51] ; [ 80 160],[33.53012048 58.46987952] ; [ 87.46987952 152.53012048],0
a4,1,0.065421,3.394322,[47 46] ; [ 95 146],[39.53892216 53.46107784] ; [102.46107784 138.53892216],0
v4,1,0.06686,3.358478,[90  2] ; [221  18],[86.44108761  5.55891239] ; [224.55891239  14.44108761],0
n5,1,0.069223,3.301347,[69 24] ; [151  86],[62. 31.] ; [158.  79.],0
p10,1,0.089319,2.886596,[75 18] ; [171  68],[68.90963855 24.09036145] ; [177.09036145  61.90963855],0
a3,1,0.096405,2.764029,[70 23] ; [158  82],[63.67567568 29.32432432] ; [164.32432432  75.67567568],0
r2,1,0.104206,2.639965,[90  2] ; [223  16],[86.99697885  5.00302115] ; [226.00302115  12.99697885],0
r4,1,0.115148,2.482105,[89  4] ; [218  23],[85.48203593  7.51796407] ; [221.51796407  19.48203593],0
r3,1,0.129933,2.293307,[88  3] ; [220  19],[84.93333333  6.06666667] ; [223.06666667  15.93333333],0
d2,1,0.160048,1.973771,[50 43] ; [108 131],[44.25903614 48.74096386] ; [113.74096386 125.25903614],0
a7,1,0.164423,1.933069,[64 29] ; [183  57],[68.98198198 24.01801802] ; [178.01801802  61.98198198],0
a2,1,0.196373,1.669143,[25 68] ; [ 49 192],[20.60479042 72.39520958] ; [ 53.39520958 187.60479042],0
v2,1,0.205225,1.604797,[37 55] ; [109 118],[42.10658307 49.89341693] ; [103.89341693 123.10658307],0
u2,1,0.279605,1.169011,[15  8] ; [42 38],[12.72815534 10.27184466] ; [44.27184466 35.72815534],0
n3,1,0.355027,0.855408,[18  6] ; [44 24],[16.17391304  7.82608696] ; [45.82608696 22.17391304],0
a5,1,0.378119,0.776807,[69 24] ; [167  74],[65.71257485 27.28742515] ; [170.28742515  70.71257485],0
d1,1,0.38219,0.763646,[57 36] ; [135 106],[53.46107784 39.53892216] ; [138.53892216 102.46107784],0
u3,1,0.407832,0.685112,[15  8] ; [45 36],[13.26923077  9.73076923] ; [46.73076923 34.26923077],0
d5,1,0.41071,0.676745,[71 22] ; [193  47],[73.72972973 19.27027027] ; [190.27027027  49.72972973],0
p11,1,0.474582,0.511289,[70 23] ; [172  69],[67.38323353 25.61676647] ; [174.61676647  66.38323353],0
v3,1,0.477666,0.504188,[25 68] ; [ 71 159],[27.64086687 65.35913313] ; [ 68.35913313 161.64086687],0
u4,1,0.48322,0.491589,[ 1 92] ; [  1 240],[ 0.55688623 92.44311377] ; [  1.44311377 239.55688623],0
n2,1,0.507365,0.439497,[17  7] ; [45 26],[15.66315789  8.33684211] ; [46.33684211 24.66315789],0
a1,1,0.521511,0.410904,[ 4 89] ; [  7 234],[ 3.06287425 89.93712575] ; [  7.93712575 233.06287425],0
n1,1,0.559113,0.341242,[ 7 17] ; [25 45],[ 8.17021277 15.82978723] ; [23.82978723 46.17021277],0
d3,1,0.693663,0.155149,[66 27] ; [165  75],[64.51351351 28.48648649] ; [166.48648649  73.51351351],0
s1,1,0.792346,0.069309,[ 4 88] ; [ 12 226],[ 4.46060606 87.53939394] ; [ 11.53939394 226.46060606],0
b1,1,0.832283,0.044849,[39 54] ; [ 98 143],[38.14670659 54.85329341] ; [ 98.85329341 142.14670659],0
b5,1,0.890459,0.018968,[49 44] ; [129 112],[49.56287425 43.43712575] ; [128.43712575 112.56287425],0
a6,1,0.917217,0.010804,[63 30] ; [164  76],[63.3963964 29.6036036] ; [163.6036036  76.3963964],0
d4,1,0.924125,0.00907,[77 16] ; [196  42],[76.70392749 16.29607251] ; [196.29607251  41.70392749],0
a8,1,0.95824,0.002742,[10 76] ; [ 25 194],[ 9.86885246 76.13114754] ; [ 25.13114754 193.86885246],0
