Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.483629,[ 63 112] ; [52 23],[80.5 94.5] ; [34.5 40.5],1
s8,1,9.8e-05,15.16761,[ 38 144] ; [34 42],[ 50.79069767 131.20930233] ; [21.20930233 54.79069767],1
p8,1,0.001935,9.610575,[ 51 129] ; [36 38],[ 61.65354331 118.34645669] ; [25.34645669 48.65354331],0
p2,1,0.003088,8.754661,[120  62] ; [64 12],[129.79844961  52.20155039] ; [54.20155039 21.79844961],0
s7,1,0.005338,7.761127,[ 49 126] ; [33 38],[ 58.33333333 116.66666667] ; [23.66666667 47.33333333],0
p6,1,0.005638,7.662486,[ 29 150] ; [24 52],[ 37.20392157 141.79607843] ; [15.79607843 60.20392157],0
a4,1,0.008192,6.99107,[ 35 147] ; [26 49],[ 43.19844358 138.80155642] ; [17.80155642 57.19844358],0
s6,1,0.011823,6.33716,[88 92] ; [49 25],[97.08661417 82.91338583] ; [39.91338583 34.08661417],0
p10,1,0.013732,6.07224,[111  67] ; [58 16],[119.37301587  58.62698413] ; [49.62698413 24.37301587],0
v1,1,0.01636,5.763794,[ 67 111] ; [40 34],[ 75.57936508 102.42063492] ; [31.42063492 42.57936508],0
n1,1,0.032537,4.569991,[22 44] ; [13  9],[26.25 39.75] ; [ 8.75 13.25],0
v4,1,0.040361,4.202643,[149  29] ; [70  5],[154.07905138  23.92094862] ; [64.92094862 10.07905138],0
d3,1,0.06468,3.413111,[ 68 113] ; [38 38],[ 74.6536965 106.3463035] ; [31.3463035 44.6536965],0
r4,1,0.064831,3.409271,[129  54] ; [62 14],[134.95366795  48.04633205] ; [56.04633205 19.95366795],0
a5,1,0.070802,3.264332,[ 81 102] ; [43 33],[87.61389961 95.38610039] ; [36.38610039 39.61389961],0
a2,1,0.080945,3.045823,[  7 176] ; [ 7 69],[  9.89189189 173.10810811] ; [ 4.10810811 71.89189189],0
s3,1,0.094379,2.798053,[ 78 100] ; [42 34],[84.09448819 93.90551181] ; [35.90551181 40.09448819],0
