Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,52.867257,[133 187] ; [235 102],[179.23896499 140.76103501] ; [188.76103501 148.23896499],1
v3,1,0.0,32.656181,[ 88 238] ; [164 174],[123.72289157 202.27710843] ; [128.27710843 209.72289157],1
p4,1,1e-05,19.509894,[157 171] ; [224 122],[185.41246291 142.58753709] ; [195.58753709 150.41246291],1
n5,1,1.1e-05,19.339042,[233  95] ; [295  52],[256.56888889  71.43111111] ; [271.43111111  75.56888889],1
p3,1,2.9e-05,17.501864,[124 206] ; [186 161],[151.10782866 178.89217134] ; [158.89217134 188.10782866],1
a5,1,3e-05,17.441321,[217 114] ; [277  70],[241.17109145  89.82890855] ; [252.82890855  94.17109145],1
p7,1,6e-05,16.096401,[176 150] ; [233 104],[201.10708899 124.89291101] ; [207.89291101 129.10708899],1
p6,1,0.000114,14.888728,[ 90 238] ; [142 199],[113.74588939 214.25411061] ; [118.25411061 222.74588939],1
r4,1,0.000181,14.014434,[282  49] ; [326  21],[296.8259587  34.1740413] ; [311.1740413  35.8259587],1
p9,1,0.000184,13.988156,[251  73] ; [303  40],[269.10944528  54.89055472] ; [284.89055472  58.10944528],1
r1,1,0.000188,13.94579,[239  92] ; [290  55],[259.02218935  71.97781065] ; [269.97781065  75.02218935],1
p10,1,0.000311,13.001562,[246  82] ; [295  48],[264.45305514  63.54694486] ; [276.54694486  66.45305514],1
p8,1,0.000314,12.984611,[140 188] ; [192 147],[163.26236882 164.73763118] ; [168.73763118 170.26236882],1
s6,1,0.000441,12.35152,[192 135] ; [243  96],[213.58108108 113.41891892] ; [221.41891892 117.58108108],1
p2,1,0.00101,10.808505,[256  75] ; [301  45],[272.32939439  58.67060561] ; [284.67060561  61.32939439],0
r2,1,0.00115,10.56821,[299  27] ; [335   9],[308.48358209  17.51641791] ; [325.51641791  18.48358209],0
s8,1,0.001401,10.204392,[119 212] ; [165 178],[139.47181009 191.52818991] ; [144.52818991 198.47181009],0
r3,1,0.001902,9.64136,[303  26] ; [337   9],[311.94074074  17.05925926] ; [328.05925926  17.94074074],0
n4,1,0.002368,9.240037,[243  87] ; [288  58],[259.21597633  70.78402367] ; [271.78402367  74.21597633],0
b5,1,0.006998,7.273433,[187 144] ; [231 116],[204.06784661 126.93215339] ; [213.93215339 133.06784661],0
a4,1,0.007396,7.17424,[133 197] ; [174 170],[150.3115727 179.6884273] ; [156.6884273 187.3115727],0
p11,1,0.007542,7.13908,[247  84] ; [288  59],[261.18731563  69.81268437] ; [273.81268437  73.18731563],0
a2,1,0.01261,6.223083,[ 68 263] ; [100 247],[ 82.01769912 248.98230088] ; [ 85.98230088 261.01769912],0
u1,1,0.014204,6.012585,[ 50 281] ; [ 78 269],[ 62.48967552 268.51032448] ; [ 65.51032448 281.48967552],0
d5,1,0.024278,5.074694,[255  75] ; [291  55],[266.53846154  63.46153846] ; [279.46153846  66.53846154],0
u4,1,0.02456,5.054663,[  2 329] ; [ 10 337],[  5.85840708 325.14159292] ; [  6.14159292 340.85840708],0
v4,1,0.02478,5.039167,[308  23] ; [335  11],[314.37666174  16.62333826] ; [328.62333826  17.37666174],0
a3,1,0.036276,4.384104,[220 111] ; [254  90],[232.43555556  98.56444444] ; [241.56444444 102.43555556],0
s2,1,0.052308,3.765906,[149 180] ; [180 161],[161.55373134 167.44626866] ; [167.44626866 173.55373134],0
s7,1,0.055635,3.662944,[137 183] ; [166 164],[149.16923077 170.83076923] ; [153.83076923 176.16923077],0
s5,1,0.071865,3.239912,[ 89 233] ; [115 222],[ 99.67830046 222.32169954] ; [104.32169954 232.67830046],0
a6,1,0.072712,3.220703,[211 120] ; [243 103],[221.9704579 109.0295421] ; [232.0295421 113.9704579],0
d4,1,0.076152,3.145173,[259  71] ; [290  56],[268.00295858  61.99704142] ; [280.99704142  65.00295858],0
d3,1,0.076967,3.12782,[218 112] ; [251  96],[228.61152142 101.38847858] ; [240.38847858 106.61152142],0
d1,1,0.077441,3.117815,[182 149] ; [214 133],[193.32743363 137.67256637] ; [202.67256637 144.32743363],0
a8,1,0.090901,2.858352,[ 34 271] ; [ 49 261],[ 41.16260163 263.83739837] ; [ 41.83739837 268.16260163],0
a7,1,0.107777,2.586515,[227 102] ; [258  88],[236.39259259  92.60740741] ; [248.60740741  97.39259259],0
u3,1,0.109871,2.556074,[51 58] ; [54 39],[56.65841584 52.34158416] ; [48.34158416 44.65841584],0
n2,1,0.110227,2.550967,[68 30] ; [47 11],[72.24358974 25.75641026] ; [42.75641026 15.24358974],0
b2,1,0.120976,2.404645,[ 58 122] ; [ 87 132],[ 65.41353383 114.58646617] ; [ 79.58646617 139.41353383],0
b3,1,0.120976,2.404645,[ 58 122] ; [ 87 132],[ 65.41353383 114.58646617] ; [ 79.58646617 139.41353383],0
n1,1,0.128361,2.312217,[32 66] ; [26 32],[36.43589744 61.56410256] ; [21.56410256 36.43589744],0
s4,1,0.158452,1.988934,[ 67 259] ; [ 56 287],[ 59.93721973 266.06278027] ; [ 63.06278027 279.93721973],0
b1,1,0.206666,1.594626,[128 203] ; [118 229],[120.09734513 210.90265487] ; [125.90265487 221.09734513],0
s3,1,0.242541,1.365765,[165 161] ; [188 153],[172.53073463 153.46926537] ; [180.46926537 160.53073463],0
s1,1,0.292592,1.107654,[ 11 316] ; [  7 335],[  8.79820628 318.20179372] ; [  9.20179372 332.79820628],0
d2,1,0.383856,0.758317,[153 175] ; [173 173],[158.64688427 169.35311573] ; [167.35311573 178.64688427],0
n3,1,0.521594,0.41074,[69 28] ; [44 14],[70.71612903 26.28387097] ; [42.28387097 15.71612903],0
p1,1,0.618589,0.247856,[ 18 312] ; [ 22 324],[ 19.52662722 310.47337278] ; [ 20.47337278 325.52662722],0
