Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.001861,9.681736,[ 8 73] ; [ 9 16],[12.99056604 68.00943396] ; [ 4.00943396 20.99056604],0
p7,1,0.003108,8.742815,[50 31] ; [ 7 18],[43.55660377 37.44339623] ; [13.44339623 11.55660377],0
v4,1,0.00473,7.98,[76  4] ; [19  6],[72.38095238  7.61904762] ; [22.61904762  2.38095238],0
p8,1,0.012193,6.282561,[35 45] ; [ 4 21],[29.71428571 50.28571429] ; [ 9.28571429 15.71428571],0
p10,1,0.046538,3.962009,[53 27] ; [11 14],[48.76190476 31.23809524] ; [15.23809524  9.76190476],0
p4,1,0.05349,3.72854,[40 40] ; [ 7 18],[35.80952381 44.19047619] ; [11.19047619 13.80952381],0
a6,1,0.054059,3.710871,[56 25] ; [12 13],[51.96226415 29.03773585] ; [16.03773585  8.96226415],0
p11,1,0.077993,3.106227,[63 18] ; [15 10],[59.60377358 21.39622642] ; [18.39622642  6.60377358],0
p9,1,0.0835,2.995435,[59 22] ; [13 11],[55.54285714 25.45714286] ; [16.45714286  7.54285714],0
a7,1,0.085287,2.961156,[60 21] ; [14 11],[56.54716981 24.45283019] ; [17.45283019  7.54716981],0
a2,1,0.090078,2.872971,[19 62] ; [ 2 23],[16.04716981 64.95283019] ; [ 4.95283019 20.04716981],0
a5,1,0.104811,2.630763,[62 19] ; [15 10],[58.83962264 22.16037736] ; [18.16037736  6.83962264],0
r4,1,0.106035,2.612337,[72  9] ; [19  6],[69.53773585 11.46226415] ; [21.46226415  3.53773585],0
s3,1,0.110723,2.543867,[41 38] ; [ 8 16],[37.58252427 41.41747573] ; [11.41747573 12.58252427],0
r3,1,0.116605,2.462341,[78  3] ; [22  3],[76.41509434  4.58490566] ; [23.58490566  1.41509434],0
b4,1,0.147262,2.100391,[55 26] ; [13 12],[51.96226415 29.03773585] ; [16.03773585  8.96226415],0
d5,1,0.152846,2.04362,[66 15] ; [17  8],[63.4245283 17.5754717] ; [19.5754717  5.4245283],0
p3,1,0.188442,1.729759,[38 43] ; [ 8 17],[35.1509434 45.8490566] ; [10.8490566 14.1509434],0
b5,1,0.225828,1.466948,[53 28] ; [13 12],[50.43396226 30.56603774] ; [15.56603774  9.43396226],0
a4,1,0.336959,0.921967,[38 43] ; [ 9 16],[35.91509434 45.08490566] ; [11.08490566 13.91509434],0
p6,1,0.380192,0.770082,[26 52] ; [ 6 19],[24.23300971 53.76699029] ; [ 7.76699029 17.23300971],0
d3,1,0.395692,0.72138,[59 22] ; [16  9],[57.31132075 23.68867925] ; [17.68867925  7.31132075],0
v1,1,0.459507,0.547096,[33 46] ; [ 8 16],[31.44660194 47.55339806] ; [ 9.55339806 14.44660194],0
r1,1,0.463958,0.53633,[64 17] ; [18  7],[62.66037736 18.33962264] ; [19.33962264  5.66037736],0
s5,1,0.465519,0.532592,[12 63] ; [ 5 17],[13.1443299 61.8556701] ; [ 3.8556701 18.1443299],0
a3,1,0.469033,0.524253,[58 23] ; [16  9],[56.54716981 24.45283019] ; [17.45283019  7.54716981],0
u1,1,0.514774,0.424351,[ 9 72] ; [ 4 21],[ 9.93396226 71.06603774] ; [ 3.06603774 21.93396226],0
d4,1,0.529108,0.396104,[67 14] ; [22  3],[68.00943396 12.99056604] ; [20.99056604  4.00943396],0
b3,1,0.538167,0.378947,[18 39] ; [6 9],[19. 38.] ; [ 5. 10.],0
b2,1,0.538167,0.378947,[18 39] ; [6 9],[19. 38.] ; [ 5. 10.],0
a8,1,0.540969,0.373747,[ 9 63] ; [ 2 23],[ 8.16494845 63.83505155] ; [ 2.83505155 22.16494845],0
d2,1,0.543809,0.368526,[38 43] ; [10 15],[36.67924528 44.32075472] ; [11.32075472 13.67924528],0
r2,1,0.552735,0.35244,[72  7] ; [20  3],[71.25490196  7.74509804] ; [20.74509804  2.25490196],0
s8,1,0.569745,0.323109,[31 50] ; [ 8 17],[29.80188679 51.19811321] ; [ 9.19811321 15.80188679],0
s2,1,0.601523,0.272706,[29 52] ; [10 14],[30.08571429 50.91428571] ; [ 8.91428571 15.08571429],0
u2,1,0.61174,0.257649,[15  8] ; [5 4],[14.375  8.625] ; [5.625 3.375],0
n1,1,0.668108,0.183824,[ 3 14] ; [2 6],[ 3.4 13.6] ; [1.6 6.4],0
s1,1,0.681089,0.168902,[ 5 76] ; [ 1 24],[ 4.58490566 76.41509434] ; [ 1.41509434 23.58490566],0
v3,1,0.690895,0.158118,[24 55] ; [ 6 17],[23.23529412 55.76470588] ; [ 6.76470588 16.23529412],0
u3,1,0.694188,0.154589,[12 11] ; [4 5],[11.5 11.5] ; [4.5 4.5],0
v2,1,0.804243,0.061435,[42 37] ; [14 11],[42.53846154 36.46153846] ; [13.46153846 11.53846154],0
n3,1,0.865215,0.028812,[15  2] ; [6 1],[14.875  2.125] ; [6.125 0.875],0
n6,1,0.895526,0.017244,[53 28] ; [16  9],[52.72641509 28.27358491] ; [16.27358491  8.72641509],0
d1,1,0.903776,0.014615,[41 40] ; [13 12],[41.26415094 39.73584906] ; [12.73584906 12.26415094],0
n2,1,0.914641,0.011489,[11  6] ; [5 3],[10.88  6.12] ; [5.12 2.88],0
b1,1,0.944449,0.004855,[35 46] ; [11 14],[35.1509434 45.8490566] ; [10.8490566 14.1509434],0
s6,1,0.957633,0.002822,[41 40] ; [12 12],[40.88571429 40.11428571] ; [12.11428571 11.88571429],0
s7,1,0.957893,0.002788,[33 44] ; [10 13],[33.11 43.89] ; [ 9.89 13.11],0
