Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,7e-06,20.134286,[93 52] ; [42 74],[75. 70.] ; [60. 56.],1
v3,1,0.000801,11.237885,[68 80] ; [30 86],[54.93939394 93.06060606] ; [43.06060606 72.93939394],1
d5,1,0.0023,9.29352,[135  16] ; [89 29],[125.73977695  25.26022305] ; [98.26022305 19.73977695],0
r3,1,0.007894,7.05737,[147   3] ; [108  11],[142.19330855   7.80669145] ; [112.80669145   6.19330855],0
d4,1,0.010829,6.493207,[130  21] ; [87 31],[121.81040892  29.18959108] ; [95.18959108 22.81040892],0
a7,1,0.013368,6.119733,[116  35] ; [75 44],[106.81851852  44.18148148] ; [84.18148148 34.81851852],0
d1,1,0.014483,5.978351,[96 55] ; [58 61],[86.12592593 64.87407407] ; [67.87407407 51.12592593],0
s1,1,0.033203,4.535275,[  4 144] ; [ 10 106],[  7.84848485 140.15151515] ; [  6.15151515 109.84848485],0
p1,1,0.040389,4.201463,[  5 146] ; [ 11 108],[  8.94814815 142.05185185] ; [  7.05185185 111.94814815],0
a5,1,0.055168,3.676996,[115  36] ; [78 41],[107.93703704  43.06296296] ; [85.06296296 33.93703704],0
d3,1,0.055271,3.673884,[110  41] ; [73 45],[102.72490706  48.27509294] ; [80.27509294 37.72490706],0
p9,1,0.060766,3.516351,[130  20] ; [92 26],[124.25373134  25.74626866] ; [97.74626866 20.25373134],0
p6,1,0.067526,3.342157,[ 45 104] ; [24 94],[ 38.50561798 110.49438202] ; [30.49438202 87.50561798],0
b1,1,0.090973,2.857063,[52 99] ; [53 66],[58.72222222 92.27777778] ; [46.27777778 72.72222222],0
r1,1,0.109039,2.568089,[125  25] ; [89 29],[119.7761194  30.2238806] ; [94.2238806 23.7761194],0
b2,1,0.12589,2.342466,[28 70] ; [29 44],[32.66666667 65.33333333] ; [24.33333333 48.66666667],0
b3,1,0.12589,2.342466,[28 70] ; [29 44],[32.66666667 65.33333333] ; [24.33333333 48.66666667],0
p10,1,0.138709,2.19222,[121  30] ; [84 32],[115.93632959  35.06367041] ; [89.06367041 26.93632959],0
v4,1,0.154756,2.024738,[138  11] ; [115   4],[140.66044776   8.33955224] ; [112.33955224   6.66044776],0
