Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.001476,10.108539,[32 15] ; [86 10],[38.78321678  8.21678322] ; [79.21678322 16.78321678],0
s6,1,0.003329,8.61786,[33 17] ; [84 13],[39.79591837 10.20408163] ; [77.20408163 19.79591837],0
p10,1,0.004098,8.239672,[33 17] ; [82 13],[39.65517241 10.34482759] ; [75.34482759 19.65517241],0
v4,1,0.011245,6.426211,[41  8] ; [93  4],[44.97260274  4.02739726] ; [89.02739726  7.97260274],0
r4,1,0.01541,5.868969,[38 13] ; [87 10],[43.07432432  7.92567568] ; [81.92567568 15.07432432],0
n5,1,0.024166,5.082701,[29 21] ; [73 23],[34.93150685 15.06849315] ; [67.06849315 28.93150685],0
v2,1,0.046196,3.974419,[24 26] ; [60 32],[29.57746479 20.42253521] ; [54.42253521 37.57746479],0
p3,1,0.047472,3.928581,[ 9 42] ; [32 65],[14.12837838 36.87162162] ; [26.87162162 70.12837838],0
p7,1,0.06279,3.462123,[20 28] ; [53 38],[25.20863309 22.79136691] ; [47.79136691 43.20863309],0
s1,1,0.072373,3.228358,[ 6 44] ; [ 4 93],[ 3.40136054 46.59863946] ; [ 6.59863946 90.40136054],0
v1,1,0.077175,3.123414,[20 29] ; [53 41],[25.01398601 23.98601399] ; [47.98601399 46.01398601],0
v3,1,0.080736,3.050032,[16 33] ; [45 49],[20.9020979 28.0979021] ; [40.0979021 53.9020979],0
d5,1,0.082515,3.014661,[35 15] ; [80 17],[39.11564626 10.88435374] ; [75.88435374 21.11564626],0
s3,1,0.089845,2.87714,[32 17] ; [76 21],[36.24657534 12.75342466] ; [71.75342466 25.24657534],0
s5,1,0.094502,2.79597,[14 34] ; [41 53],[18.5915493 29.4084507] ; [36.4084507 57.5915493],0
r3,1,0.149168,2.080739,[44  5] ; [93  4],[45.97945205  3.02054795] ; [91.02054795  5.97945205],0
n6,1,0.160152,1.972789,[36 13] ; [80 16],[39.2  9.8] ; [76.8 19.2],0
p6,1,0.175674,1.833845,[ 9 40] ; [27 67],[12.33566434 36.66433566] ; [23.66433566 70.33566434],0
p12,1,0.182456,1.777502,[ 1 49] ; [ 7 89],[ 2.73972603 47.26027397] ; [ 5.26027397 90.73972603],0
r1,1,0.252046,1.311925,[38 13] ; [80 17],[40.66216216 10.33783784] ; [77.33783784 19.66216216],0
b1,1,0.288548,1.126382,[18 33] ; [43 54],[21.02027027 29.97972973] ; [39.97972973 57.02027027],0
p8,1,0.306281,1.046643,[15 33] ; [38 57],[17.79020979 30.20979021] ; [35.20979021 59.79020979],0
b3,1,0.309292,1.033698,[12 21] ; [32 36],[14.37623762 18.62376238] ; [29.62376238 38.37623762],0
b2,1,0.309292,1.033698,[12 21] ; [32 36],[14.37623762 18.62376238] ; [29.62376238 38.37623762],0
p2,1,0.348512,0.878866,[33 18] ; [70 27],[35.49324324 15.50675676] ; [67.50675676 29.49324324],0
p1,1,0.365888,0.817581,[ 3 48] ; [10 87],[ 4.47972973 46.52027027] ; [ 8.52027027 88.47972973],0
d1,1,0.372856,0.794124,[25 26] ; [55 42],[27.56756757 23.43243243] ; [52.43243243 44.56756757],0
n1,1,0.393153,0.729167,[ 7 11] ; [14 13],[8.4 9.6] ; [12.6 14.4],0
d4,1,0.414139,0.666888,[39 11] ; [81 16],[40.81632653  9.18367347] ; [79.18367347 17.81632653],0
s2,1,0.421983,0.644787,[33 18] ; [69 28],[35.14864865 15.85135135] ; [66.85135135 30.14864865],0
s4,1,0.449925,0.570841,[14 37] ; [21 75],[12.14285714 38.85714286] ; [22.85714286 73.14285714],0
u3,1,0.453129,0.562812,[7 4] ; [16  5],[7.90625 3.09375] ; [15.09375  5.90625],0
a2,1,0.498621,0.45787,[13 38] ; [20 77],[11.37162162 39.62837838] ; [21.62837838 75.37162162],0
p5,1,0.525912,0.402285,[ 4 47] ; [ 5 91],[ 3.12244898 47.87755102] ; [ 5.87755102 90.12244898],0
b4,1,0.586399,0.296004,[26 25] ; [54 43],[27.56756757 23.43243243] ; [52.43243243 44.56756757],0
d2,1,0.608239,0.262748,[22 28] ; [47 50],[23.46938776 26.53061224] ; [45.53061224 51.46938776],0
r2,1,0.613223,0.255508,[46  3] ; [91  4],[46.61805556  2.38194444] ; [90.38194444  4.61805556],0
a1,1,0.63195,0.229425,[ 3 48] ; [ 4 93],[ 2.41216216 48.58783784] ; [ 4.58783784 92.41216216],0
p11,1,0.635724,0.224378,[36 15] ; [72 25],[37.21621622 13.78378378] ; [70.78378378 26.21621622],0
a7,1,0.652919,0.20224,[35 16] ; [63 34],[33.77027027 17.22972973] ; [64.22972973 32.77027027],0
n3,1,0.694469,0.15429,[11  6] ; [19  8],[11.59090909  5.40909091] ; [18.40909091  8.59090909],0
a4,1,0.741202,0.109073,[23 28] ; [41 56],[22.05405405 28.94594595] ; [41.94594595 55.05405405],0
n4,1,0.748409,0.102873,[41 10] ; [75 21],[40.24489796 10.75510204] ; [75.75510204 20.24489796],0
u1,1,0.775725,0.081165,[11 40] ; [19 78],[10.33783784 40.66216216] ; [19.66216216 77.33783784],0
u2,1,0.795809,0.066964,[5 5] ; [11  9],[5.33333333 4.66666667] ; [10.66666667  9.33333333],0
b5,1,0.811853,0.056661,[31 20] ; [57 40],[30.32432432 20.67567568] ; [57.67567568 39.32432432],0
a6,1,0.858601,0.031739,[32 18] ; [60 36],[31.50684932 18.49315068] ; [60.49315068 35.50684932],0
a8,1,0.869028,0.02719,[ 9 37] ; [16 71],[ 8.64661654 37.35338346] ; [16.35338346 70.64661654],0
n2,1,0.873528,0.025338,[15  3] ; [22  5],[14.8  3.2] ; [22.2  4.8],0
a3,1,0.917151,0.010821,[40 11] ; [76 20],[40.24489796 10.75510204] ; [75.75510204 20.24489796],0
a5,1,0.932889,0.007091,[37 14] ; [71 26],[37.21621622 13.78378378] ; [70.78378378 26.21621622],0
d3,1,0.980724,0.000584,[30 20] ; [58 39],[29.93197279 20.06802721] ; [58.06802721 38.93197279],0
