Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,75.52165,[ 7 77] ; [93 43],[38.18181818 45.81818182] ; [61.81818182 74.18181818],1
d5,1,0.0,55.505013,[51 33] ; [134   2],[70.63636364 13.36363636] ; [114.36363636  21.63636364],1
d3,1,0.0,43.464409,[45 39] ; [125  11],[64.90909091 19.09090909] ; [105.09090909  30.90909091],1
a2,1,1.1e-05,19.411951,[ 2 82] ; [ 34 102],[13.74545455 70.25454545] ; [ 22.25454545 113.74545455],1
a5,1,9.1e-05,15.306288,[42 42] ; [103  33],[55.36363636 28.63636364] ; [89.63636364 46.36363636],1
a4,1,0.000484,12.177452,[22 62] ; [68 68],[34.36363636 49.63636364] ; [55.63636364 80.36363636],1
u1,1,0.001363,10.255243,[ 3 81] ; [ 25 111],[10.69090909 73.30909091] ; [ 17.30909091 118.69090909],0
v2,1,0.003975,8.295194,[32 48] ; [78 51],[42.10526316 37.89473684] ; [67.89473684 61.10526316],0
r2,1,0.017556,5.639966,[68 14] ; [124   9],[73.22790698  8.77209302] ; [118.77209302  14.22790698],0
a6,1,0.023554,5.127188,[44 40] ; [92 44],[51.92727273 32.07272727] ; [84.07272727 51.92727273],0
a3,1,0.040568,4.193988,[48 35] ; [97 39],[54.9543379 28.0456621] ; [90.0456621 45.9543379],0
p4,1,0.069161,3.302818,[29 55] ; [63 71],[35.44954128 48.55045872] ; [56.55045872 77.44954128],0
a1,1,0.074612,3.178535,[ 7 77] ; [  4 132],[ 4.2 79.8] ; [  6.8 129.2],0
p10,1,0.079184,3.081572,[47 36] ; [91 42],[53.02777778 29.97222222] ; [84.97222222 48.02777778],0
s4,1,0.09586,2.773109,[12 72] ; [ 32 104],[16.8 67.2] ; [ 27.2 108.8],0
u3,1,0.096024,2.77037,[18 16] ; [28 11],[21.42465753 12.57534247] ; [24.57534247 14.42465753],0
r1,1,0.103749,2.646953,[57 27] ; [105  30],[62.1369863 21.8630137] ; [99.8630137 35.1369863],0
a7,1,0.109067,2.567694,[58 26] ; [107  29],[63. 21.] ; [102.  34.],0
r3,1,0.122384,2.386539,[75  9] ; [129   7],[77.89090909  6.10909091] ; [126.10909091   9.89090909],0
s8,1,0.150878,2.063354,[21 62] ; [47 89],[25.7716895 57.2283105] ; [42.2283105 93.7716895],0
r4,1,0.161652,1.958701,[64 20] ; [114  22],[67.96363636 16.03636364] ; [110.03636364  25.96363636],0
s6,1,0.183014,1.772978,[41 41] ; [80 55],[45.7235023 36.2764977] ; [75.2764977 59.7235023],0
b5,1,0.212626,1.553455,[46 38] ; [86 50],[50.4 33.6] ; [81.6 54.4],0
p8,1,0.236381,1.402045,[28 56] ; [55 78],[32.12903226 51.87096774] ; [50.87096774 82.12903226],0
p9,1,0.257491,1.282199,[55 28] ; [97 35],[58.67906977 24.32093023] ; [93.32093023 38.67906977],0
p5,1,0.262749,1.254215,[ 6 78] ; [  5 129],[ 4.23853211 79.76146789] ; [  6.76146789 127.23853211],0
p11,1,0.306406,1.046106,[57 27] ; [83 53],[53.45454545 30.54545455] ; [86.54545455 49.45454545],0
n3,1,0.319046,0.992855,[13  8] ; [34 12],[14.73134328  6.26865672] ; [32.26865672 13.73134328],0
p6,1,0.331058,0.944754,[18 63] ; [37 94],[21.01415094 59.98584906] ; [33.98584906 97.01415094],0
p1,1,0.331247,0.944017,[ 3 80] ; [  9 125],[ 4.58986175 78.41013825] ; [  7.41013825 126.58986175],0
n1,1,0.353704,0.860124,[ 4 17] ; [14 33],[ 5.55882353 15.44117647] ; [12.44117647 34.55882353],0
p3,1,0.371632,0.798201,[30 54] ; [56 78],[33.13761468 50.86238532] ; [52.86238532 81.13761468],0
v3,1,0.375644,0.784908,[20 60] ; [39 88],[22.80193237 57.19806763] ; [36.19806763 90.80193237],0
s7,1,0.379645,0.771852,[26 55] ; [48 78],[28.95652174 52.04347826] ; [45.04347826 80.95652174],0
v4,1,0.395861,0.720864,[72 11] ; [123  13],[73.90410959  9.09589041] ; [121.09589041  14.90410959],0
a8,1,0.416873,0.659113,[ 6 73] ; [  6 118],[ 4.66995074 74.33004926] ; [  7.33004926 116.66995074],0
v1,1,0.443932,0.586097,[35 48] ; [48 82],[32.342723 50.657277] ; [50.657277 79.342723],0
p7,1,0.457822,0.551215,[40 43] ; [71 62],[42.65277778 40.34722222] ; [68.34722222 64.65277778],0
p12,1,0.485885,0.485625,[ 4 79] ; [  4 130],[ 3.05990783 79.94009217] ; [  4.94009217 129.05990783],0
