Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,22.08939,[36 10] ; [42 71],[22.56603774 23.43396226] ; [55.43396226 57.56603774],1
s7,1,6e-06,20.653492,[26 18] ; [22 83],[14.17449664 29.82550336] ; [33.82550336 71.17449664],1
s2,1,0.000116,14.855853,[30 17] ; [35 78],[19.09375 27.90625] ; [45.90625 67.09375],1
p4,1,0.000123,14.738972,[27 20] ; [29 84],[16.45 30.55] ; [39.55 73.45],1
p3,1,0.000314,12.987554,[23 24] ; [23 89],[13.59748428 33.40251572] ; [32.40251572 79.59748428],1
p9,1,0.000649,11.630733,[38  7] ; [61 49],[28.74193548 16.25806452] ; [70.25806452 39.74193548],1
r4,1,0.001198,10.492725,[44  3] ; [79 34],[36.13125 10.86875] ; [86.86875 26.13125],0
u1,1,0.001307,10.333271,[12 35] ; [  8 105],[ 5.875 41.125] ; [14.125 98.875],0
p10,1,0.001801,9.741723,[34 11] ; [54 58],[25.22292994 19.77707006] ; [62.77707006 49.22292994],0
v1,1,0.002655,9.030506,[24 20] ; [32 79],[15.89677419 28.10322581] ; [40.10322581 70.89677419],0
p6,1,0.007017,7.268545,[15 32] ; [15 96],[ 8.92405063 38.07594937] ; [21.07594937 89.92405063],0
p1,1,0.012015,6.308651,[ 6 41] ; [  3 109],[ 2.66037736 44.33962264] ; [  6.33962264 105.66037736],0
u3,1,0.01572,5.833929,[13  1] ; [23 17],[9.33333333 4.66666667] ; [26.66666667 13.33333333],0
s5,1,0.021111,5.317616,[17 27] ; [22 85],[11.36423841 32.63576159] ; [27.63576159 79.36423841],0
a8,1,0.023121,5.159417,[ 7 38] ; [  5 102],[ 3.55263158 41.44736842] ; [ 8.44736842 98.55263158],0
v2,1,0.038466,4.284307,[26 16] ; [47 62],[20.30463576 21.69536424] ; [52.69536424 56.30463576],0
p5,1,0.039587,4.235497,[ 3 43] ; [  1 112],[ 1.1572327 44.8427673] ; [  2.8427673 110.1572327],0
s3,1,0.047375,3.932025,[28 19] ; [47 64],[22.31012658 24.68987342] ; [52.68987342 58.31012658],0
u2,1,0.055652,3.662436,[11  2] ; [22 18],[8.09433962 4.90566038] ; [24.90566038 15.09433962],0
r3,1,0.055892,3.655287,[46  1] ; [100  13],[42.8875  4.1125] ; [103.1125   9.8875],0
a2,1,0.059351,3.555415,[12 35] ; [15 98],[ 7.93125 39.06875] ; [19.06875 93.93125],0
d2,1,0.077677,3.112856,[25 22] ; [43 70],[19.975 27.025] ; [48.025 64.975],0
b5,1,0.133407,2.252401,[33 14] ; [65 48],[28.7875 18.2125] ; [69.2125 43.7875],0
p12,1,0.148303,2.089625,[ 2 44] ; [  1 111],[ 0.87341772 45.12658228] ; [  2.12658228 109.87341772],0
r2,1,0.150959,2.062535,[44  3] ; [94 16],[41.31210191  5.68789809] ; [96.68789809 13.31210191],0
p7,1,0.152518,2.046888,[21 26] ; [37 76],[17.0375 29.9625] ; [40.9625 72.0375],0
a5,1,0.195281,1.677322,[31 16] ; [62 51],[27.31875 19.68125] ; [65.68125 47.31875],0
p11,1,0.195281,1.677322,[31 16] ; [62 51],[27.31875 19.68125] ; [65.68125 47.31875],0
s4,1,0.197395,1.661546,[14 33] ; [23 90],[10.86875 36.13125] ; [26.13125 86.86875],0
n4,1,0.202773,1.622287,[23 24] ; [43 70],[19.3875 27.6125] ; [46.6125 66.3875],0
b4,1,0.212911,1.551519,[32 15] ; [65 48],[28.49375 18.50625] ; [68.50625 44.49375],0
r1,1,0.227369,1.457246,[36 11] ; [75 37],[32.81132075 14.18867925] ; [78.18867925 33.81132075],0
s1,1,0.282319,1.155893,[ 1 46] ; [  7 106],[ 2.35 44.65] ; [  5.65 107.35],0
d5,1,0.288868,1.124888,[37 10] ; [79 33],[34.28930818 12.71069182] ; [81.71069182 30.28930818],0
a4,1,0.304381,1.054903,[22 25] ; [43 70],[19.09375 27.90625] ; [45.90625 67.09375],0
a6,1,0.373279,0.792721,[31 16] ; [66 47],[28.49375 18.50625] ; [68.50625 44.49375],0
a7,1,0.407339,0.686555,[35 12] ; [76 36],[32.81132075 14.18867925] ; [78.18867925 33.81132075],0
n1,1,0.407466,0.686183,[5 9] ; [11 34],[ 3.79661017 10.20338983] ; [12.20338983 32.79661017],0
a1,1,0.423215,0.641369,[ 3 44] ; [  4 109],[ 2.05625 44.94375] ; [  4.94375 108.05625],0
p2,1,0.430709,0.620912,[33 14] ; [72 41],[30.84375 16.15625] ; [74.15625 38.84375],0
a3,1,0.471452,0.51857,[33 14] ; [72 40],[31.03773585 15.96226415] ; [73.96226415 38.03773585],0
b3,1,0.491519,0.473199,[13 19] ; [19 38],[11.50561798 20.49438202] ; [20.49438202 36.50561798],0
b2,1,0.491519,0.473199,[13 19] ; [19 38],[11.50561798 20.49438202] ; [20.49438202 36.50561798],0
d1,1,0.533464,0.387789,[25 22] ; [54 59],[23.20625 23.79375] ; [55.79375 57.20625],0
d4,1,0.620395,0.245313,[38  9] ; [95 18],[39.06875  7.93125] ; [93.93125 19.06875],0
n6,1,0.776842,0.080336,[29 18] ; [67 46],[28.2 18.8] ; [67.8 45.2],0
n2,1,0.778565,0.079068,[8 6] ; [27 17],[8.44827586 5.55172414] ; [26.55172414 17.44827586],0
v3,1,0.834851,0.043466,[10 32] ; [24 84],[ 9.52 32.48] ; [24.48 83.52],0
n3,1,0.961672,0.002309,[10  4] ; [31 12],[10.07017544  3.92982456] ; [30.92982456 12.07017544],0
d3,1,0.988951,0.000192,[31 16] ; [74 38],[31.03773585 15.96226415] ; [73.96226415 38.03773585],0
b1,1,0.992996,7.7e-05,[20 27] ; [48 65],[19.975 27.025] ; [48.025 64.975],0
