Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.003159,8.713063,[34  3] ; [20 12],[28.95652174  8.04347826] ; [25.04347826  6.95652174],0
v3,1,0.024394,5.066411,[13 21] ; [ 4 26],[ 9.03125 24.96875] ; [ 7.96875 22.03125],0
r1,1,0.027973,4.829753,[30  6] ; [19 13],[25.94117647 10.05882353] ; [23.05882353  8.94117647],0
n3,1,0.055511,3.666667,[10  1] ; [6 5],[8. 3.] ; [8. 3.],0
b1,1,0.081508,3.034568,[19 18] ; [23  9],[22.52173913 14.47826087] ; [19.47826087 12.52173913],0
p8,1,0.09605,2.769931,[23 14] ; [13 18],[19.58823529 17.41176471] ; [16.41176471 14.58823529],0
d1,1,0.118628,2.435343,[22 15] ; [13 19],[18.76811594 18.23188406] ; [16.23188406 15.76811594],0
r4,1,0.132313,2.26516,[32  5] ; [23  9],[29.49275362  7.50724638] ; [25.50724638  6.49275362],0
p10,1,0.145819,2.115456,[27 10] ; [18 14],[24.13043478 12.86956522] ; [20.86956522 11.13043478],0
a5,1,0.147128,2.101779,[29  8] ; [20 12],[26.27536232 10.72463768] ; [22.72463768  9.27536232],0
s3,1,0.168689,1.89456,[16 20] ; [19 12],[18.80597015 17.19402985] ; [16.19402985 14.80597015],0
r2,1,0.205796,1.600753,[33  3] ; [26  6],[31.23529412  4.76470588] ; [27.76470588  4.23529412],0
s4,1,0.210564,1.567542,[ 4 33] ; [ 7 25],[ 5.89855072 31.10144928] ; [ 5.10144928 26.89855072],0
a4,1,0.220254,1.502715,[12 25] ; [15 17],[14.47826087 22.52173913] ; [12.52173913 19.47826087],0
s1,1,0.23464,1.41251,[ 1 35] ; [ 3 28],[ 2.14925373 33.85074627] ; [ 1.85074627 29.14925373],0
r3,1,0.236912,1.398873,[36  1] ; [29  3],[34.85507246  2.14492754] ; [30.14492754  1.85507246],0
n1,1,0.27874,1.173223,[6 4] ; [4 7],[4.76190476 5.23809524] ; [5.23809524 5.76190476],0
n5,1,0.300115,1.073684,[18 18] ; [12 20],[15.88235294 20.11764706] ; [14.11764706 17.88235294],0
a3,1,0.333315,0.935977,[25 12] ; [18 14],[23.05797101 13.94202899] ; [19.94202899 12.05797101],0
n2,1,0.338352,0.916667,[9 2] ; [7 4],[8. 3.] ; [8. 3.],0
d3,1,0.343331,0.897952,[26 11] ; [19 13],[24.13043478 12.86956522] ; [20.86956522 11.13043478],0
s6,1,0.343331,0.897952,[26 11] ; [19 13],[24.13043478 12.86956522] ; [20.86956522 11.13043478],0
