Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,138.866813,[138  13] ; [ 48 131],[85.10909091 65.89090909] ; [100.89090909  78.10909091],1
s6,1,0.0,73.33779,[133  18] ; [ 74 101],[95.8803681 55.1196319] ; [111.1196319  63.8803681],1
s7,1,0.0,53.528527,[99 47] ; [ 45 124],[66.74285714 79.25714286] ; [77.25714286 91.74285714],1
s8,1,1e-06,23.606262,[77 76] ; [ 44 135],[55.76204819 97.23795181] ; [ 65.23795181 113.76204819],1
p6,1,0.000105,15.041381,[58 94] ; [ 34 145],[ 42.24773414 109.75226586] ; [ 49.75226586 129.24773414],1
s4,1,0.000139,14.521298,[ 40 109] ; [ 19 160],[ 26.80182927 122.19817073] ; [ 32.19817073 146.80182927],1
p2,1,0.000298,13.08276,[131  21] ; [125  55],[117.20481928  34.79518072] ; [138.79518072  41.20481928],1
u1,1,0.000921,10.979173,[ 37 116] ; [ 19 161],[ 25.72972973 127.27027027] ; [ 30.27027027 149.72972973],1
r3,1,0.001746,9.798682,[148   3] ; [160  19],[140.93333333  10.06666667] ; [167.06666667  11.93333333],0
p9,1,0.001777,9.766464,[125  25] ; [121  56],[112.8440367  37.1559633] ; [133.1559633  43.8440367],0
d2,1,0.003151,8.717714,[85 67] ; [ 71 108],[71.63746224 80.36253776] ; [84.36253776 94.63746224],0
p4,1,0.004954,7.896241,[91 61] ; [78 98],[78.31707317 73.68292683] ; [90.68292683 85.31707317],0
p7,1,0.005316,7.768523,[99 50] ; [90 86],[86.64923077 62.35076923] ; [102.35076923  73.64923077],0
n5,1,0.005591,7.67747,[113  39] ; [106  71],[101.17933131  50.82066869] ; [117.82066869  59.17933131],0
p10,1,0.00947,6.73204,[123  29] ; [121  56],[112.72948328  39.27051672] ; [131.27051672  45.72948328],0
n6,1,0.019692,5.438964,[129  23] ; [134  46],[120.40963855  31.59036145] ; [142.59036145  37.40963855],0
s5,1,0.022846,5.180149,[53 94] ; [ 43 133],[ 43.69040248 103.30959752] ; [ 52.30959752 123.69040248],0
a2,1,0.034348,4.477311,[ 42 111] ; [ 32 148],[ 34. 119.] ; [ 40. 140.],0
r2,1,0.039277,4.248848,[147   4] ; [165  14],[142.76363636   8.23636364] ; [169.23636364   9.76363636],0
r4,1,0.042651,4.109186,[146   7] ; [161  19],[141.05405405  11.94594595] ; [165.94594595  14.05405405],0
v4,1,0.05275,3.751807,[147   5] ; [164  15],[142.81570997   9.18429003] ; [168.18429003  10.81570997],0
d1,1,0.053202,3.737554,[96 57] ; [94 86],[87.2972973 65.7027027] ; [102.7027027  77.2972973],0
n4,1,0.059502,3.551209,[120  33] ; [124  55],[112.44578313  40.55421687] ; [131.55421687  47.44578313],0
a4,1,0.077895,3.108282,[72 80] ; [ 68 112],[64.09638554 87.90361446] ; [ 75.90361446 104.09638554],0
p3,1,0.08972,2.879399,[71 80] ; [ 68 112],[63.41087613 87.58912387] ; [ 75.58912387 104.41087613],0
