Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000529,12.011029,[25  5] ; [ 9 15],[18.88888889 11.11111111] ; [15.11111111  8.88888889],1
v3,1,0.000953,10.916179,[16 16] ; [ 2 22],[10.28571429 21.71428571] ; [ 7.71428571 16.28571429],1
s6,1,0.005562,7.687059,[16 14] ; [ 4 20],[11.11111111 18.88888889] ; [ 8.88888889 15.11111111],0
s2,1,0.014919,5.925974,[16 14] ; [ 5 19],[11.66666667 18.33333333] ; [ 9.33333333 14.66666667],0
p11,1,0.019915,5.419355,[22 10] ; [ 9 15],[17.71428571 14.28571429] ; [13.28571429 10.71428571],0
p5,1,0.039565,4.236456,[ 2 30] ; [ 6 17],[ 4.65454545 27.34545455] ; [ 3.34545455 19.65454545],0
n1,1,0.040867,4.181507,[ 1 14] ; [5 8],[ 3.21428571 11.78571429] ; [ 2.78571429 10.21428571],0
v1,1,0.047705,3.920336,[15 14] ; [ 6 18],[11.49056604 17.50943396] ; [ 9.50943396 14.49056604],0
b5,1,0.0743,3.185376,[21 11] ; [10 14],[17.71428571 14.28571429] ; [13.28571429 10.71428571],0
p6,1,0.097459,2.74664,[ 8 22] ; [ 2 21],[ 5.66037736 24.33962264] ; [ 4.33962264 18.66037736],0
p7,1,0.120529,2.410436,[10 21] ; [ 3 19],[ 7.60377358 23.39622642] ; [ 5.39622642 16.60377358],0
v4,1,0.142773,2.14782,[22  8] ; [13 11],[19.44444444 10.55555556] ; [15.55555556  8.44444444],0
a7,1,0.198945,1.650106,[22  9] ; [13 11],[19.72727273 11.27272727] ; [15.27272727  8.72727273],0
p2,1,0.218318,1.515396,[18 13] ; [ 9 13],[15.79245283 15.20754717] ; [11.20754717 10.79245283],0
n6,1,0.245885,1.346533,[21 10] ; [12 11],[18.94444444 12.05555556] ; [14.05555556  8.94444444],0
n2,1,0.255623,1.292308,[9 6] ; [5 8],[7.5 7.5] ; [6.5 6.5],0
b1,1,0.280087,1.166667,[14 18] ; [14 10],[16. 16.] ; [12. 12.],0
s5,1,0.290338,1.118052,[ 9 21] ; [ 4 19],[ 7.35849057 22.64150943] ; [ 5.64150943 17.35849057],0
s7,1,0.290696,1.116396,[14 15] ; [ 7 14],[12.18 16.82] ; [ 8.82 12.18],0
p9,1,0.377536,0.778711,[18 12] ; [11 12],[16.41509434 13.58490566] ; [12.58490566 10.41509434],0
s1,1,0.39167,0.733753,[ 1 31] ; [ 2 22],[ 1.71428571 30.28571429] ; [ 1.28571429 22.71428571],0
a1,1,0.416976,0.658824,[ 2 30] ; [ 3 21],[ 2.85714286 29.14285714] ; [ 2.14285714 21.85714286],0
a4,1,0.424552,0.637681,[16 16] ; [14  9],[17.45454545 14.54545455] ; [12.54545455 10.45454545],0
r1,1,0.460443,0.544817,[12 19] ; [ 7 17],[10.70909091 20.29090909] ; [ 8.29090909 15.70909091],0
p3,1,0.486655,0.483913,[ 9 21] ; [ 9 14],[10.18867925 19.81132075] ; [ 7.81132075 15.18867925],0
s8,1,0.488775,0.479223,[ 9 22] ; [ 5 19],[ 7.89090909 23.10909091] ; [ 6.10909091 17.89090909],0
r2,1,0.510285,0.433482,[20  9] ; [17  5],[21.03921569  7.96078431] ; [15.96078431  6.03921569],0
n4,1,0.514529,0.424846,[20 12] ; [17  7],[21.14285714 10.85714286] ; [15.85714286  8.14285714],0
n5,1,0.514906,0.424084,[18 13] ; [16  8],[19.16363636 11.83636364] ; [14.83636364  9.16363636],0
a3,1,0.532884,0.388889,[25  7] ; [17  7],[24.  8.] ; [18.  6.],0
n3,1,0.54659,0.363462,[7 7] ; [5 8],[6.22222222 7.77777778] ; [5.77777778 7.22222222],0
b4,1,0.576999,0.311111,[21 11] ; [14 10],[20. 12.] ; [15.  9.],0
u2,1,0.576999,0.311111,[2 5] ; [3 4],[2.5 4.5] ; [2.5 4.5],0
