Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,38.633681,[ 1 41] ; [65 47],[18. 24.] ; [48. 64.],1
d4,1,1e-06,23.40636,[19 23] ; [94 18],[30.81818182 11.18181818] ; [82.18181818 29.81818182],1
d3,1,2.4e-05,17.839923,[11 31] ; [72 40],[22.63636364 19.36363636] ; [60.36363636 51.63636364],1
a5,1,3e-05,17.419802,[12 30] ; [74 38],[23.45454545 18.54545455] ; [62.54545455 49.45454545],1
a4,1,0.000383,12.611373,[ 4 38] ; [44 68],[13.09090909 28.90909091] ; [34.90909091 77.09090909],1
d2,1,0.000424,12.423893,[ 6 36] ; [50 61],[15.37254902 26.62745098] ; [40.62745098 70.37254902],1
a3,1,0.000914,10.994767,[17 25] ; [78 34],[25.90909091 16.09090909] ; [69.09090909 42.90909091],1
p3,1,0.002985,8.81656,[10 32] ; [56 55],[18.11764706 23.88235294] ; [47.88235294 63.11764706],0
r2,1,0.003458,8.548482,[26 15] ; [92 16],[32.46979866  8.53020134] ; [85.53020134 22.46979866],0
v1,1,0.005632,7.664532,[10 31] ; [53 54],[17.4527027 23.5472973] ; [45.5472973 61.4527027],0
v2,1,0.008181,6.993353,[11 30] ; [55 53],[18.16107383 22.83892617] ; [47.83892617 60.16107383],0
v3,1,0.011593,6.372008,[ 6 36] ; [38 70],[12.32 29.68] ; [31.68 76.32],0
a6,1,0.021561,5.280856,[18 24] ; [71 41],[24.27272727 17.72727273] ; [64.72727273 47.27272727],0
a7,1,0.036505,4.373345,[20 22] ; [74 38],[25.63636364 16.36363636] ; [68.36363636 43.63636364],0
p10,1,0.052199,3.769377,[30 12] ; [92 16],[34.16  7.84] ; [87.84 20.16],0
r4,1,0.052991,3.744208,[21 21] ; [75 37],[26.18181818 15.81818182] ; [69.81818182 42.18181818],0
p2,1,0.06849,3.318834,[29 13] ; [90 19],[33.09933775  8.90066225] ; [85.90066225 23.09933775],0
n1,1,0.086043,2.946883,[ 3 12] ; [16 19],[5.7 9.3] ; [13.3 21.7],0
r3,1,0.105667,2.617853,[34  7] ; [103   9],[36.7124183  4.2875817] ; [100.2875817  11.7124183],0
u3,1,0.137218,2.208879,[ 8 17] ; [17 16],[10.77586207 14.22413793] ; [14.22413793 18.77586207],0
s4,1,0.152581,2.046253,[11 31] ; [18 94],[ 7.90909091 34.09090909] ; [21.09090909 90.90909091],0
n4,1,0.157771,1.995465,[25 17] ; [80 32],[28.63636364 13.36363636] ; [76.36363636 35.63636364],0
b3,1,0.158314,1.990256,[ 5 20] ; [26 48],[ 7.82828283 17.17171717] ; [23.17171717 50.82828283],0
b2,1,0.158314,1.990256,[ 5 20] ; [26 48],[ 7.82828283 17.17171717] ; [23.17171717 50.82828283],0
n3,1,0.216063,1.53033,[13  2] ; [26 11],[11.25  3.75] ; [27.75  9.25],0
p6,1,0.222359,1.489081,[12 30] ; [42 65],[15.22147651 26.77852349] ; [38.77852349 68.22147651],0
s3,1,0.228332,1.45122,[16 25] ; [56 56],[19.29411765 21.70588235] ; [52.70588235 59.29411765],0
p1,1,0.251487,1.315024,[ 6 36] ; [  9 102],[ 4.11764706 37.88235294] ; [ 10.88235294 100.11764706],0
n2,1,0.263696,1.249249,[10  5] ; [30  7],[11.53846154  3.46153846] ; [28.46153846  8.53846154],0
n6,1,0.278365,1.175054,[32 10] ; [93 18],[34.31372549  7.68627451] ; [90.68627451 20.31372549],0
p9,1,0.311367,1.024867,[34  8] ; [97 14],[35.96078431  6.03921569] ; [95.03921569 15.96078431],0
p4,1,0.330153,0.948296,[19 23] ; [60 51],[21.68627451 20.31372549] ; [57.31372549 53.68627451],0
b4,1,0.357675,0.846039,[24 18] ; [73 39],[26.45454545 15.54545455] ; [70.54545455 41.45454545],0
v4,1,0.385464,0.753204,[34  7] ; [98 13],[35.60526316  5.39473684] ; [96.39473684 14.60526316],0
s7,1,0.403437,0.698058,[14 26] ; [46 62],[16.21621622 23.78378378] ; [43.78378378 64.21621622],0
s2,1,0.406842,0.688011,[16 26] ; [51 61],[18.27272727 23.72727273] ; [48.72727273 63.27272727],0
p8,1,0.5378,0.379633,[22 20] ; [51 58],[20.30463576 21.69536424] ; [52.69536424 56.30463576],0
u2,1,0.549077,0.358974,[12 13] ; [19 15],[13.13559322 11.86440678] ; [17.86440678 16.13559322],0
p5,1,0.564513,0.331951,[ 6 36] ; [12 98],[ 4.97368421 37.02631579] ; [13.02631579 96.97368421],0
s6,1,0.586489,0.295861,[23 19] ; [65 44],[24.47682119 17.52317881] ; [63.52317881 45.47682119],0
a1,1,0.593323,0.285185,[ 2 40] ; [  8 104],[ 2.72727273 39.27272727] ; [  7.27272727 104.72727273],0
p12,1,0.657622,0.196425,[ 3 38] ; [  6 105],[ 2.42763158 38.57236842] ; [  6.57236842 104.42763158],0
s8,1,0.705717,0.142593,[14 28] ; [41 71],[15. 27.] ; [40. 72.],0
s5,1,0.720715,0.127808,[ 9 32] ; [26 79],[ 9.82876712 31.17123288] ; [25.17123288 79.82876712],0
b5,1,0.735099,0.114481,[25 17] ; [70 42],[25.90909091 16.09090909] ; [69.09090909 42.90909091],0
s1,1,0.741856,0.108502,[ 2 40] ; [  4 107],[ 1.64705882 40.35294118] ; [  4.35294118 106.64705882],0
p7,1,0.782173,0.076445,[21 19] ; [60 49],[21.74496644 18.25503356] ; [59.25503356 49.74496644],0
b1,1,0.78443,0.07483,[16 26] ; [40 72],[15.27272727 26.72727273] ; [40.72727273 71.27272727],0
n5,1,0.937015,0.006245,[30 12] ; [80 31],[30.19607843 11.80392157] ; [79.80392157 31.19607843],0
a8,1,0.946599,0.004486,[ 4 36] ; [11 95],[ 4.10958904 35.89041096] ; [10.89041096 95.10958904],0
