Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001446,10.145561,[ 67 242] ; [9 7],[ 72.25846154 236.74153846] ; [ 3.74153846 12.25846154],0
p7,1,0.010689,6.516378,[163 159] ; [14  3],[168.12389381 153.87610619] ; [8.87610619 8.12389381],0
p12,1,0.011723,6.352358,[  7 318] ; [ 2 14],[  8.57771261 316.42228739] ; [ 0.42228739 15.57771261],0
p4,1,0.012746,6.204024,[148 177] ; [13  4],[152.99707602 172.00292398] ; [8.00292398 8.99707602],0
p10,1,0.020523,5.366879,[217 105] ; [16  1],[221.31563422 100.68436578] ; [11.68436578  5.31563422],0
s8,1,0.023515,5.130087,[ 61 265] ; [ 7 10],[ 64.62973761 261.37026239] ; [ 3.37026239 13.62973761],0
p11,1,0.039809,4.226004,[233  94] ; [16  1],[236.69476744  90.30523256] ; [12.30523256  4.69476744],0
v3,1,0.04626,3.972102,[102 215] ; [9 7],[105.66666667 211.33333333] ; [ 5.33333333 10.66666667],0
p9,1,0.046423,3.96618,[231  89] ; [16  1],[234.54005935  85.45994065] ; [12.45994065  4.54005935],0
p3,1,0.064001,3.430548,[119 207] ; [10  7],[122.60641399 203.39358601] ; [ 6.39358601 10.60641399],0
p6,1,0.106939,2.598881,[ 82 239] ; [7 9],[ 84.77448071 236.22551929] ; [ 4.22551929 11.77448071],0
n3,1,0.109194,2.565849,[60 33] ; [1 3],[58.48453608 34.51546392] ; [2.51546392 1.48453608],0
p8,1,0.112156,2.523582,[144 176] ; [11  6],[147.1810089 172.8189911] ; [7.8189911 9.1810089],0
b3,1,0.132742,2.26014,[ 63 126] ; [7 6],[ 65.4950495 123.5049505] ; [4.5049505 8.4950495],0
b2,1,0.132742,2.26014,[ 63 126] ; [7 6],[ 65.4950495 123.5049505] ; [4.5049505 8.4950495],0
r1,1,0.141775,2.158588,[227  98] ; [9 8],[224.26900585 100.73099415] ; [11.73099415  5.26900585],0
u2,1,0.170684,1.876923,[57 60] ; [4 1],[58.5 58.5] ; [2.5 2.5],0
v1,1,0.200872,1.636026,[150 175] ; [10  6],[152.49266862 172.50733138] ; [7.50733138 8.49266862],0
b1,1,0.225118,1.471446,[125 202] ; [9 8],[127.37790698 199.62209302] ; [ 6.62209302 10.37790698],0
d5,1,0.23125,1.433153,[252  74] ; [11  6],[249.96501458  76.03498542] ; [13.03498542  3.96501458],0
s6,1,0.248056,1.334219,[109 217] ; [8 9],[111.20116618 214.79883382] ; [ 5.79883382 11.20116618],0
s1,1,0.392135,0.732311,[  8 316] ; [ 1 16],[  8.55131965 315.44868035] ; [ 0.44868035 16.55131965],0
n5,1,0.424955,0.636572,[217 106] ; [13  4],[218.5 104.5] ; [11.5  5.5],0
d1,1,0.440778,0.594257,[166 161] ; [ 7 10],[164.4505814 162.5494186] ; [8.5494186 8.4505814],0
a2,1,0.441124,0.593357,[ 63 264] ; [ 2 15],[ 61.7877907 265.2122093] ; [ 3.2122093 13.7877907],0
d4,1,0.488672,0.47945,[245  82] ; [14  3],[246.2005814  80.7994186] ; [12.7994186  4.2005814],0
r3,1,0.489227,0.478225,[286  39] ; [14  3],[285.0877193  39.9122807] ; [14.9122807  2.0877193],0
r4,1,0.496227,0.462997,[254  73] ; [12  5],[252.85465116  74.14534884] ; [13.14534884  3.85465116],0
p2,1,0.497037,0.461258,[240  86] ; [13  3],[241.16374269  84.83625731] ; [11.83625731  4.16374269],0
r2,1,0.535376,0.384177,[280  40] ; [14  3],[279.16913947  40.83086053] ; [14.83086053  2.16913947],0
a7,1,0.553914,0.350352,[232  93] ; [11  6],[230.92105263  94.07894737] ; [12.07894737  4.92105263],0
u3,1,0.568912,0.324506,[55 62] ; [3 2],[55.62295082 61.37704918] ; [2.37704918 2.62295082],0
n2,1,0.57417,0.315755,[60 34] ; [2 2],[59.46938776 34.53061224] ; [2.53061224 1.46938776],0
a3,1,0.597538,0.278724,[209 116] ; [12  5],[210.01461988 114.98538012] ; [10.98538012  6.01461988],0
v2,1,0.6083,0.262658,[157 159] ; [9 7],[158. 158.] ; [8. 8.],0
d2,1,0.634659,0.225795,[134 192] ; [ 6 11],[133.06122449 192.93877551] ; [ 6.93877551 10.06122449],0
a8,1,0.658771,0.19502,[ 28 265] ; [ 1 15],[ 27.49838188 265.50161812] ; [ 1.50161812 14.49838188],0
a4,1,0.699148,0.14936,[130 195] ; [ 6 11],[129.23976608 195.76023392] ; [ 6.76023392 10.23976608],0
n4,1,0.728836,0.120183,[224 102] ; [11  6],[223.35276968 102.64723032] ; [11.64723032  5.35276968],0
a5,1,0.79616,0.066729,[221 106] ; [12  5],[221.48546512 105.51453488] ; [11.51453488  5.48546512],0
n1,1,0.803615,0.061838,[29 65] ; [1 3],[28.7755102 65.2244898] ; [1.2244898 2.7755102],0
a6,1,0.804974,0.060967,[221 106] ; [11  6],[220.53488372 106.46511628] ; [11.46511628  5.53488372],0
n6,1,0.858726,0.031683,[250  75] ; [12  4],[249.70674487  75.29325513] ; [12.29325513  3.70674487],0
b4,1,0.904087,0.01452,[178 149] ; [9 8],[177.75872093 149.24127907] ; [9.24127907 7.75872093],0
d3,1,0.91219,0.012161,[206 119] ; [11  6],[206.21345029 118.78654971] ; [10.78654971  6.21345029],0
b5,1,0.926926,0.008411,[208 119] ; [11  6],[208.17732558 118.82267442] ; [10.82267442  6.17732558],0
p1,1,0.949436,0.004022,[ 18 308] ; [ 1 16],[ 18.05830904 307.94169096] ; [ 0.94169096 16.05830904],0
u1,1,0.954528,0.003251,[ 37 290] ; [ 2 15],[ 37.07267442 289.92732558] ; [ 1.92732558 15.07267442],0
v4,1,0.989182,0.000184,[288  38] ; [15  2],[287.98250729  38.01749271] ; [15.01749271  1.98250729],0
s2,1,0.992776,8.2e-05,[ 38 287] ; [ 2 15],[ 38.01169591 286.98830409] ; [ 1.98830409 15.01169591],0
