Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,33.515296,[51 12] ; [ 4 22],[38.93258427 24.06741573] ; [16.06741573  9.93258427],1
s3,1,1.2e-05,19.147521,[50 13] ; [ 8 18],[41.05617978 21.94382022] ; [16.94382022  9.05617978],1
s2,1,8.8e-05,15.387847,[48 16] ; [ 8 18],[39.82222222 24.17777778] ; [16.17777778  9.82222222],1
s6,1,0.002184,9.388165,[59  4] ; [15  7],[54.84705882  8.15294118] ; [19.15294118  2.84705882],0
r2,1,0.002322,9.275841,[63  1] ; [21  5],[59.73333333  4.26666667] ; [24.26666667  1.73333333],0
p6,1,0.015055,5.910001,[44 19] ; [11 15],[38.93258427 24.06741573] ; [16.06741573  9.93258427],0
b5,1,0.037514,4.326923,[24 40] ; [16 10],[28.44444444 35.55555556] ; [11.55555556 14.44444444],0
a3,1,0.045403,4.003607,[54 10] ; [17  9],[50.48888889 13.51111111] ; [20.51111111  5.48888889],0
p3,1,0.049735,3.850359,[53 10] ; [17  9],[49.5505618 13.4494382] ; [20.4494382  5.5505618],0
d3,1,0.055153,3.677444,[47 16] ; [14 12],[43.17977528 19.82022472] ; [17.82022472  8.17977528],0
n4,1,0.062812,3.461538,[60  4] ; [21  5],[57.6  6.4] ; [23.4  2.6],0
p7,1,0.078069,3.104652,[53  9] ; [18  8],[50.02272727 11.97727273] ; [20.97727273  5.02272727],0
p8,1,0.103534,2.65024,[54 10] ; [18  8],[51.2 12.8] ; [20.8  5.2],0
p4,1,0.107818,2.585918,[58  5] ; [20  5],[55.84090909  7.15909091] ; [22.15909091  2.84090909],0
p2,1,0.118227,2.440655,[59  5] ; [21  5],[56.88888889  7.11111111] ; [23.11111111  2.88888889],0
n5,1,0.118227,2.440655,[59  5] ; [21  5],[56.88888889  7.11111111] ; [23.11111111  2.88888889],0
r1,1,0.137587,2.204742,[57  7] ; [20  6],[54.75555556  9.24444444] ; [22.24444444  3.75555556],0
d1,1,0.233878,1.417119,[43 21] ; [14 12],[40.53333333 23.46666667] ; [16.46666667  9.53333333],0
b1,1,0.274671,1.193269,[24 40] ; [13 13],[26.31111111 37.68888889] ; [10.68888889 15.31111111],0
p11,1,0.298311,1.081731,[55  9] ; [20  6],[53.33333333 10.66666667] ; [21.66666667  4.33333333],0
p10,1,0.303752,1.057648,[57  7] ; [24  1],[58.24719101  5.75280899] ; [22.75280899  2.24719101],0
p12,1,0.30927,1.03379,[19 45] ; [ 5 21],[17.06666667 46.93333333] ; [ 6.93333333 19.06666667],0
a1,1,0.315661,1.006842,[10 54] ; [ 2 24],[ 8.53333333 55.46666667] ; [ 3.46666667 22.53333333],0
a6,1,0.353853,0.85959,[37 26] ; [18  8],[38.93258427 24.06741573] ; [16.06741573  9.93258427],0
d2,1,0.355081,0.855217,[32 31] ; [16 10],[33.97752809 29.02247191] ; [14.02247191 11.97752809],0
d5,1,0.409643,0.679836,[51 12] ; [19  7],[49.5505618 13.4494382] ; [20.4494382  5.5505618],0
v4,1,0.505315,0.443755,[63  1] ; [25  1],[62.57777778  1.42222222] ; [25.42222222  0.57777778],0
u3,1,0.514584,0.424735,[7 3] ; [5 4],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
u2,1,0.514584,0.424735,[7 3] ; [5 4],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
b4,1,0.552196,0.353398,[35 29] ; [16 10],[36.26666667 27.73333333] ; [14.73333333 11.26666667],0
p1,1,0.584371,0.299221,[21 43] ; [ 7 19],[19.91111111 44.08888889] ; [ 8.08888889 17.91111111],0
n6,1,0.585099,0.298064,[60  3] ; [24  2],[59.46067416  3.53932584] ; [24.53932584  1.46067416],0
u1,1,0.641838,0.216346,[12 52] ; [ 6 20],[12.8 51.2] ; [ 5.2 20.8],0
a7,1,0.647166,0.209492,[45 19] ; [17  9],[44.08888889 19.91111111] ; [17.91111111  8.08888889],0
a2,1,0.677392,0.173077,[10 54] ; [ 5 21],[10.66666667 53.33333333] ; [ 4.33333333 21.66666667],0
d4,1,0.700383,0.148074,[53 10] ; [21  5],[52.38202247 10.61797753] ; [21.61797753  4.38202247],0
s4,1,0.759131,0.094017,[ 9 55] ; [ 4 20],[ 9.45454545 54.54545455] ; [ 3.54545455 20.45454545],0
n3,1,0.761001,0.092517,[8 6] ; [2 1],[8.23529412 5.76470588] ; [1.76470588 1.23529412],0
v2,1,0.761928,0.091779,[35 27] ; [15 10],[35.63218391 26.36781609] ; [14.36781609 10.63218391],0
p9,1,0.803653,0.061813,[60  4] ; [24  2],[59.73333333  4.26666667] ; [24.26666667  1.73333333],0
n2,1,0.86952,0.026984,[10  4] ; [2 1],[9.88235294 4.11764706] ; [2.11764706 0.88235294],0
a4,1,0.900403,0.015663,[28 36] ; [11 15],[27.73333333 36.26666667] ; [11.26666667 14.73333333],0
v3,1,0.911124,0.012459,[38 24] ; [15 10],[37.77011494 24.22988506] ; [15.22988506  9.77011494],0
