Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,52.117419,[ 97 146] ; [110  31],[130.9921875 112.0078125] ; [76.0078125 64.9921875],1
v1,1,0.000301,13.065984,[104 144] ; [86 55],[121.1311054 126.8688946] ; [68.8688946 72.1311054],1
s7,1,0.001039,10.757152,[ 51 190] ; [49 84],[ 64.43850267 176.56149733] ; [35.56149733 97.43850267],0
p5,1,0.00208,9.477169,[ 15 236] ; [ 22 121],[ 23.57106599 227.42893401] ; [ 13.42893401 129.57106599],0
s8,1,0.003606,8.472137,[ 54 195] ; [50 92],[ 66.23017903 182.76982097] ; [ 37.76982097 104.23017903],0
p3,1,0.005874,7.588562,[106 145] ; [81 62],[119.12944162 131.87055838] ; [67.87055838 75.12944162],0
p7,1,0.014466,5.980349,[145 103] ; [100  41],[156.19537275  91.80462725] ; [88.80462725 52.19537275],0
p10,1,0.015275,5.88448,[179  70] ; [116  24],[188.83033419  60.16966581] ; [106.16966581  33.83033419],0
n4,1,0.018103,5.586122,[178  73] ; [116  26],[187.77099237  63.22900763] ; [106.22900763  35.77099237],0
a1,1,0.026272,4.937996,[  4 247] ; [  8 135],[  7.64467005 243.35532995] ; [  4.35532995 138.64467005],0
p6,1,0.033056,4.542885,[ 68 180] ; [53 87],[ 77.34020619 170.65979381] ; [43.65979381 96.34020619],0
p4,1,0.034753,4.45729,[124 126] ; [85 55],[133.97435897 116.02564103] ; [75.02564103 64.97435897],0
p12,1,0.046667,3.957367,[  7 242] ; [ 10 131],[ 10.85384615 238.14615385] ; [  6.14615385 134.85384615],0
n5,1,0.0519,3.778985,[168  81] ; [109  33],[176.40153453  72.59846547] ; [100.59846547  41.40153453],0
n6,1,0.078103,3.103943,[202  49] ; [125  18],[208.31725888  42.68274112] ; [118.68274112  24.31725888],0
p8,1,0.100963,2.690271,[123 125] ; [81 58],[130.72868217 117.27131783] ; [73.27131783 65.72868217],0
