Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,176.339492,[490  72] ; [ 56 100],[427.37047354 134.62952646] ; [118.62952646  37.37047354],1
n6,1,0.0,46.818724,[508  55] ; [106  49],[481.45125348  81.54874652] ; [132.54874652  22.45125348],1
a5,1,0.0,33.900656,[446 118] ; [88 69],[417.71983356 146.28016644] ; [116.28016644  40.71983356],1
a4,1,0.0,26.413833,[280 282] ; [ 42 115],[251.68845619 310.31154381] ; [70.31154381 86.68845619],1
p4,1,1e-06,24.355909,[382 180] ; [73 84],[355.64673157 206.35326843] ; [99.35326843 57.64673157],1
s7,1,4e-06,21.097936,[295 241] ; [ 52 101],[269.94484761 266.05515239] ; [77.05515239 75.94484761],1
d2,1,1e-05,19.460162,[298 264] ; [ 52 105],[273.5744089 288.4255911] ; [76.4255911 80.5744089],1
r4,1,1.7e-05,18.528122,[541  23] ; [136  21],[529.58113731  34.41886269] ; [147.41886269   9.58113731],1
a3,1,2.7e-05,17.623082,[427 135] ; [92 64],[406.2367688 155.7632312] ; [112.7632312  43.2367688],1
p6,1,6.3e-05,16.007483,[241 315] ; [ 39 114],[219.57686883 336.42313117] ; [60.42313117 92.57686883],1
v3,1,8.8e-05,15.369124,[239 308] ; [ 39 111],[218.17216643 328.82783357] ; [59.82783357 90.17216643],1
d5,1,0.000116,14.861038,[482  81] ; [113  43],[465.90403338  97.09596662] ; [129.09596662  26.90403338],1
s4,1,0.00026,13.336802,[ 77 479] ; [ 41 116],[ 92.01683029 463.98316971] ; [ 25.98316971 131.01683029],1
a2,1,0.000273,13.244689,[155 409] ; [ 21 136],[137.67545076 426.32454924] ; [ 38.32454924 118.67545076],1
a8,1,0.000332,12.881434,[ 84 421] ; [  7 137],[ 70.80893683 434.19106317] ; [ 20.19106317 123.80893683],1
p3,1,0.000384,12.607064,[316 247] ; [63 94],[296.35694444 266.64305556] ; [82.64305556 74.35694444],1
v1,1,0.000424,12.423634,[327 223] ; [66 86],[307.90598291 242.09401709] ; [85.09401709 66.90598291],1
r1,1,0.000497,12.125328,[480  81] ; [115  41],[465.54393305  95.45606695] ; [129.45606695  26.54393305],1
p11,1,0.001119,10.619396,[471  93] ; [113  44],[456.83217753 107.16782247] ; [127.16782247  29.83217753],0
p10,1,0.001201,10.488891,[484  77] ; [117  38],[470.8952514  90.1047486] ; [130.1047486  24.8952514],0
d1,1,0.001928,9.616871,[354 210] ; [77 80],[337.14840499 226.85159501] ; [93.85159501 63.14840499],0
s8,1,0.003312,8.627271,[266 293] ; [ 54 103],[249.83240223 309.16759777] ; [70.16759777 86.83240223],0
