Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,86.94252,[385 102] ; [ 81 111],[334.22974963 152.77025037] ; [131.77025037  60.22974963],1
d3,1,0.0,80.658727,[386 102] ; [ 84 108],[337.29411765 150.70588235] ; [132.70588235  59.29411765],1
a2,1,0.0,43.171079,[161 329] ; [ 16 176],[127.17008798 362.82991202] ; [ 49.82991202 142.17008798],1
u1,1,0.0,27.259049,[123 367] ; [ 14 178],[ 98.43108504 391.56891496] ; [ 38.56891496 153.43108504],1
b5,1,0.0,26.178363,[324 166] ; [ 86 106],[294.57478006 195.42521994] ; [115.42521994  76.57478006],1
r4,1,0.000132,14.619203,[467  23] ; [167  25],[455.51319648  34.48680352] ; [178.48680352  13.51319648],1
d1,1,0.000583,11.830739,[320 170] ; [98 94],[300.32258065 189.67741935] ; [117.67741935  74.32258065],1
d4,1,0.00111,10.634074,[417  71] ; [143  48],[402.4742268  85.5257732] ; [157.5257732  33.4742268],0
u3,1,0.001779,9.764613,[80 47] ; [19 32],[70.63483146 56.36516854] ; [28.36516854 22.63483146],0
r2,1,0.001976,9.572138,[475  10] ; [176  13],[468.4495549  16.5504451] ; [182.5504451   6.4495549],0
b1,1,0.004591,8.033737,[177 313] ; [ 92 100],[193.26979472 296.73020528] ; [ 75.73020528 116.26979472],0
r1,1,0.005542,7.693646,[417  71] ; [147  45],[404.75294118  83.24705882] ; [159.24705882  32.75294118],0
d5,1,0.018127,5.583791,[413  75] ; [147  44],[402.4742268  85.5257732] ; [157.5257732  33.4742268],0
a5,1,0.024676,5.046503,[389 101] ; [137  55],[377.91788856 112.08211144] ; [148.08211144  43.91788856],0
r3,1,0.031626,4.61863,[472  17] ; [178  14],[466.74008811  22.25991189] ; [183.25991189   8.74008811],0
p4,1,0.039916,4.221434,[318 168] ; [107  81],[306.45400593 179.54599407] ; [118.54599407  69.45400593],0
v2,1,0.049519,3.85767,[281 191] ; [94 90],[269.81707317 202.18292683] ; [105.18292683  78.81707317],0
b2,1,0.062389,3.472718,[110 194] ; [59 70],[118.65127021 185.34872979] ; [50.34872979 78.65127021],0
b3,1,0.062389,3.472718,[110 194] ; [59 70],[118.65127021 185.34872979] ; [50.34872979 78.65127021],0
s7,1,0.075148,3.166843,[239 225] ; [109  75],[249.18518519 214.81481481] ; [98.81481481 85.18518519],0
s5,1,0.085171,2.963348,[152 315] ; [ 73 111],[161.40552995 305.59447005] ; [ 63.59447005 120.40552995],0
s8,1,0.098087,2.736381,[218 266] ; [100  92],[227.68047337 256.31952663] ; [ 90.31952663 101.68047337],0
p10,1,0.11659,2.462535,[409  76] ; [149  39],[402.12481426  82.87518574] ; [155.87518574  32.12481426],0
n2,1,0.216039,1.530487,[69 17] ; [34 14],[66.10447761 19.89552239] ; [36.89552239 11.10447761],0
a8,1,0.224672,1.474279,[ 72 362] ; [ 23 158],[ 67.04065041 366.95934959] ; [ 27.95934959 153.04065041],0
p1,1,0.270408,1.214678,[ 49 438] ; [ 14 177],[ 45.25221239 441.74778761] ; [ 17.74778761 173.25221239],0
