Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.001583,9.979012,[ 8 66] ; [15 28],[14.54700855 59.45299145] ; [ 8.45299145 34.54700855],0
s6,1,0.002545,9.108288,[32 42] ; [31 12],[39.84615385 34.15384615] ; [23.15384615 19.84615385],0
s3,1,0.005332,7.763192,[26 48] ; [26 16],[33.17241379 40.82758621] ; [18.82758621 23.17241379],0
s2,1,0.005354,7.755784,[22 52] ; [24 19],[29.09401709 44.90598291] ; [16.90598291 26.09401709],0
p9,1,0.012417,6.25034,[39 33] ; [34 10],[45.31034483 26.68965517] ; [27.68965517 16.31034483],0
s7,1,0.012534,6.233778,[19 50] ; [21 20],[25.09090909 43.90909091] ; [14.90909091 26.09090909],0
s5,1,0.028256,4.812379,[13 59] ; [15 26],[17.84070796 54.15929204] ; [10.15929204 30.84070796],0
v3,1,0.044241,4.047347,[22 49] ; [21 21],[27.01769912 43.98230088] ; [15.98230088 26.01769912],0
p11,1,0.045322,4.006603,[33 41] ; [28 16],[38.25423729 35.74576271] ; [22.74576271 21.25423729],0
r4,1,0.046906,3.94875,[52 22] ; [38  6],[56.44067797 17.55932203] ; [33.55932203 10.44067797],0
u3,1,0.047657,3.922049,[ 9 13] ; [13  5],[12.1  9.9] ; [9.9 8.1],0
v2,1,0.048139,3.905119,[32 39] ; [27 15],[37.07079646 33.92920354] ; [21.92920354 20.07079646],0
v4,1,0.049375,3.862543,[59 15] ; [41  3],[62.71186441 11.28813559] ; [37.28813559  6.71186441],0
d4,1,0.051495,3.792115,[62 11] ; [30 13],[57.89655172 15.10344828] ; [34.10344828  8.89655172],0
n6,1,0.051878,3.779692,[47 26] ; [35  8],[51.60344828 21.39655172] ; [30.39655172 12.60344828],0
r2,1,0.054866,3.68614,[61 12] ; [42  2],[64.26495726  8.73504274] ; [38.73504274  5.26495726],0
p1,1,0.05773,3.601417,[ 4 70] ; [ 7 37],[ 6.89830508 67.10169492] ; [ 4.10169492 39.89830508],0
n5,1,0.066017,3.379368,[45 29] ; [34 10],[49.54237288 24.45762712] ; [29.45762712 14.54237288],0
p4,1,0.075116,3.167524,[16 57] ; [16 27],[20.13793103 52.86206897] ; [11.86206897 31.13793103],0
d5,1,0.088552,2.900494,[58 15] ; [28 15],[54.12068966 18.87931034] ; [31.87931034 11.12068966],0
p7,1,0.092121,2.836912,[21 53] ; [18 23],[25.09565217 48.90434783] ; [13.90434783 27.09565217],0
p8,1,0.104146,2.640878,[15 58] ; [15 29],[18.71794872 54.28205128] ; [11.28205128 32.71794872],0
p5,1,0.116279,2.466744,[ 4 69] ; [ 6 37],[ 6.29310345 66.70689655] ; [ 3.70689655 39.29310345],0
n2,1,0.136886,2.212615,[16 13] ; [11  3],[18.20930233 10.79069767] ; [8.79069767 5.20930233],0
s8,1,0.138886,2.190264,[18 56] ; [16 27],[21.5042735 52.4957265] ; [12.4957265 30.5042735],0
p3,1,0.161348,1.961546,[19 55] ; [16 26],[22.32758621 51.67241379] ; [12.67241379 29.32758621],0
b1,1,0.193661,1.689547,[36 38] ; [16 28],[32.61016949 41.38983051] ; [19.38983051 24.61016949],0
a3,1,0.232686,1.424367,[52 21] ; [26 17],[49.0862069 23.9137931] ; [28.9137931 14.0862069],0
b5,1,0.241032,1.374548,[46 28] ; [32 12],[48.91525424 25.08474576] ; [29.08474576 14.91525424],0
u4,1,0.286462,1.136175,[ 1 73] ; [ 2 42],[ 1.88135593 72.11864407] ; [ 1.11864407 42.88135593],0
p10,1,0.28882,1.125115,[42 30] ; [30 14],[44.68965517 27.31034483] ; [27.31034483 16.68965517],0
b3,1,0.30675,1.044619,[12 33] ; [11 18],[13.98648649 31.01351351] ; [ 9.01351351 19.98648649],0
b2,1,0.30675,1.044619,[12 33] ; [11 18],[13.98648649 31.01351351] ; [ 9.01351351 19.98648649],0
s1,1,0.384893,0.755016,[ 5 69] ; [ 5 39],[ 6.27118644 67.72881356] ; [ 3.72881356 40.27118644],0
a2,1,0.408017,0.684572,[22 52] ; [10 34],[20.06779661 53.93220339] ; [11.93220339 32.06779661],0
d2,1,0.412912,0.6704,[38 35] ; [19 24],[35.87068966 37.12931034] ; [21.12931034 21.87068966],0
r3,1,0.45954,0.547014,[60 14] ; [38  6],[61.45762712 12.54237288] ; [36.54237288  7.45762712],0
b4,1,0.485484,0.48652,[44 30] ; [29 15],[45.77966102 28.22033898] ; [27.22033898 16.77966102],0
r1,1,0.57989,0.306412,[52 22] ; [33 11],[53.30508475 20.69491525] ; [31.69491525 12.30508475],0
d1,1,0.601412,0.272872,[44 30] ; [24 20],[42.6440678 31.3559322] ; [25.3559322 18.6440678],0
n4,1,0.633735,0.227029,[49 25] ; [31 13],[50.16949153 23.83050847] ; [29.83050847 14.16949153],0
a8,1,0.706876,0.141418,[ 9 62] ; [ 4 35],[ 8.39090909 62.60909091] ; [ 4.60909091 34.39090909],0
a5,1,0.743762,0.106848,[50 24] ; [31 13],[50.79661017 23.20338983] ; [30.20338983 13.79661017],0
a1,1,0.765007,0.089348,[ 8 66] ; [ 4 40],[ 7.52542373 66.47457627] ; [ 4.47457627 39.52542373],0
d3,1,0.785438,0.074114,[51 22] ; [29 14],[50.34482759 22.65517241] ; [29.65517241 13.34482759],0
u2,1,0.821963,0.050634,[13  9] ; [10  8],[12.65  9.35] ; [10.35  7.65],0
n3,1,0.82409,0.049412,[17 11] ; [8 6],[16.66666667 11.33333333] ; [8.33333333 5.66666667],0
n1,1,0.82409,0.049412,[11 17] ; [6 8],[11.33333333 16.66666667] ; [5.66666667 8.33333333],0
s4,1,0.842291,0.039587,[13 61] ; [ 8 34],[13.39655172 60.60344828] ; [ 7.60344828 34.39655172],0
u1,1,0.920807,0.009884,[14 60] ; [ 8 36],[13.79661017 60.20338983] ; [ 8.20338983 35.79661017],0
a6,1,0.921,0.009836,[52 21] ; [31 12],[52.23275862 20.76724138] ; [30.76724138 12.23275862],0
a4,1,0.965799,0.001838,[33 41] ; [19 24],[32.88888889 41.11111111] ; [19.11111111 23.88888889],0
p12,1,0.98976,0.000165,[ 5 69] ; [ 3 41],[ 5.01694915 68.98305085] ; [ 2.98305085 41.01694915],0
