Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,39.91673,[71  9] ; [ 8 21],[57.98165138 22.01834862] ; [21.01834862  7.98165138],1
v4,1,0.000871,11.082765,[76  4] ; [21  8],[71.19266055  8.80733945] ; [25.80733945  3.19266055],1
s8,1,0.001246,10.420538,[41 38] ; [ 5 24],[33.64814815 45.35185185] ; [12.35185185 16.64814815],0
n2,1,0.008926,6.837607,[22  2] ; [4 4],[19.5  4.5] ; [6.5 1.5],0
s2,1,0.01123,6.428491,[43 35] ; [ 8 21],[37.17757009 40.82242991] ; [13.82242991 15.17757009],0
s6,1,0.048224,3.902177,[52 27] ; [13 16],[47.5462963 31.4537037] ; [17.4537037 11.5462963],0
p8,1,0.053317,3.73396,[26 54] ; [ 4 25],[22.01834862 57.98165138] ; [ 7.98165138 21.01834862],0
s4,1,0.056349,3.641699,[18 60] ; [ 2 27],[14.57943925 63.42056075] ; [ 5.42056075 23.57943925],0
s1,1,0.06437,3.42104,[ 3 75] ; [ 4 25],[ 5.10280374 72.89719626] ; [ 1.89719626 27.10280374],0
b1,1,0.064798,3.410117,[31 49] ; [17 12],[35.2293578 44.7706422] ; [12.7706422 16.2293578],0
p6,1,0.072041,3.235892,[21 58] ; [ 3 26],[17.55555556 61.44444444] ; [ 6.44444444 22.55555556],0
a5,1,0.114409,2.492238,[52 28] ; [14 15],[48.44036697 31.55963303] ; [17.55963303 11.44036697],0
d3,1,0.119642,2.422006,[46 33] ; [12 17],[42.42592593 36.57407407] ; [15.57407407 13.42592593],0
v1,1,0.136681,2.214933,[39 38] ; [10 19],[35.59433962 41.40566038] ; [13.40566038 15.59433962],0
d5,1,0.142811,2.147411,[53 26] ; [15 14],[49.74074074 29.25925926] ; [18.25925926 10.74074074],0
n5,1,0.15349,2.037216,[60 19] ; [18 11],[57.05555556 21.94444444] ; [20.94444444  8.05555556],0
b4,1,0.157172,2.001225,[49 31] ; [22  7],[52.11009174 27.88990826] ; [18.88990826 10.11009174],0
s3,1,0.178257,1.812096,[41 37] ; [11 18],[37.90654206 40.09345794] ; [14.09345794 14.90654206],0
r3,1,0.182193,1.779643,[77  3] ; [26  3],[75.59633028  4.40366972] ; [27.40366972  1.59633028],0
n4,1,0.186035,1.748738,[60 20] ; [18 11],[57.24770642 22.75229358] ; [20.75229358  8.24770642],0
p4,1,0.201539,1.631186,[32 46] ; [ 8 21],[29.1588785 48.8411215] ; [10.8411215 18.1588785],0
r4,1,0.206171,1.598114,[71  9] ; [23  6],[68.99082569 11.00917431] ; [25.00917431  3.99082569],0
u1,1,0.210344,1.569058,[13 67] ; [ 2 27],[11.00917431 68.99082569] ; [ 3.99082569 25.00917431],0
b2,1,0.223483,1.481863,[21 31] ; [ 5 15],[18.77777778 33.22222222] ; [ 7.22222222 12.77777778],0
b3,1,0.223483,1.481863,[21 31] ; [ 5 15],[18.77777778 33.22222222] ; [ 7.22222222 12.77777778],0
a7,1,0.22553,1.468835,[49 31] ; [14 15],[46.23853211 33.76146789] ; [16.76146789 12.23853211],0
s7,1,0.240957,1.374987,[35 43] ; [ 9 19],[32.37735849 45.62264151] ; [11.62264151 16.37735849],0
s5,1,0.291602,1.112212,[23 51] ; [ 6 23],[20.83495146 53.16504854] ; [ 8.16504854 20.83495146],0
d1,1,0.304821,1.052983,[42 38] ; [12 17],[39.63302752 40.36697248] ; [14.36697248 14.63302752],0
u2,1,0.343132,0.898693,[21 11] ; [6 6],[19.63636364 12.36363636] ; [7.36363636 4.63636364],0
b5,1,0.372062,0.796766,[49 31] ; [15 14],[46.97247706 33.02752294] ; [17.02752294 11.97247706],0
a4,1,0.385185,0.75409,[35 45] ; [10 19],[33.02752294 46.97247706] ; [11.97247706 17.02752294],0
n6,1,0.404713,0.694277,[65 14] ; [21  7],[63.4953271 15.5046729] ; [22.5046729  5.4953271],0
r2,1,0.439874,0.596611,[73  7] ; [25  4],[71.9266055  8.0733945] ; [26.0733945  2.9266055],0
a2,1,0.441408,0.592621,[13 67] ; [ 3 26],[11.74311927 68.25688073] ; [ 4.25688073 24.74311927],0
a6,1,0.44306,0.588344,[50 29] ; [16 13],[48.27777778 30.72222222] ; [17.72222222 11.27777778],0
p5,1,0.459379,0.547407,[ 9 67] ; [ 2 27],[ 7.96190476 68.03809524] ; [ 3.03809524 25.96190476],0
v2,1,0.486782,0.483631,[39 33] ; [13 15],[37.44 34.56] ; [14.56 13.44],0
v3,1,0.487828,0.481313,[28 45] ; [ 9 20],[26.48039216 46.51960784] ; [10.51960784 18.48039216],0
p3,1,0.505739,0.442873,[30 49] ; [ 9 20],[28.52777778 50.47222222] ; [10.47222222 18.52777778],0
a1,1,0.570887,0.321201,[ 5 75] ; [ 1 28],[ 4.40366972 75.59633028] ; [ 1.59633028 27.40366972],0
n1,1,0.598309,0.277555,[13 11] ; [3 4],[12.38709677 11.61290323] ; [3.61290323 3.38709677],0
a3,1,0.651005,0.204636,[48 32] ; [16 13],[46.97247706 33.02752294] ; [17.02752294 11.97247706],0
n3,1,0.663986,0.188718,[15  9] ; [5 2],[15.48387097  8.51612903] ; [4.51612903 2.48387097],0
d2,1,0.664858,0.187676,[34 44] ; [14 15],[34.99065421 43.00934579] ; [13.00934579 15.99065421],0
d4,1,0.699814,0.148666,[57 22] ; [22  7],[57.78703704 21.21296296] ; [21.21296296  7.78703704],0
r1,1,0.717759,0.13065,[58 22] ; [20  9],[57.24770642 22.75229358] ; [20.75229358  8.24770642],0
p7,1,0.723977,0.124714,[27 49] ; [11 17],[27.76923077 48.23076923] ; [10.23076923 17.76923077],0
p1,1,0.756042,0.096523,[ 7 73] ; [ 2 27],[ 6.60550459 73.39449541] ; [ 2.39449541 26.60550459],0
a8,1,0.911688,0.012301,[ 6 71] ; [ 2 26],[ 5.86666667 71.13333333] ; [ 2.13333333 25.86666667],0
u3,1,0.951917,0.003636,[20 12] ; [8 5],[19.91111111 12.08888889] ; [8.08888889 4.91111111],0
