Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2e-06,22.907773,[101  23] ; [142 110],[80.13829787 43.86170213] ; [162.86170213  89.13829787],1
p3,1,0.000423,12.426561,[52 72] ; [ 61 191],[37.26595745 86.73404255] ; [ 75.73404255 176.26595745],1
a8,1,0.001136,10.591921,[24 88] ; [ 21 215],[14.48275862 97.51724138] ; [ 30.51724138 205.48275862],0
s3,1,0.003581,8.484883,[75 47] ; [113 136],[61.82210243 60.17789757] ; [126.17789757 122.82210243],0
v4,1,0.005767,7.621662,[114   7] ; [211  40],[105.71236559  15.28763441] ; [219.28763441  31.71236559],0
r3,1,0.008032,7.026387,[116   7] ; [212  38],[108.16085791  14.83914209] ; [219.83914209  30.16085791],0
r4,1,0.013182,6.144573,[106  18] ; [187  65],[96.62765957 27.37234043] ; [196.37234043  55.62765957],0
v2,1,0.016242,5.776515,[65 53] ; [ 99 139],[54.35955056 63.64044944] ; [109.64044944 128.35955056],0
n3,1,0.019717,5.436739,[29  5] ; [58 33],[23.664 10.336] ; [63.336 27.664],0
s2,1,0.01996,5.415364,[62 61] ; [ 94 155],[51.58064516 71.41935484] ; [104.41935484 144.58064516],0
p9,1,0.023867,5.104255,[96 28] ; [161  83],[86.59782609 37.40217391] ; [170.40217391  73.59782609],0
p4,1,0.025796,4.969666,[53 71] ; [ 78 173],[43.31733333 80.68266667] ; [ 87.68266667 163.31733333],0
p10,1,0.039658,4.232455,[89 34] ; [152  95],[80.11621622 42.88378378] ; [160.88378378  86.11621622],0
s7,1,0.042633,4.109882,[51 69] ; [ 75 162],[42.35294118 77.64705882] ; [ 83.64705882 153.35294118],0
s8,1,0.046176,3.975145,[47 77] ; [ 70 182],[38.58510638 85.41489362] ; [ 78.41489362 173.58510638],0
b4,1,0.091558,2.84677,[67 57] ; [159  93],[74.53191489 49.46808511] ; [151.46808511 100.53191489],0
p12,1,0.098869,2.723694,[  3 121] ; [ 16 234],[  6.29946524 117.70053476] ; [ 12.70053476 237.29946524],0
p1,1,0.100393,2.699283,[  3 121] ; [ 16 235],[  6.28266667 117.71733333] ; [ 12.71733333 238.28266667],0
n2,1,0.107523,2.590258,[27  6] ; [63 31],[23.38582677  9.61417323] ; [66.61417323 27.38582677],0
v1,1,0.142847,2.147024,[55 63] ; [ 94 150],[48.56906077 69.43093923] ; [100.43093923 143.56906077],0
p11,1,0.153325,2.03885,[87 37] ; [158  94],[80.79787234 43.20212766] ; [164.20212766  87.79787234],0
a3,1,0.168992,1.891866,[90 33] ; [166  85],[84.19251337 38.80748663] ; [171.80748663  79.19251337],0
v3,1,0.172205,1.863646,[44 76] ; [ 70 167],[38.31932773 81.68067227] ; [ 75.68067227 161.31932773],0
b2,1,0.215855,1.531717,[24 60] ; [52 90],[28.24778761 55.75221239] ; [47.75221239 94.24778761],0
b3,1,0.215855,1.531717,[24 60] ; [52 90],[28.24778761 55.75221239] ; [47.75221239 94.24778761],0
s6,1,0.235525,1.407183,[74 50] ; [133 117],[68.63101604 55.36898396] ; [138.36898396 111.63101604],0
