Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,146.861122,[273   5] ; [16 25],[251.85579937  26.14420063] ; [37.14420063  3.85579937],1
p11,1,0.0,53.287099,[242  36] ; [16 25],[224.84012539  53.15987461] ; [33.15987461  7.84012539],1
p2,1,3e-06,21.916111,[252  24] ; [27 14],[242.9148265  33.0851735] ; [36.0851735  4.9148265],1
n6,1,1.9e-05,18.256285,[252  25] ; [27 13],[243.79495268  33.20504732] ; [35.20504732  4.79495268],1
n4,1,0.00019,13.927055,[235  43] ; [24 16],[226.42138365  51.57861635] ; [32.57861635  7.42138365],1
a3,1,0.000492,12.147372,[223  54] ; [23 18],[214.28301887  62.71698113] ; [31.71698113  9.28301887],1
a5,1,0.00057,11.870224,[228  50] ; [24 17],[219.61128527  58.38871473] ; [32.38871473  8.61128527],1
a6,1,0.000624,11.703508,[196  81] ; [18 23],[186.40880503  90.59119497] ; [27.59119497 13.40880503],1
n5,1,0.000644,11.644117,[230  47] ; [24 16],[221.94952681  55.05047319] ; [32.05047319  7.94952681],1
r4,1,0.000679,11.545305,[267  11] ; [34  7],[262.31347962  15.68652038] ; [38.68652038  2.31347962],1
p7,1,0.001507,10.069466,[216  58] ; [23 18],[207.89206349  66.10793651] ; [31.10793651  9.89206349],0
d1,1,0.001518,10.057141,[192  86] ; [18 23],[183.00940439  94.99059561] ; [26.99059561 14.00940439],0
s7,1,0.006428,7.426175,[181  80] ; [19 21],[173.42192691  87.57807309] ; [26.57807309 13.42192691],0
p8,1,0.007321,7.192551,[187  89] ; [19 22],[179.35646688  96.64353312] ; [26.64353312 14.35646688],0
d5,1,0.012576,6.227791,[243  34] ; [30 11],[237.80188679  39.19811321] ; [35.19811321  5.80188679],0
b1,1,0.014182,6.015288,[113 165] ; [25 16],[120.26332288 157.73667712] ; [17.73667712 23.26332288],0
d3,1,0.017509,5.644595,[200  78] ; [22 19],[193.46708464  84.53291536] ; [28.53291536 12.46708464],0
s1,1,0.018426,5.555157,[  7 269] ; [ 4 37],[  9.57728707 266.42271293] ; [ 1.42271293 39.57728707],0
s8,1,0.020839,5.340234,[174 103] ; [18 23],[167.24528302 109.75471698] ; [24.75471698 16.24528302],0
p6,1,0.022247,5.226385,[146 128] ; [14 27],[139.17460317 134.82539683] ; [20.82539683 20.17460317],0
a7,1,0.027064,4.886742,[202  75] ; [23 18],[195.99056604  81.00943396] ; [29.00943396 11.99056604],0
v4,1,0.030702,4.669545,[270   8] ; [37  4],[267.54231975  10.45768025] ; [39.45768025  1.54231975],0
v3,1,0.030742,4.667329,[128 141] ; [11 27],[121.79478827 147.20521173] ; [17.20521173 20.79478827],0
a2,1,0.031484,4.626364,[ 86 192] ; [ 6 35],[ 80.17554859 197.82445141] ; [11.82445141 29.17554859],0
v1,1,0.032342,4.58025,[171  97] ; [19 22],[164.78964401 103.21035599] ; [25.21035599 15.78964401],0
u2,1,0.045298,4.007501,[39 16] ; [7 9],[35.63380282 19.36619718] ; [10.36619718  5.63380282],0
a4,1,0.059585,3.54889,[145 132] ; [15 26],[139.37106918 137.62893082] ; [20.62893082 20.37106918],0
r1,1,0.062991,3.456824,[234  42] ; [30 11],[229.85488959  46.14511041] ; [34.14511041  6.85488959],0
d2,1,0.0832,3.001252,[162 116] ; [18 23],[156.86520376 121.13479624] ; [23.13479624 17.86520376],0
v2,1,0.091347,2.850481,[169 100] ; [19 20],[164.19480519 104.80519481] ; [23.80519481 15.19480519],0
p4,1,0.10008,2.704266,[238  40] ; [31 10],[234.42633229  43.57366771] ; [34.57366771  6.42633229],0
u1,1,0.107437,2.591525,[ 73 205] ; [ 6 35],[ 68.84639498 209.15360502] ; [10.15360502 30.84639498],0
n1,1,0.108566,2.574975,[17 25] ; [8 4],[19.44444444 22.55555556] ; [5.55555556 6.44444444],0
d4,1,0.124691,2.357383,[241  36] ; [32  9],[237.80188679  39.19811321] ; [35.19811321  5.80188679],0
b5,1,0.152363,2.048428,[157 121] ; [28 13],[161.22257053 116.77742947] ; [23.77742947 17.22257053],0
s5,1,0.171005,1.874113,[135 134] ; [15 24],[131.00649351 137.99350649] ; [18.99350649 20.00649351],0
r2,1,0.204135,1.61254,[267   9] ; [38  3],[265.55205047  10.44794953] ; [39.44794953  1.55205047],0
b4,1,0.256114,1.289641,[164 114] ; [28 13],[167.32288401 110.67711599] ; [24.67711599 16.32288401],0
p5,1,0.367568,0.81187,[ 57 219] ; [ 6 35],[ 54.85173502 221.14826498] ; [ 8.14826498 32.85173502],0
r3,1,0.396877,0.71777,[270   7] ; [39  2],[269.16037736   7.83962264] ; [39.83962264  1.16037736],0
n2,1,0.406581,0.688776,[30 12] ; [10  2],[31.11111111 10.88888889] ; [8.88888889 3.11111111],0
s4,1,0.439457,0.597699,[ 59 216] ; [11 30],[ 60.91772152 214.08227848] ; [ 9.08227848 31.91772152],0
s2,1,0.440718,0.594413,[190  87] ; [25 15],[187.87066246  89.12933754] ; [27.12933754 12.87066246],0
n3,1,0.506729,0.440816,[32 10] ; [8 4],[31.11111111 10.88888889] ; [8.88888889 3.11111111],0
s3,1,0.539985,0.375568,[194  82] ; [30 10],[195.64556962  80.35443038] ; [28.35443038 11.64556962],0
p1,1,0.58195,0.303093,[ 32 243] ; [ 6 35],[ 33.06962025 241.93037975] ; [ 4.93037975 36.06962025],0
a1,1,0.584804,0.298532,[ 20 258] ; [ 2 39],[ 19.17241379 258.82758621] ; [ 2.82758621 38.17241379],0
u4,1,0.590946,0.28887,[  9 269] ; [ 2 39],[  9.5862069 268.4137931] ; [ 1.4137931 39.5862069],0
u3,1,0.59574,0.281469,[36 19] ; [13  5],[36.91780822 18.08219178] ; [12.08219178  5.91780822],0
a8,1,0.735204,0.114387,[ 31 229] ; [ 5 31],[ 31.62162162 228.37837838] ; [ 4.37837838 31.62162162],0
b2,1,0.857018,0.032462,[ 72 106] ; [11 15],[ 72.42156863 105.57843137] ; [10.57843137 15.42156863],0
b3,1,0.857018,0.032462,[ 72 106] ; [11 15],[ 72.42156863 105.57843137] ; [10.57843137 15.42156863],0
