Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6.8e-05,15.87516,[17 10] ; [12 49],[ 8.89772727 18.10227273] ; [20.10227273 40.89772727],1
s6,1,0.000327,12.908175,[18  9] ; [16 45],[10.43181818 16.56818182] ; [23.56818182 37.43181818],1
p4,1,0.000478,12.198294,[16 11] ; [13 48],[ 8.89772727 18.10227273] ; [20.10227273 40.89772727],1
s8,1,0.010297,6.582805,[10 17] ; [ 8 53],[ 5.52272727 21.47727273] ; [12.47727273 48.52272727],0
u3,1,0.012079,6.299244,[10  5] ; [ 9 23],[6.06382979 8.93617021] ; [12.93617021 19.06382979],0
b1,1,0.01451,5.974965,[21  6] ; [31 31],[15.7752809 11.2247191] ; [36.2247191 25.7752809],0
s5,1,0.025133,5.014728,[10 16] ; [10 51],[ 5.97701149 20.02298851] ; [14.02298851 46.97701149],0
p8,1,0.033081,4.541591,[10 17] ; [10 51],[ 6.13636364 20.86363636] ; [13.86363636 47.13636364],0
s7,1,0.033221,4.534346,[11 14] ; [12 45],[ 7.01219512 17.98780488] ; [15.98780488 41.01219512],0
s3,1,0.034223,4.483505,[16 11] ; [21 39],[11.48275862 15.51724138] ; [25.51724138 34.48275862],0
r3,1,0.036171,4.389038,[24  3] ; [42 20],[20.02247191  6.97752809] ; [45.97752809 16.02247191],0
d4,1,0.041548,4.153505,[20  7] ; [31 30],[15.64772727 11.35227273] ; [35.35227273 25.64772727],0
p5,1,0.045017,4.017988,[ 4 23] ; [ 2 60],[ 1.82022472 25.17977528] ; [ 4.17977528 57.82022472],0
r4,1,0.065436,3.393962,[20  7] ; [33 29],[16.07865169 10.92134831] ; [36.92134831 25.07865169],0
n5,1,0.068713,3.313509,[10 16] ; [37 25],[13.88636364 12.11363636] ; [33.11363636 28.88636364],0
n1,1,0.077083,3.12536,[6 4] ; [ 9 22],[3.65853659 6.34146341] ; [11.34146341 19.65853659],0
a5,1,0.092162,2.836195,[17 10] ; [27 35],[13.34831461 13.65168539] ; [30.65168539 31.34831461],0
s1,1,0.108004,2.583186,[ 4 23] ; [ 3 59],[ 2.12359551 24.87640449] ; [ 4.87640449 57.12359551],0
v1,1,0.137848,2.201818,[11 16] ; [15 45],[ 8.06896552 18.93103448] ; [17.93103448 42.06896552],0
p6,1,0.139823,2.179906,[ 8 18] ; [10 50],[ 5.44186047 20.55813953] ; [12.55813953 47.44186047],0
p11,1,0.160024,1.973999,[10 17] ; [33 29],[13.04494382 13.95505618] ; [29.95505618 32.04494382],0
s4,1,0.179458,1.802104,[ 6 21] ; [ 7 55],[ 3.94382022 23.05617978] ; [ 9.05617978 52.94382022],0
p7,1,0.194147,1.685867,[14 13] ; [23 39],[11.2247191 15.7752809] ; [25.7752809 36.2247191],0
d5,1,0.205409,1.603493,[17 10] ; [30 32],[14.25842697 12.74157303] ; [32.74157303 29.25842697],0
r1,1,0.345388,0.89033,[16 11] ; [30 32],[13.95505618 13.04494382] ; [32.04494382 29.95505618],0
u2,1,0.348292,0.879669,[8 7] ; [12 19],[6.52173913 8.47826087] ; [13.47826087 17.52173913],0
d1,1,0.354328,0.857896,[11 16] ; [19 43],[ 9.1011236 17.8988764] ; [20.8988764 41.1011236],0
a4,1,0.3823,0.763293,[ 8 19] ; [24 37],[ 9.81818182 17.18181818] ; [22.18181818 38.81818182],0
v4,1,0.43385,0.612495,[22  5] ; [45 16],[20.55681818  6.44318182] ; [46.44318182 14.55681818],0
a2,1,0.450689,0.56892,[ 1 26] ; [ 5 57],[ 1.82022472 25.17977528] ; [ 4.17977528 57.82022472],0
d3,1,0.534683,0.385483,[11 16] ; [21 41],[ 9.70786517 17.29213483] ; [22.29213483 39.70786517],0
u4,1,0.540669,0.374301,[ 1 26] ; [ 1 61],[ 0.60674157 26.39325843] ; [ 1.39325843 60.60674157],0
v3,1,0.557219,0.344542,[ 7 18] ; [13 46],[ 5.95238095 19.04761905] ; [14.04761905 44.95238095],0
p1,1,0.628532,0.234057,[ 2 25] ; [ 3 59],[ 1.51685393 25.48314607] ; [ 3.48314607 58.51685393],0
b5,1,0.629696,0.232474,[15 12] ; [31 31],[13.95505618 13.04494382] ; [32.04494382 29.95505618],0
r2,1,0.641192,0.217186,[22  5] ; [47 14],[21.17045455  5.82954545] ; [47.82954545 13.17045455],0
d2,1,0.653106,0.202007,[11 16] ; [28 33],[11.96590909 15.03409091] ; [27.03409091 33.96590909],0
p2,1,0.659445,0.194199,[14 13] ; [29 33],[13.04494382 13.95505618] ; [29.95505618 32.04494382],0
a3,1,0.681666,0.168256,[12 15] ; [30 31],[12.88636364 14.11363636] ; [29.11363636 31.88636364],0
b3,1,0.738853,0.111138,[ 6 11] ; [12 27],[ 5.46428571 11.53571429] ; [12.53571429 26.46428571],0
b2,1,0.738853,0.111138,[ 6 11] ; [12 27],[ 5.46428571 11.53571429] ; [12.53571429 26.46428571],0
n2,1,0.750492,0.101118,[7 3] ; [20 11],[6.58536585 3.41463415] ; [20.41463415 10.58536585],0
n4,1,0.762341,0.091451,[16 10] ; [36 26],[15.36363636 10.63636364] ; [36.63636364 25.36363636],0
n3,1,0.790643,0.070478,[6 4] ; [16 13],[5.64102564 4.35897436] ; [16.35897436 12.64102564],0
b4,1,0.805549,0.060601,[16 11] ; [35 27],[15.47191011 11.52808989] ; [35.52808989 26.47191011],0
a6,1,0.856894,0.032519,[11 16] ; [24 38],[10.61797753 16.38202247] ; [24.38202247 37.61797753],0
a1,1,0.868693,0.02733,[ 2 25] ; [ 4 58],[ 1.82022472 25.17977528] ; [ 4.17977528 57.82022472],0
n6,1,0.870719,0.026486,[16 10] ; [37 25],[15.65909091 10.34090909] ; [37.34090909 24.65909091],0
v2,1,0.917343,0.010771,[ 9 18] ; [19 40],[ 8.79069767 18.20930233] ; [19.20930233 39.79069767],0
a8,1,0.935497,0.00655,[ 3 24] ; [ 6 51],[ 2.89285714 24.10714286] ; [ 6.10714286 50.89285714],0
p9,1,0.959888,0.002529,[ 9 18] ; [20 41],[ 8.89772727 18.10227273] ; [20.10227273 40.89772727],0
