Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.026494,4.923477,[4 3] ; [ 1 10],[1.94444444 5.05555556] ; [3.05555556 7.94444444],0
b2,1,0.026494,4.923477,[4 3] ; [ 1 10],[1.94444444 5.05555556] ; [3.05555556 7.94444444],0
d4,1,0.048398,3.896104,[8 2] ; [6 9],[5.6 4.4] ; [8.4 6.6],0
d2,1,0.054181,3.707108,[1 9] ; [7 8],[3.2 6.8] ; [ 4.8 10.2],0
v2,1,0.115184,2.481618,[5 5] ; [ 3 12],[3.2 6.8] ; [ 4.8 10.2],0
s2,1,0.115184,2.481618,[5 5] ; [ 3 12],[3.2 6.8] ; [ 4.8 10.2],0
b1,1,0.173568,1.851852,[8 2] ; [8 7],[6.4 3.6] ; [9.6 5.4],0
n4,1,0.188206,1.731602,[4 6] ; [10  5],[5.6 4.4] ; [8.4 6.6],0
a6,1,0.188206,1.731602,[6 4] ; [ 5 10],[4.4 5.6] ; [6.6 8.4],0
p6,1,0.233762,1.417824,[5 5] ; [ 4 11],[3.6 6.4] ; [5.4 9.6],0
s3,1,0.241567,1.371429,[2 8] ; [6 8],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
p10,1,0.249561,1.325758,[7 3] ; [7 8],[5.6 4.4] ; [8.4 6.6],0
p4,1,0.293622,1.102941,[8 2] ; [9 6],[6.8 3.2] ; [10.2  4.8],0
a3,1,0.293622,1.102941,[8 2] ; [9 6],[6.8 3.2] ; [10.2  4.8],0
v3,1,0.307434,1.041667,[3 7] ; [ 2 13],[2. 8.] ; [ 3. 12.],0
p9,1,0.327187,0.96,[7 3] ; [7 7],[5.83333333 4.16666667] ; [8.16666667 5.83333333],0
u3,1,0.345779,0.888889,[1 1] ; [1 5],[0.5 1.5] ; [1.5 4.5],0
p11,1,0.404657,0.694444,[7 3] ; [8 7],[6. 4.] ; [9. 6.],0
p8,1,0.431333,0.619231,[7 3] ; [7 6],[6.08695652 3.91304348] ; [7.91304348 5.08695652],0
a4,1,0.48384,0.490196,[4 6] ; [ 4 11],[3.2 6.8] ; [ 4.8 10.2],0
d3,1,0.513292,0.42735,[6 4] ; [7 8],[5.2 4.8] ; [7.8 7.2],0
n6,1,0.521245,0.411429,[7 3] ; [8 6],[6.25 3.75] ; [8.75 5.25],0
s6,1,0.558185,0.342857,[4 6] ; [ 4 10],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
r1,1,0.609834,0.260417,[3 7] ; [6 9],[3.6 6.4] ; [5.4 9.6],0
a5,1,0.609834,0.260417,[7 3] ; [9 6],[6.4 3.6] ; [9.6 5.4],0
b4,1,0.621685,0.243506,[5 5] ; [9 6],[5.6 4.4] ; [8.4 6.6],0
n3,1,0.665006,0.1875,[3 1] ; [5 3],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
u2,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
p2,1,0.702195,0.146199,[8 2] ; [11  4],[7.6 2.4] ; [11.4  3.6],0
p5,1,0.711138,0.137143,[2 8] ; [ 2 12],[1.66666667 8.33333333] ; [ 2.33333333 11.66666667],0
p3,1,0.742174,0.108225,[6 4] ; [8 7],[5.6 4.4] ; [8.4 6.6],0
s8,1,0.754293,0.097959,[1 9] ; [ 2 12],[1.25 8.75] ; [ 1.75 12.25],0
r4,1,0.855702,0.033069,[3 7] ; [ 4 11],[2.8 7.2] ; [ 4.2 10.8],0
d1,1,0.855702,0.033069,[3 7] ; [ 4 11],[2.8 7.2] ; [ 4.2 10.8],0
v4,1,0.861052,0.030637,[7 3] ; [10  5],[6.8 3.2] ; [10.2  4.8],0
n5,1,0.861052,0.030637,[7 3] ; [10  5],[6.8 3.2] ; [10.2  4.8],0
a7,1,0.87018,0.026709,[5 5] ; [7 8],[4.8 5.2] ; [7.2 7.8],0
d5,1,0.87018,0.026709,[5 5] ; [8 7],[5.2 4.8] ; [7.8 7.2],0
s7,1,0.890106,0.019091,[3 7] ; [3 8],[2.85714286 7.14285714] ; [3.14285714 7.85714286],0
s4,1,1.0,0.0,[2 8] ; [ 3 12],[2. 8.] ; [ 3. 12.],0
n1,1,1.0,0.0,[2 2] ; [4 4],[2. 2.] ; [4. 4.],0
b5,1,1.0,0.0,[6 4] ; [9 6],[6. 4.] ; [9. 6.],0
r2,1,1.0,0.0,[6 4] ; [9 6],[6. 4.] ; [9. 6.],0
s5,1,1.0,0.0,[2 8] ; [ 3 12],[2. 8.] ; [ 3. 12.],0
