Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6e-06,20.427075,[14 59] ; [18  9],[23.36 49.64] ; [ 8.64 18.36],1
s2,1,6.9e-05,15.825455,[18 57] ; [18  9],[26.47058824 48.52941176] ; [ 9.52941176 17.47058824],1
s6,1,0.000405,12.511278,[30 46] ; [22  6],[38. 38.] ; [14. 14.],1
r4,1,0.001531,10.040518,[46 30] ; [26  2],[52.61538462 23.38461538] ; [19.38461538  8.61538462],0
b4,1,0.002098,9.461654,[40 36] ; [24  4],[46.76923077 29.23076923] ; [17.23076923 10.76923077],0
s3,1,0.005756,7.625153,[30 46] ; [19  8],[36.15533981 39.84466019] ; [12.84466019 14.15533981],0
r3,1,0.009774,6.67567,[51 24] ; [26  2],[56.06796117 18.93203883] ; [20.93203883  7.06796117],0
p2,1,0.012024,6.307302,[36 40] ; [21  7],[41.65384615 34.34615385] ; [15.34615385 12.65384615],0
v3,1,0.01511,5.903542,[19 57] ; [14 14],[24.11538462 51.88461538] ; [ 8.88461538 19.11538462],0
d5,1,0.020335,5.382907,[47 29] ; [24  4],[51.88461538 24.11538462] ; [19.11538462  8.88461538],0
u2,1,0.026922,4.895777,[12 21] ; [7 2],[14.92857143 18.07142857] ; [4.07142857 4.92857143],0
v4,1,0.054325,3.702682,[57 18] ; [26  2],[60.4368932 14.5631068] ; [22.5631068  5.4368932],0
v2,1,0.055183,3.676549,[23 51] ; [14 13],[27.10891089 46.89108911] ; [ 9.89108911 17.10891089],0
r1,1,0.060499,3.523651,[51 25] ; [24  4],[54.80769231 21.19230769] ; [20.19230769  7.80769231],0
p8,1,0.084513,2.975907,[19 56] ; [12 16],[22.57281553 52.42718447] ; [ 8.42718447 19.57281553],0
p6,1,0.086816,2.932437,[11 64] ; [ 8 19],[13.97058824 61.02941176] ; [ 5.02941176 21.97058824],0
s5,1,0.096785,2.757737,[12 64] ; [ 8 18],[14.90196078 61.09803922] ; [ 5.09803922 20.90196078],0
b1,1,0.104582,2.634245,[38 38] ; [19  9],[41.65384615 34.34615385] ; [15.34615385 12.65384615],0
p11,1,0.125616,2.345865,[36 40] ; [18 10],[39.46153846 36.53846154] ; [14.53846154 13.46153846],0
p4,1,0.132587,2.261954,[25 49] ; [14 14],[28.29411765 45.70588235] ; [10.70588235 17.29411765],0
n2,1,0.142188,2.15412,[15 13] ; [8 2],[16.94736842 11.05263158] ; [6.05263158 3.94736842],0
u3,1,0.151873,2.053333,[14 21] ; [6 3],[15.90909091 19.09090909] ; [4.09090909 4.90909091],0
d1,1,0.172418,1.861797,[32 44] ; [16 12],[35.07692308 40.92307692] ; [12.92307692 15.07692308],0
p10,1,0.17822,1.812403,[19 55] ; [11 17],[21.76470588 52.23529412] ; [ 8.23529412 19.76470588],0
n6,1,0.186035,1.748744,[55 20] ; [24  4],[57.52427184 17.47572816] ; [21.47572816  6.52427184],0
u1,1,0.217091,1.523494,[ 9 67] ; [ 6 22],[10.96153846 65.03846154] ; [ 4.03846154 23.96153846],0
a3,1,0.227141,1.458672,[41 34] ; [19  9],[43.68932039 31.31067961] ; [16.31067961 11.68932039],0
v1,1,0.227968,1.453497,[23 53] ; [12 16],[25.57692308 50.42307692] ; [ 9.42307692 18.57692308],0
d4,1,0.27211,1.206081,[47 27] ; [21  7],[49.33333333 24.66666667] ; [18.66666667  9.33333333],0
d3,1,0.288496,1.126625,[40 36] ; [18 10],[42.38461538 33.61538462] ; [15.61538462 12.38461538],0
p3,1,0.297319,1.086178,[19 56] ; [10 18],[21.11650485 53.88349515] ; [ 7.88349515 20.11650485],0
p5,1,0.33435,0.931978,[ 4 71] ; [ 3 25],[ 5.09708738 69.90291262] ; [ 1.90291262 26.09708738],0
b2,1,0.348174,0.880102,[18 31] ; [ 5 15],[16.33333333 32.66666667] ; [ 6.66666667 13.33333333],0
