Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.139127,[46 58] ; [ 22 118],[28.98360656 75.01639344] ; [ 39.01639344 100.98360656],1
v1,1,4e-06,21.171899,[60 42] ; [41 99],[42.57024793 59.42975207] ; [58.42975207 81.57024793],1
r1,1,2.1e-05,18.116988,[82 22] ; [75 68],[66.10526316 37.89473684] ; [90.89473684 52.10526316],1
p10,1,8.9e-05,15.35433,[80 22] ; [75 64],[65.60165975 36.39834025] ; [89.39834025 49.60165975],1
r3,1,0.000122,14.764022,[99  5] ; [110  32],[88.35772358 15.64227642] ; [120.64227642  21.35772358],1
p9,1,0.000556,11.919372,[85 18] ; [87 53],[72.90534979 30.09465021] ; [99.09465021 40.90534979],1
a7,1,0.000702,11.484998,[76 28] ; [74 69],[63.15789474 40.84210526] ; [86.84210526 56.15789474],1
p7,1,0.000921,10.980336,[67 36] ; [61 79],[54.25514403 48.74485597] ; [73.74485597 66.25514403],1
p4,1,0.001775,9.768434,[58 45] ; [51 90],[46.01229508 56.98770492] ; [62.98770492 78.01229508],0
r4,1,0.001857,9.685363,[88 16] ; [96 47],[77.47368421 26.52631579] ; [106.52631579  36.47368421],0
p11,1,0.00192,9.624628,[85 19] ; [91 52],[74.10526316 29.89473684] ; [101.89473684  41.10526316],0
p3,1,0.00357,8.490625,[51 53] ; [44 99],[40. 64.] ; [55. 88.],0
d3,1,0.006425,7.427124,[50 54] ; [44 98],[39.7398374 64.2601626] ; [54.2601626 87.7398374],0
v4,1,0.009167,6.79008,[96  7] ; [116  26],[89.12653061 13.87346939] ; [122.87346939  19.12653061],0
p6,1,0.0099,6.652733,[34 69] ; [ 26 114],[25.43209877 77.56790123] ; [ 34.56790123 105.43209877],0
p8,1,0.017092,5.686932,[53 51] ; [50 90],[43.90163934 60.09836066] ; [59.09836066 80.90163934],0
a8,1,0.029528,4.736586,[ 5 91] ; [ 19 116],[ 9.97402597 86.02597403] ; [ 14.02597403 120.97402597],0
s8,1,0.03214,4.591019,[26 78] ; [ 20 121],[19.52653061 84.47346939] ; [ 26.47346939 114.52653061],0
n6,1,0.036614,4.368256,[83 21] ; [97 46],[75.78947368 28.21052632] ; [104.21052632  38.78947368],0
a3,1,0.037624,4.321939,[63 41] ; [66 74],[54.98360656 49.01639344] ; [74.01639344 65.98360656],0
s6,1,0.050938,3.810327,[51 51] ; [52 87],[43.593361 58.406639] ; [59.406639 79.593361],0
p2,1,0.053666,3.723054,[84 20] ; [100  43],[77.47368421 26.52631579] ; [106.52631579  36.47368421],0
n1,1,0.057564,3.606206,[ 7 23] ; [21 26],[10.90909091 19.09090909] ; [17.09090909 29.90909091],0
n4,1,0.073329,3.206883,[74 29] ; [87 56],[67.41056911 35.58943089] ; [93.58943089 49.41056911],0
r2,1,0.074415,3.182852,[90 12] ; [113  29],[84.86065574 17.13934426] ; [118.13934426  23.86065574],0
d2,1,0.085878,2.949987,[12 92] ; [ 28 114],[16.91056911 87.08943089] ; [ 23.08943089 118.91056911],0
p5,1,0.093694,2.809738,[14 90] ; [ 10 132],[10.14634146 93.85365854] ; [ 13.85365854 128.14634146],0
d5,1,0.097128,2.752087,[62 42] ; [70 73],[55.57894737 48.42105263] ; [76.42105263 66.57894737],0
d4,1,0.097128,2.752087,[62 42] ; [70 73],[55.57894737 48.42105263] ; [76.42105263 66.57894737],0
n2,1,0.103279,2.654167,[24  6] ; [30 18],[20.76923077  9.23076923] ; [33.23076923 14.76923077],0
a5,1,0.105975,2.613238,[61 43] ; [69 74],[54.73684211 49.26315789] ; [75.26315789 67.73684211],0
u1,1,0.110912,2.541173,[ 5 99] ; [  2 141],[  2.94736842 101.05263158] ; [  4.05263158 138.94736842],0
a6,1,0.142561,2.150091,[65 39] ; [76 67],[59.36842105 44.63157895] ; [81.63157895 61.36842105],0
s4,1,0.20792,1.585854,[ 9 94] ; [ 20 123],[12.14227642 90.85772358] ; [ 16.85772358 126.14227642],0
s5,1,0.236318,1.402424,[19 83] ; [ 18 120],[15.725 86.275] ; [ 21.275 116.725],0
b1,1,0.30151,1.067502,[39 65] ; [63 80],[42.94736842 61.05263158] ; [59.05263158 83.94736842],0
n3,1,0.312607,1.019627,[24  6] ; [32 14],[22.10526316  7.89473684] ; [33.89473684 12.10526316],0
n5,1,0.379534,0.772211,[72 31] ; [91 50],[68.80737705 34.19262295] ; [94.19262295 46.80737705],0
a4,1,0.387024,0.74827,[23 81] ; [ 38 103],[25.89387755 78.10612245] ; [ 35.10612245 105.89387755],0
u2,1,0.391017,0.735778,[21 19] ; [34 43],[18.8034188 21.1965812] ; [36.1965812 40.8034188],0
p12,1,0.396737,0.718193,[ 6 97] ; [  5 136],[ 4.64344262 98.35655738] ; [  6.35655738 134.64344262],0
s1,1,0.430928,0.620321,[  3 100] ; [  7 135],[ 4.20408163 98.79591837] ; [  5.79591837 136.20408163],0
s7,1,0.454804,0.558652,[26 70] ; [ 31 105],[23.5862069 72.4137931] ; [ 33.4137931 102.5862069],0
b5,1,0.486417,0.484442,[55 49] ; [82 61],[57.68421053 46.31578947] ; [79.31578947 63.68421053],0
s3,1,0.490101,0.476304,[23 79] ; [ 37 103],[25.2892562 76.7107438] ; [ 34.7107438 105.2892562],0
b4,1,0.576422,0.312054,[59 45] ; [76 67],[56.84210526 47.15789474] ; [78.15789474 64.84210526],0
a2,1,0.618011,0.248673,[ 5 99] ; [  9 134],[ 5.89473684 98.10526316] ; [  8.10526316 134.89473684],0
