Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,23.46311,[20  3] ; [ 7 26],[11.08928571 11.91071429] ; [15.91071429 17.08928571],1
a4,1,4e-06,21.212607,[14  8] ; [ 2 31],[ 6.4 15.6] ; [ 9.6 23.4],1
d5,1,0.000788,11.26881,[20  3] ; [14 19],[13.96428571  9.03571429] ; [20.03571429 12.96428571],1
d1,1,0.001039,10.757312,[14  9] ; [ 6 27],[ 8.21428571 14.78571429] ; [11.78571429 21.21428571],0
p2,1,0.007676,7.107598,[ 5 18] ; [19 14],[ 9.85714286 13.14285714] ; [14.14285714 18.85714286],0
d2,1,0.020755,5.347222,[15  7] ; [12 21],[10.8 11.2] ; [16.2 16.8],0
a6,1,0.034249,4.482213,[17  6] ; [15 18],[13.14285714  9.85714286] ; [18.85714286 14.14285714],0
d3,1,0.057251,3.615283,[15  8] ; [13 20],[11.5 11.5] ; [16.5 16.5],0
d4,1,0.091338,2.850641,[17  6] ; [17 16],[13.96428571  9.03571429] ; [20.03571429 12.96428571],0
b1,1,0.093086,2.820179,[15  8] ; [14 19],[11.91071429 11.08928571] ; [17.08928571 15.91071429],0
s4,1,0.132322,2.265046,[ 3 20] ; [10 23],[ 5.33928571 17.66071429] ; [ 7.66071429 25.33928571],0
s3,1,0.149697,2.075336,[10 13] ; [ 8 24],[ 7.52727273 15.47272727] ; [10.47272727 21.52727273],0
s2,1,0.158122,1.992095,[ 8 15] ; [ 6 27],[ 5.75 17.25] ; [ 8.25 24.75],0
p6,1,0.208271,1.583401,[ 3 19] ; [ 9 23],[ 4.88888889 17.11111111] ; [ 7.11111111 24.88888889],0
v1,1,0.285322,1.141564,[ 7 16] ; [ 6 27],[ 5.33928571 17.66071429] ; [ 7.66071429 25.33928571],0
a7,1,0.29896,1.078828,[13 10] ; [14 19],[11.08928571 11.91071429] ; [15.91071429 17.08928571],0
n6,1,0.315183,1.008832,[11 11] ; [21 12],[12.8  9.2] ; [19.2 13.8],0
n3,1,0.343446,0.897527,[5 7] ; [9 6],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
r2,1,0.354383,0.8577,[16  6] ; [20 13],[14.4  7.6] ; [21.6 11.4],0
p7,1,0.360598,0.83581,[ 9 14] ; [17 16],[10.67857143 12.32142857] ; [15.32142857 17.67857143],0
a1,1,0.367308,0.812752,[ 3 20] ; [ 2 31],[ 2.05357143 20.94642857] ; [ 2.94642857 30.05357143],0
r3,1,0.391019,0.735772,[12 11] ; [21 12],[13.55357143  9.44642857] ; [19.44642857 13.55357143],0
b4,1,0.41514,0.664032,[10 13] ; [18 15],[11.5 11.5] ; [16.5 16.5],0
b5,1,0.41514,0.664032,[10 13] ; [18 15],[11.5 11.5] ; [16.5 16.5],0
p4,1,0.440427,0.595169,[10 13] ; [11 22],[ 8.625 14.375] ; [12.375 20.625],0
n1,1,0.466985,0.529101,[2 8] ; [ 5 10],[2.8 7.2] ; [ 4.2 10.8],0
v2,1,0.492468,0.47113,[ 9 14] ; [10 23],[ 7.80357143 15.19642857] ; [11.19642857 21.80357143],0
p3,1,0.536564,0.381944,[ 5 17] ; [10 23],[ 6. 16.] ; [ 9. 24.],0
s5,1,0.563607,0.333498,[ 4 18] ; [ 4 28],[ 3.25925926 18.74074074] ; [ 4.74074074 27.25925926],0
p11,1,0.56459,0.331819,[ 8 15] ; [14 19],[ 9.03571429 13.96428571] ; [12.96428571 20.03571429],0
s8,1,0.579266,0.307422,[ 4 19] ; [ 4 29],[ 3.28571429 19.71428571] ; [ 4.71428571 28.28571429],0
p10,1,0.606503,0.265299,[ 3 20] ; [ 6 27],[ 3.69642857 19.30357143] ; [ 5.30357143 27.69642857],0
n4,1,0.620554,0.24509,[11 12] ; [18 15],[11.91071429 11.08928571] ; [17.08928571 15.91071429],0
b2,1,0.65564,0.198864,[5 9] ; [ 6 15],[4.4 9.6] ; [ 6.6 14.4],0
b3,1,0.65564,0.198864,[5 9] ; [ 6 15],[4.4 9.6] ; [ 6.6 14.4],0
s7,1,0.656874,0.197343,[ 5 16] ; [ 6 26],[ 4.35849057 16.64150943] ; [ 6.64150943 25.35849057],0
p1,1,0.706412,0.141887,[ 2 21] ; [ 2 31],[ 1.64285714 21.35714286] ; [ 2.35714286 30.64285714],0
v3,1,0.723299,0.125354,[ 4 19] ; [ 7 26],[ 4.51785714 18.48214286] ; [ 6.48214286 26.51785714],0
p8,1,0.808466,0.058761,[ 6 16] ; [10 23],[ 6.4 15.6] ; [ 9.6 23.4],0
n2,1,0.86324,0.02967,[6 6] ; [8 7],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
v4,1,0.903315,0.014756,[15  8] ; [21 12],[14.78571429  8.21428571] ; [21.21428571 11.78571429],0
s6,1,0.910276,0.012699,[ 8 15] ; [11 22],[ 7.80357143 15.19642857] ; [11.19642857 21.80357143],0
u3,1,0.927575,0.008262,[1 2] ; [ 8 18],[0.93103448 2.06896552] ; [ 8.06896552 17.93103448],0
n5,1,0.961289,0.002356,[12 11] ; [17 16],[11.91071429 11.08928571] ; [17.08928571 15.91071429],0
r4,1,0.991583,0.000111,[ 7 16] ; [10 23],[ 6.98214286 16.01785714] ; [10.01785714 22.98214286],0
