Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000671,11.56738,[ 1 13] ; [12  6],[5.6875 8.3125] ; [ 7.3125 10.6875],1
p11,1,0.000671,11.56738,[ 1 13] ; [12  6],[5.6875 8.3125] ; [ 7.3125 10.6875],1
d4,1,0.001754,9.79063,[ 4 10] ; [15  3],[8.3125 5.6875] ; [10.6875  7.3125],0
a7,1,0.001758,9.786243,[ 1 13] ; [11  7],[5.25 8.75] ; [ 6.75 11.25],0
s6,1,0.019902,5.420443,[ 1 13] ; [ 8 10],[ 3.9375 10.0625] ; [ 5.0625 12.9375],0
d1,1,0.019902,5.420443,[ 1 13] ; [ 8 10],[ 3.9375 10.0625] ; [ 5.0625 12.9375],0
n6,1,0.032509,4.571429,[ 4 10] ; [12  6],[7. 7.] ; [9. 9.],0
b5,1,0.032509,4.571429,[ 4 10] ; [12  6],[7. 7.] ; [9. 9.],0
p9,1,0.046847,3.950874,[ 2 11] ; [9 9],[4.61290323 8.38709677] ; [ 6.38709677 11.61290323],0
d2,1,0.051181,3.802326,[ 3 11] ; [10  8],[5.6875 8.3125] ; [ 7.3125 10.6875],0
d3,1,0.051181,3.802326,[ 3 11] ; [10  8],[5.6875 8.3125] ; [ 7.3125 10.6875],0
n3,1,0.078983,3.085714,[2 5] ; [4 1],[3.5 3.5] ; [2.5 2.5],0
r2,1,0.093373,2.815243,[6 8] ; [13  5],[8.3125 5.6875] ; [10.6875  7.3125],0
p2,1,0.09769,2.742857,[ 3 11] ; [9 9],[5.25 8.75] ; [ 6.75 11.25],0
p8,1,0.118337,2.439188,[ 1 13] ; [ 5 12],[ 2.70967742 11.29032258] ; [ 3.29032258 13.70967742],0
a3,1,0.126897,2.330058,[ 4 10] ; [10  8],[6.125 7.875] ; [ 7.875 10.125],0
s3,1,0.128861,2.306174,[ 3 10] ; [9 9],[5.03225806 7.96774194] ; [ 6.96774194 11.03225806],0
a4,1,0.137916,2.201058,[ 1 13] ; [ 5 13],[ 2.625 11.375] ; [ 3.375 14.625],0
r1,1,0.173872,1.849241,[ 3 11] ; [ 8 10],[4.8125 9.1875] ; [ 6.1875 11.8125],0
b2,1,0.194567,1.682692,[6 6] ; [2 7],[4.57142857 7.42857143] ; [3.42857143 5.57142857],0
b3,1,0.194567,1.682692,[6 6] ; [2 7],[4.57142857 7.42857143] ; [3.42857143 5.57142857],0
p10,1,0.219836,1.505439,[ 3 10] ; [ 8 10],[4.61290323 8.38709677] ; [ 6.38709677 11.61290323],0
p4,1,0.243839,1.35826,[ 1 13] ; [ 4 14],[ 2.1875 11.8125] ; [ 2.8125 15.1875],0
b4,1,0.340943,0.906883,[7 7] ; [12  6],[8.3125 5.6875] ; [10.6875  7.3125],0
n4,1,0.357527,0.846561,[10  4] ; [10  8],[8.75 5.25] ; [11.25  6.75],0
n5,1,0.357527,0.846561,[10  4] ; [10  8],[8.75 5.25] ; [11.25  6.75],0
p7,1,0.359734,0.838821,[ 2 12] ; [ 5 13],[ 3.0625 10.9375] ; [ 3.9375 14.0625],0
s2,1,0.359734,0.838821,[ 2 12] ; [ 5 13],[ 3.0625 10.9375] ; [ 3.9375 14.0625],0
u2,1,0.396144,0.72,[1 9] ; [2 6],[1.66666667 8.33333333] ; [1.33333333 6.66666667],0
n2,1,0.558185,0.342857,[3 4] ; [3 2],[3.5 3.5] ; [2.5 2.5],0
v3,1,0.568261,0.3256,[ 2 12] ; [ 4 14],[ 2.625 11.375] ; [ 3.375 14.625],0
s5,1,0.664901,0.187625,[ 1 13] ; [ 2 15],[ 1.35483871 12.64516129] ; [ 1.64516129 15.35483871],0
b1,1,0.687922,0.161345,[6 8] ; [9 9],[6.5625 7.4375] ; [8.4375 9.5625],0
p3,1,0.787642,0.072562,[ 2 12] ; [ 2 16],[ 1.75 12.25] ; [ 2.25 15.75],0
s1,1,0.787642,0.072562,[ 2 12] ; [ 2 16],[ 1.75 12.25] ; [ 2.25 15.75],0
s7,1,0.800093,0.064124,[ 2 12] ; [ 3 14],[ 2.25806452 11.74193548] ; [ 2.74193548 14.25806452],0
s4,1,0.854,0.033862,[ 2 12] ; [ 3 15],[ 2.1875 11.8125] ; [ 2.8125 15.1875],0
a6,1,0.854,0.033862,[5 9] ; [ 7 11],[5.25 8.75] ; [ 6.75 11.25],0
p12,1,0.854,0.033862,[ 1 13] ; [ 1 17],[ 0.875 13.125] ; [ 1.125 16.875],0
n1,1,0.921159,0.009796,[3 4] ; [2 3],[2.91666667 4.08333333] ; [2.08333333 2.91666667],0
v1,1,0.957035,0.002902,[ 3 11] ; [ 4 14],[ 3.0625 10.9375] ; [ 3.9375 14.0625],0
