Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000172,14.117254,[ 6 34] ; [10  5],[11.63636364 28.36363636] ; [ 4.36363636 10.63636364],1
s6,1,0.00038,12.628582,[ 9 32] ; [11  4],[14.64285714 26.35714286] ; [5.35714286 9.64285714],1
p4,1,0.002995,8.810686,[12 29] ; [11  4],[16.83928571 24.16071429] ; [6.16071429 8.83928571],0
p3,1,0.007873,7.062153,[ 7 33] ; [8 7],[10.90909091 29.09090909] ; [ 4.09090909 10.90909091],0
a7,1,0.024848,5.034448,[22 19] ; [ 3 12],[18.30357143 22.69642857] ; [6.69642857 8.30357143],0
v1,1,0.04,4.217905,[10 31] ; [8 7],[13.17857143 27.82142857] ; [ 4.82142857 10.17857143],0
s7,1,0.040982,4.176766,[ 7 30] ; [7 8],[ 9.96153846 27.03846154] ; [ 4.03846154 10.96153846],0
b4,1,0.044932,4.021191,[26 15] ; [ 5 10],[22.69642857 18.30357143] ; [8.30357143 6.69642857],0
n6,1,0.052307,3.765911,[20 21] ; [11  3],[23.10909091 17.89090909] ; [7.89090909 6.10909091],0
p7,1,0.054884,3.685614,[13 28] ; [9 6],[16.10714286 24.89285714] ; [5.89285714 9.10714286],0
v3,1,0.109268,2.56477,[ 4 37] ; [ 4 11],[ 5.85714286 35.14285714] ; [ 2.14285714 12.85714286],0
s8,1,0.118822,2.432783,[ 6 35] ; [ 5 10],[ 8.05357143 32.94642857] ; [ 2.94642857 12.05357143],0
r3,1,0.120188,2.414875,[20 20] ; [11  4],[22.54545455 17.45454545] ; [8.45454545 6.54545455],0
p6,1,0.128403,2.311706,[ 4 35] ; [ 4 11],[ 5.77777778 33.22222222] ; [ 2.22222222 12.77777778],0
d4,1,0.137691,2.203577,[24 17] ; [12  3],[26.35714286 14.64285714] ; [9.64285714 5.35714286],0
b5,1,0.177663,1.817068,[19 22] ; [10  5],[21.23214286 19.76785714] ; [7.76785714 7.23214286],0
