Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,90.560763,[ 63 103] ; [368 103],[112.31711146  53.68288854] ; [318.68288854 152.31711146],1
d3,1,0.0,57.325576,[88 78] ; [390  82],[124.36990596  41.63009404] ; [353.63009404 118.36990596],1
a2,1,0.0,36.181686,[ 16 150] ; [160 312],[ 45.79310345 120.20689655] ; [130.20689655 341.79310345],1
u1,1,0.0,27.892469,[ 13 153] ; [131 341],[ 37.46708464 128.53291536] ; [106.53291536 365.46708464],1
b5,1,1.5e-05,18.709627,[77 89] ; [309 163],[100.43260188  65.56739812] ; [285.56739812 186.43260188],1
r4,1,0.002638,9.042223,[142  24] ; [440  32],[151.42946708  14.57053292] ; [430.57053292  41.42946708],0
r3,1,0.002681,9.012583,[153  13] ; [457  12],[159.46456693   6.53543307] ; [450.53543307  18.46456693],0
d1,1,0.008292,6.969332,[106  60] ; [352 120],[119.1661442  46.8338558] ; [338.8338558 133.1661442],0
b1,1,0.01475,5.946095,[72 94] ; [155 317],[ 59.06269592 106.93730408] ; [167.93730408 304.06269592],0
v4,1,0.040093,4.213937,[154  12] ; [452  16],[158.66876972   7.33123028] ; [447.33123028  20.66876972],0
s7,1,0.040668,4.18979,[94 66] ; [221 227],[82.89473684 77.10526316] ; [232.10526316 215.89473684],0
r1,1,0.040785,4.184921,[126  40] ; [389  79],[134.84227129  31.15772871] ; [380.15772871  87.84227129],0
s5,1,0.041867,4.140572,[68 90] ; [154 299],[ 57.40752864 100.59247136] ; [164.59247136 288.40752864],0
u3,1,0.056536,3.636188,[14 19] ; [72 46],[18.79470199 14.20529801] ; [67.20529801 50.79470199],0
u2,1,0.058693,3.573933,[12 20] ; [67 52],[16.74172185 15.25827815] ; [62.25827815 56.74172185],0
b4,1,0.079348,3.078202,[88 78] ; [287 185],[97.57053292 68.42946708] ; [277.42946708 194.57053292],0
b2,1,0.101782,2.677394,[49 59] ; [104 182],[41.93908629 66.06091371] ; [111.06091371 174.93908629],0
b3,1,0.101782,2.677394,[49 59] ; [104 182],[41.93908629 66.06091371] ; [111.06091371 174.93908629],0
v2,1,0.101854,2.676271,[87 77] ; [273 179],[95.84415584 68.15584416] ; [264.15584416 187.84415584],0
p2,1,0.102507,2.666105,[133  31] ; [406  64],[139.42586751  24.57413249] ; [399.57413249  70.42586751],0
p4,1,0.107424,2.591713,[95 69] ; [306 165],[103.56535433  60.43464567] ; [297.43464567 173.56535433],0
n5,1,0.116623,2.462102,[141  25] ; [373  97],[134.1572327  31.8427673] ; [379.8427673  90.1572327],0
s8,1,0.143735,2.137506,[86 79] ; [213 255],[77.93838863 87.06161137] ; [221.06161137 246.93838863],0
p8,1,0.16255,1.950345,[78 84] ; [254 212],[85.6433121 76.3566879] ; [246.3566879 219.6433121],0
a3,1,0.190819,1.711281,[133  33] ; [353 117],[126.8490566  39.1509434] ; [359.1509434 110.8490566],0
p12,1,0.195847,1.673078,[  9 154] ; [ 41 431],[ 12.83464567 150.16535433] ; [ 37.16535433 434.83464567],0
p1,1,0.203428,1.617594,[  9 156] ; [ 40 429],[ 12.75236593 152.24763407] ; [ 36.24763407 432.75236593],0
r2,1,0.230369,1.438584,[153  10] ; [446  18],[155.72089314   7.27910686] ; [443.27910686  20.72089314],0
v3,1,0.243532,1.360029,[75 89] ; [183 269],[68.68831169 95.31168831] ; [189.31168831 262.68831169],0
a8,1,0.271303,1.210147,[ 19 139] ; [ 65 350],[ 23.16230366 134.83769634] ; [ 60.83769634 354.16230366],0
a4,1,0.285057,1.142823,[91 74] ; [237 234],[85.09433962 79.90566038] ; [242.90566038 228.09433962],0
d4,1,0.293704,1.102565,[145  21] ; [426  46],[148.56739812  17.43260188] ; [422.43260188  49.56739812],0
p10,1,0.310709,1.027658,[135  30] ; [396  69],[139.07142857  25.92857143] ; [391.92857143  73.07142857],0
a1,1,0.325365,0.967259,[ 11 155] ; [ 22 450],[  8.5862069 157.4137931] ; [ 24.4137931 447.5862069],0
p9,1,0.377652,0.778331,[139  25] ; [405  58],[142.29027113  21.70972887] ; [401.70972887  61.29027113],0
p5,1,0.417212,0.658155,[ 23 142] ; [ 54 414],[ 20.07109005 144.92890995] ; [ 56.92890995 411.07109005],0
a5,1,0.455689,0.556462,[134  32] ; [368 104],[130.61442006  35.38557994] ; [371.38557994 100.61442006],0
n1,1,0.531062,0.392358,[19 26] ; [36 62],[17.30769231 27.69230769] ; [37.69230769 60.30769231],0
p7,1,0.549342,0.358498,[108  54] ; [294 165],[104.86956522  57.13043478] ; [297.13043478 161.86956522],0
n3,1,0.59169,0.287712,[31 13] ; [74 25],[32.30769231 11.69230769] ; [72.69230769 26.30769231],0
s4,1,0.61046,0.259505,[ 30 135] ; [ 76 386],[ 27.89473684 137.10526316] ; [ 78.10526316 383.89473684],0
n4,1,0.646702,0.210083,[139  27] ; [387  84],[137.07378336  28.92621664] ; [388.92621664  82.07378336],0
v1,1,0.652375,0.202919,[87 74] ; [258 202],[89.44444444 71.55555556] ; [255.55555556 204.44444444],0
p11,1,0.729066,0.119971,[135  31] ; [378  94],[133.47648903  32.52351097] ; [379.52351097  92.47648903],0
s6,1,0.737322,0.112494,[111  49] ; [327 135],[112.66881029  47.33118971] ; [325.33118971 136.66881029],0
u4,1,0.749615,0.101855,[  5 161] ; [ 12 459],[  4.43014129 161.56985871] ; [ 12.56985871 458.43014129],0
n2,1,0.768714,0.08647,[32 13] ; [72 26],[32.72727273 12.27272727] ; [71.27272727 26.72727273],0
d2,1,0.773969,0.082477,[93 71] ; [261 210],[91.42677165 72.57322835] ; [262.57322835 208.42677165],0
s1,1,0.882435,0.02187,[  5 161] ; [ 13 453],[  4.7278481 161.2721519] ; [ 13.2721519 452.7278481],0
p6,1,0.932411,0.007193,[ 62 101] ; [179 287],[ 62.45310016 100.54689984] ; [178.54689984 287.45310016],0
p3,1,0.954993,0.003185,[88 77] ; [250 221],[87.68867925 77.31132075] ; [250.31132075 220.68867925],0
s3,1,0.96776,0.001634,[92 73] ; [259 204],[92.22133758 72.77866242] ; [258.77866242 204.22133758],0
s2,1,0.973164,0.001132,[87 78] ; [245 221],[86.81458003 78.18541997] ; [245.18541997 220.81458003],0
