Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.008996,6.823604,[11 13] ; [58 20],[16.23529412  7.76470588] ; [52.76470588 25.23529412],0
p2,1,0.009005,6.821739,[17  8] ; [70  8],[21.11650485  3.88349515] ; [65.88349515 12.11650485],0
d5,1,0.029886,4.715841,[14 11] ; [61 17],[18.2038835  6.7961165] ; [56.7961165 21.2038835],0
p5,1,0.03061,4.674718,[ 1 24] ; [18 59],[ 4.65686275 20.34313725] ; [14.34313725 62.65686275],0
p8,1,0.033452,4.5225,[10 15] ; [50 28],[14.5631068 10.4368932] ; [45.4368932 32.5631068],0
r3,1,0.03754,4.325732,[21  4] ; [74  3],[23.28431373  1.71568627] ; [71.71568627  5.28431373],0
n6,1,0.048,3.90997,[18  7] ; [69  9],[21.11650485  3.88349515] ; [65.88349515 12.11650485],0
n5,1,0.050953,3.809831,[15 10] ; [62 16],[18.68932039  6.31067961] ; [58.31067961 19.68932039],0
p6,1,0.058851,3.569482,[ 5 16] ; [36 41],[ 8.78571429 12.21428571] ; [32.21428571 44.78571429],0
s2,1,0.061758,3.48952,[ 7 18] ; [38 39],[11.02941176 13.97058824] ; [33.97058824 43.02941176],0
n4,1,0.116002,2.470483,[16  9] ; [62 16],[18.93203883  6.06796117] ; [59.06796117 18.93203883],0
a6,1,0.122786,2.381425,[10 15] ; [45 33],[13.34951456 11.65048544] ; [41.65048544 36.34951456],0
p11,1,0.130238,2.289668,[15 10] ; [59 19],[17.96116505  7.03883495] ; [56.03883495 21.96116505],0
s5,1,0.1494,2.078368,[ 4 20] ; [23 49],[ 6.75 17.25] ; [20.25 51.75],0
d3,1,0.153849,2.033671,[11 14] ; [47 31],[14.0776699 10.9223301] ; [43.9223301 34.0776699],0
p10,1,0.172233,1.863395,[15  9] ; [59 18],[17.58415842  6.41584158] ; [56.41584158 20.58415842],0
s7,1,0.174404,1.844676,[ 8 16] ; [35 36],[10.86315789 13.13684211] ; [32.13684211 38.86315789],0
v4,1,0.220869,1.498715,[23  2] ; [76  2],[24.02912621  0.97087379] ; [74.97087379  3.02912621],0
s4,1,0.27015,1.215987,[ 3 22] ; [17 60],[ 4.90196078 20.09803922] ; [15.09803922 61.90196078],0
a4,1,0.281298,1.16081,[ 3 22] ; [17 61],[ 4.85436893 20.14563107] ; [15.14563107 62.85436893],0
p7,1,0.282093,1.156979,[20  5] ; [53 24],[17.89215686  7.10784314] ; [55.10784314 21.89215686],0
r4,1,0.282688,1.154124,[20  5] ; [69  9],[21.60194175  3.39805825] ; [67.39805825 10.60194175],0
b3,1,0.290347,1.118012,[5 9] ; [10 36],[ 3.5 10.5] ; [11.5 34.5],0
b2,1,0.290347,1.118012,[5 9] ; [10 36],[ 3.5 10.5] ; [11.5 34.5],0
a8,1,0.304452,1.05459,[ 1 23] ; [ 8 63],[ 2.27368421 21.72631579] ; [ 6.72631579 64.27368421],0
u2,1,0.319436,0.991253,[5 7] ; [26 19],[6.52631579 5.47368421] ; [24.47368421 20.52631579],0
p1,1,0.323589,0.974383,[ 6 19] ; [12 66],[ 4.36893204 20.63106796] ; [13.63106796 64.36893204],0
s6,1,0.346873,0.884862,[15 10] ; [54 23],[16.91176471  8.08823529] ; [52.08823529 24.91176471],0
v2,1,0.394527,0.724943,[12 11] ; [32 44],[10.22222222 12.77777778] ; [33.77777778 42.22222222],0
u1,1,0.400356,0.707256,[ 2 23] ; [ 3 75],[ 1.21359223 23.78640777] ; [ 3.78640777 74.21359223],0
p9,1,0.452879,0.563435,[18  7] ; [61 16],[19.3627451  5.6372549] ; [59.6372549 17.3627451],0
d1,1,0.487285,0.482516,[ 8 17] ; [31 47],[ 9.46601942 15.53398058] ; [29.53398058 48.46601942],0
b5,1,0.539571,0.376336,[13 12] ; [46 32],[14.32038835 10.67961165] ; [44.67961165 33.32038835],0
u3,1,0.608702,0.262069,[7 7] ; [26 19],[7.83050847 6.16949153] ; [25.16949153 19.83050847],0
a7,1,0.65631,0.198036,[19  6] ; [55 22],[18.1372549  6.8627451] ; [55.8627451 21.1372549],0
s3,1,0.678621,0.171682,[15 10] ; [42 34],[14.10891089 10.89108911] ; [42.89108911 33.10891089],0
b4,1,0.706271,0.14203,[14 11] ; [47 31],[14.80582524 10.19417476] ; [46.19417476 31.80582524],0
a1,1,0.71024,0.138038,[ 1 24] ; [ 2 76],[ 0.72815534 24.27184466] ; [ 2.27184466 75.72815534],0
s1,1,0.810017,0.057794,[ 1 24] ; [ 4 73],[ 1.2254902 23.7745098] ; [ 3.7745098 73.2254902],0
s8,1,0.82524,0.048757,[ 9 16] ; [30 48],[ 9.46601942 15.53398058] ; [29.53398058 48.46601942],0
d2,1,0.869441,0.027017,[ 6 19] ; [20 58],[ 6.31067961 18.68932039] ; [19.68932039 58.31067961],0
v1,1,0.895492,0.017255,[13 11] ; [40 36],[12.72 11.28] ; [40.28 35.72],0
n1,1,0.905565,0.014074,[2 2] ; [7 8],[1.89473684 2.10526316] ; [7.10526316 7.89473684],0
d4,1,0.907874,0.013391,[17  8] ; [54 24],[17.23300971  7.76699029] ; [53.76699029 24.23300971],0
a3,1,0.920149,0.010049,[11 14] ; [33 44],[10.78431373 14.21568627] ; [33.21568627 43.78431373],0
b1,1,0.927642,0.008247,[10 15] ; [32 46],[10.19417476 14.80582524] ; [31.80582524 46.19417476],0
v3,1,0.940287,0.005611,[ 9 15] ; [28 45],[ 9.15463918 14.84536082] ; [27.84536082 45.15463918],0
