Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.950254,[17 94] ; [19 15],[27.55862069 83.44137931] ; [ 8.44137931 25.55862069],1
p7,1,1.7e-05,18.542293,[29 79] ; [23 11],[39.54929577 68.45070423] ; [12.45070423 21.54929577],1
s6,1,4.5e-05,16.648372,[60 49] ; [31  2],[69.85211268 39.14788732] ; [21.14788732 11.85211268],1
s5,1,0.002073,9.483647,[25 78] ; [17 15],[32.04444444 70.95555556] ; [ 9.95555556 22.04444444],0
p1,1,0.004692,7.994367,[  4 107] ; [ 6 28],[  7.65517241 103.34482759] ; [ 2.34482759 31.65517241],0
p4,1,0.005714,7.638359,[31 78] ; [18 15],[37.61267606 71.38732394] ; [11.38732394 21.61267606],0
v1,1,0.006094,7.522379,[38 70] ; [21 13],[44.87323944 63.12676056] ; [14.12676056 19.87323944],0
p3,1,0.008871,6.848575,[33 78] ; [18 15],[39.3125 71.6875] ; [11.6875 21.3125],0
s7,1,0.010308,6.580876,[36 66] ; [20 13],[42.31111111 59.68888889] ; [13.68888889 19.31111111],0
p5,1,0.014,6.038157,[  5 102] ; [ 6 28],[ 8.34751773 98.65248227] ; [ 2.65248227 31.34751773],0
s8,1,0.018139,5.582656,[40 71] ; [19 13],[45.7972028 65.2027972] ; [13.2027972 18.7972028],0
v2,1,0.043226,4.086538,[47 57] ; [21 11],[52. 52.] ; [16. 16.],0
s2,1,0.057344,3.612572,[47 62] ; [21 13],[51.83216783 57.16783217] ; [16.16783217 17.83216783],0
p9,1,0.07548,3.159644,[68 40] ; [27  7],[72.25352113 35.74647887] ; [22.74647887 11.25352113],0
p12,1,0.123991,2.366164,[  7 103] ; [ 5 29],[  9.16666667 100.83333333] ; [ 2.83333333 31.16666667],0
u3,1,0.16866,1.894815,[25 18] ; [11  3],[27.15789474 15.84210526] ; [8.84210526 5.15789474],0
b4,1,0.189642,1.720394,[61 50] ; [23 11],[64.30344828 46.69655172] ; [19.69655172 14.30344828],0
a2,1,0.240494,1.377697,[23 88] ; [ 4 30],[20.66896552 90.33103448] ; [ 6.33103448 27.66896552],0
r1,1,0.281004,1.162228,[91 20] ; [25  9],[88.8 22.2] ; [27.2  6.8],0
n6,1,0.310084,1.030317,[85 26] ; [28  5],[87.10416667 23.89583333] ; [25.89583333  7.10416667],0
a8,1,0.324071,0.972446,[10 96] ; [ 5 27],[11.52173913 94.47826087] ; [ 3.47826087 28.52173913],0
b3,1,0.365725,0.818139,[22 46] ; [11 15],[23.87234043 44.12765957] ; [ 9.12765957 16.87234043],0
b2,1,0.365725,0.818139,[22 46] ; [11 15],[23.87234043 44.12765957] ; [ 9.12765957 16.87234043],0
n1,1,0.379621,0.77193,[18 20] ; [4 2],[19. 19.] ; [3. 3.],0
p10,1,0.491969,0.472218,[66 42] ; [23 11],[67.69014085 40.30985915] ; [21.30985915 12.69014085],0
d4,1,0.507728,0.438747,[83 27] ; [23 10],[81.53846154 28.46153846] ; [24.46153846  8.53846154],0
a7,1,0.522167,0.409611,[72 39] ; [20 14],[70.42758621 40.57241379] ; [21.57241379 12.42758621],0
u1,1,0.52671,0.400735,[18 93] ; [ 4 30],[16.84137931 94.15862069] ; [ 5.15862069 28.84137931],0
n5,1,0.53793,0.379391,[68 42] ; [23 11],[69.51388889 40.48611111] ; [21.48611111 12.51388889],0
v4,1,0.557531,0.343997,[105   6] ; [33  1],[105.64137931   5.35862069] ; [32.35862069  1.64137931],0
r3,1,0.559414,0.340719,[107   4] ; [32  2],[106.40689655   4.59310345] ; [32.59310345  1.40689655],0
d2,1,0.586744,0.295457,[47 62] ; [16 17],[48.35915493 60.64084507] ; [14.64084507 18.35915493],0
s1,1,0.621905,0.243199,[  7 103] ; [ 3 31],[  7.63888889 102.36111111] ; [ 2.36111111 31.63888889],0
d3,1,0.623233,0.24135,[62 48] ; [17 16],[60.76923077 49.23076923] ; [18.23076923 14.76923077],0
u2,1,0.638018,0.221344,[24 18] ; [9 5],[24.75 17.25] ; [8.25 5.75],0
a4,1,0.656329,0.198014,[47 63] ; [16 18],[48.125 61.875] ; [14.875 19.125],0
d1,1,0.661389,0.191841,[54 57] ; [18 16],[55.11724138 55.88275862] ; [16.88275862 17.11724138],0
s4,1,0.675693,0.175015,[22 87] ; [ 8 26],[22.86713287 86.13286713] ; [ 7.13286713 26.86713287],0
n3,1,0.680442,0.169629,[28  9] ; [5 1],[28.39534884  8.60465116] ; [4.60465116 1.39534884],0
v3,1,0.684585,0.165011,[37 64] ; [13 19],[37.96992481 63.03007519] ; [12.03007519 19.96992481],0
