Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.038869,4.266598,[19 84] ; [2 1],[20.40566038 82.59433962] ; [0.59433962 2.40566038],0
s7,1,0.07827,3.100463,[21 72] ; [2 1],[22.28125 70.71875] ; [0.71875 2.28125],0
u1,1,0.086298,2.942111,[ 7 96] ; [1 2],[ 7.77358491 95.22641509] ; [0.22641509 2.77358491],0
p3,1,0.148326,2.089384,[29 74] ; [2 1],[30.12264151 72.87735849] ; [0.87735849 2.12264151],0
v2,1,0.231197,1.433484,[32 64] ; [2 1],[32.96969697 63.03030303] ; [1.03030303 1.96969697],0
s5,1,0.243705,1.359031,[11 87] ; [1 2],[11.64356436 86.35643564] ; [0.35643564 2.64356436],0
s6,1,0.331283,0.943876,[40 63] ; [2 1],[40.81132075 62.18867925] ; [1.18867925 1.81132075],0
d2,1,0.358125,0.844457,[41 61] ; [2 1],[41.77142857 60.22857143] ; [1.22857143 1.77142857],0
a2,1,0.37068,0.801384,[15 88] ; [1 2],[15.54716981 87.45283019] ; [0.45283019 2.54716981],0
b3,1,0.39615,0.719983,[14 45] ; [1 1],[14.50819672 44.49180328] ; [0.49180328 1.50819672],0
b2,1,0.39615,0.719983,[14 45] ; [1 1],[14.50819672 44.49180328] ; [0.49180328 1.50819672],0
b1,1,0.558079,0.343042,[51 52] ; [2 1],[51.5 51.5] ; [1.5 1.5],0
v3,1,0.565122,0.330914,[19 77] ; [1 2],[19.39393939 76.60606061] ; [0.60606061 2.39393939],0
n4,1,0.580507,0.305415,[51 52] ; [1 2],[50.52830189 52.47169811] ; [1.47169811 1.52830189],0
s3,1,0.592105,0.287069,[50 52] ; [1 2],[49.54285714 52.45714286] ; [1.45714286 1.54285714],0
v4,1,0.694354,0.154412,[78 24] ; [2 1],[77.71428571 24.28571429] ; [2.28571429 0.71428571],0
b5,1,0.697066,0.151542,[57 46] ; [2 1],[57.33018868 45.66981132] ; [1.66981132 1.33018868],0
b4,1,0.697066,0.151542,[57 46] ; [2 1],[57.33018868 45.66981132] ; [1.66981132 1.33018868],0
a3,1,0.710594,0.137685,[57 45] ; [2 1],[57.31428571 44.68571429] ; [1.68571429 1.31428571],0
n5,1,0.785407,0.074136,[42 60] ; [1 2],[41.77142857 60.22857143] ; [1.22857143 1.77142857],0
a4,1,0.926558,0.008496,[37 66] ; [1 2],[36.9245283 66.0754717] ; [1.0754717 1.9245283],0
a6,1,0.942519,0.005199,[70 32] ; [2 1],[69.94285714 32.05714286] ; [2.05714286 0.94285714],0
r1,1,0.944138,0.00491,[66 36] ; [2 1],[66.05714286 35.94285714] ; [1.94285714 1.05714286],0
a7,1,0.953782,0.003359,[67 36] ; [2 1],[67.04716981 35.95283019] ; [1.95283019 1.04716981],0
r4,1,0.953782,0.003359,[67 36] ; [2 1],[67.04716981 35.95283019] ; [1.95283019 1.04716981],0
p8,1,1.0,0.0,[34 68] ; [1 2],[34. 68.] ; [1. 2.],0
