Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-05,19.550501,[34 10] ; [ 8 23],[24.64 19.36] ; [17.36 13.64],1
b5,1,0.005297,7.775298,[22 22] ; [26  6],[27.78947368 16.21052632] ; [20.21052632 11.78947368],0
u3,1,0.020377,5.379299,[11 17] ; [14  5],[14.89361702 13.10638298] ; [10.10638298  8.89361702],0
n1,1,0.026999,4.890902,[9 4] ; [3 9],[6.24 6.76] ; [5.76 6.24],0
p3,1,0.118837,2.432576,[12 32] ; [ 4 28],[ 9.26315789 34.73684211] ; [ 6.73684211 25.26315789],0
s8,1,0.118837,2.432576,[12 32] ; [ 4 28],[ 9.26315789 34.73684211] ; [ 6.73684211 25.26315789],0
d4,1,0.124663,2.357734,[24 20] ; [23  9],[27.21052632 16.78947368] ; [19.78947368 12.21052632],0
n6,1,0.134932,2.234825,[32 12] ; [18 14],[28.94736842 15.05263158] ; [21.05263158 10.94736842],0
p11,1,0.145518,2.118617,[28 16] ; [15 17],[24.89473684 19.10526316] ; [18.10526316 13.89473684],0
n2,1,0.161178,1.963141,[10  3] ; [6 6],[8.32 4.68] ; [7.68 4.32],0
v3,1,0.185618,1.752059,[14 28] ; [ 6 25],[11.50684932 30.49315068] ; [ 8.49315068 22.50684932],0
v4,1,0.201474,1.631656,[30 14] ; [26  6],[32.42105263 11.57894737] ; [23.57894737  8.42105263],0
v1,1,0.211571,1.560642,[17 27] ; [ 8 24],[14.47368421 29.52631579] ; [10.52631579 21.47368421],0
v2,1,0.242699,1.364846,[17 23] ; [ 9 22],[14.64788732 25.35211268] ; [11.35211268 19.64788732],0
a6,1,0.250253,1.321892,[18 26] ; [ 9 23],[15.63157895 28.36842105] ; [11.36842105 20.63157895],0
d5,1,0.260438,1.266427,[19 25] ; [18 14],[21.42105263 22.57894737] ; [15.57894737 16.42105263],0
a8,1,0.265731,1.23865,[ 4 37] ; [ 1 31],[ 2.80821918 38.19178082] ; [ 2.19178082 29.80821918],0
p9,1,0.313327,1.0166,[23 20] ; [12 17],[20.90277778 22.09722222] ; [14.09722222 14.90277778],0
b2,1,0.337276,0.920759,[ 9 19] ; [ 3 13],[ 7.63636364 20.36363636] ; [ 4.36363636 11.63636364],0
b3,1,0.337276,0.920759,[ 9 19] ; [ 3 13],[ 7.63636364 20.36363636] ; [ 4.36363636 11.63636364],0
u2,1,0.37324,0.792848,[14 14] ; [12  7],[15.4893617 12.5106383] ; [10.5106383  8.4893617],0
p7,1,0.377876,0.7776,[16 25] ; [ 9 22],[14.23611111 26.76388889] ; [10.76388889 20.23611111],0
r3,1,0.388219,0.744514,[32 12] ; [26  6],[33.57894737 10.42105263] ; [24.42105263  7.57894737],0
a4,1,0.388519,0.743571,[ 5 38] ; [ 6 26],[ 6.30666667 36.69333333] ; [ 4.69333333 27.30666667],0
s3,1,0.409129,0.681331,[18 23] ; [11 21],[16.28767123 24.71232877] ; [12.71232877 19.28767123],0
s7,1,0.430979,0.620185,[10 31] ; [ 5 25],[ 8.66197183 32.33802817] ; [ 6.33802817 23.66197183],0
r1,1,0.438038,0.601416,[25 19] ; [21 11],[26.63157895 17.36842105] ; [19.36842105 12.63157895],0
s6,1,0.438503,0.600197,[21 23] ; [12 19],[19.36 24.64] ; [13.64 17.36],0
d3,1,0.472617,0.515851,[17 27] ; [15 17],[18.52631579 25.47368421] ; [13.47368421 18.52631579],0
a1,1,0.476533,0.506787,[ 3 41] ; [ 1 31],[ 2.31578947 41.68421053] ; [ 1.68421053 30.31578947],0
s4,1,0.50771,0.438783,[ 7 37] ; [ 7 25],[ 8.10526316 35.89473684] ; [ 5.89473684 26.10526316],0
p10,1,0.510016,0.434035,[22 21] ; [13 17],[20.61643836 22.38356164] ; [14.38356164 15.61643836],0
p4,1,0.529855,0.39467,[11 32] ; [ 6 25],[ 9.87837838 33.12162162] ; [ 7.12162162 23.87837838],0
d2,1,0.54745,0.361905,[11 33] ; [10 22],[12.15789474 31.84210526] ; [ 8.84210526 23.15789474],0
r2,1,0.559761,0.340119,[34  9] ; [27  5],[34.97333333  8.02666667] ; [26.02666667  5.97333333],0
r4,1,0.580654,0.305179,[29 15] ; [23  9],[30.10526316 13.89473684] ; [21.89473684 10.10526316],0
s5,1,0.637724,0.221732,[ 4 37] ; [ 4 26],[ 4.61971831 36.38028169] ; [ 3.38028169 26.61971831],0
s1,1,0.642817,0.215076,[ 5 37] ; [ 5 27],[ 5.67567568 36.32432432] ; [ 4.32432432 27.67567568],0
b4,1,0.654248,0.200587,[27 17] ; [18 14],[26.05263158 17.94736842] ; [18.94736842 13.05263158],0
d1,1,0.661737,0.191421,[13 31] ; [ 8 24],[12.15789474 31.84210526] ; [ 8.84210526 23.15789474],0
b1,1,0.731258,0.11796,[21 23] ; [14 18],[20.26315789 23.73684211] ; [14.73684211 17.26315789],0
s2,1,0.741272,0.109012,[15 28] ; [10 22],[14.33333333 28.66666667] ; [10.66666667 21.33333333],0
a3,1,0.76385,0.090257,[16 27] ; [13 19],[16.62666667 26.37333333] ; [12.37333333 19.62666667],0
p6,1,0.815519,0.054435,[ 7 35] ; [ 6 26],[ 7.37837838 34.62162162] ; [ 5.62162162 26.37837838],0
a7,1,0.844834,0.038304,[21 23] ; [16 16],[21.42105263 22.57894737] ; [15.57894737 16.42105263],0
p8,1,0.853751,0.033979,[ 9 35] ; [ 6 26],[ 8.68421053 35.31578947] ; [ 6.31578947 25.68421053],0
n3,1,0.87018,0.026709,[8 5] ; [7 5],[7.8 5.2] ; [7.2 4.8],0
p1,1,0.921419,0.009731,[ 3 41] ; [ 2 30],[ 2.89473684 41.10526316] ; [ 2.10526316 29.89473684],0
