Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000131,14.632775,[49  1] ; [9 5],[45.3125  4.6875] ; [12.6875  1.3125],1
d3,1,0.002192,9.381254,[38 12] ; [ 5 10],[33.07692308 16.92307692] ; [9.92307692 5.07692308],0
d4,1,0.002814,8.924485,[40 10] ; [6 9],[35.38461538 14.61538462] ; [10.61538462  4.38461538],0
p1,1,0.007815,7.07533,[ 2 48] ; [ 4 11],[ 4.61538462 45.38461538] ; [ 1.38461538 13.61538462],0
d2,1,0.01547,5.862193,[20 30] ; [ 1 14],[16.15384615 33.84615385] ; [ 4.84615385 10.15384615],0
r4,1,0.027248,4.875,[43  7] ; [9 6],[40. 10.] ; [12.  3.],0
a8,1,0.068658,3.314809,[ 1 45] ; [ 2 12],[ 2.3 43.7] ; [ 0.7 13.3],0
s1,1,0.070218,3.277915,[ 1 48] ; [ 2 13],[ 2.296875 46.703125] ; [ 0.703125 14.296875],0
p4,1,0.071423,3.25,[33 17] ; [6 9],[30. 20.] ; [9. 6.],0
s3,1,0.106412,2.606712,[21 28] ; [10  5],[23.734375 25.265625] ; [7.265625 7.734375],0
a6,1,0.128253,2.313519,[37 13] ; [8 7],[34.61538462 15.38461538] ; [10.38461538  4.61538462],0
r2,1,0.131199,2.278265,[44  6] ; [10  4],[42.1875  7.8125] ; [11.8125  2.1875],0
n2,1,0.140213,2.17562,[10  1] ; [1 1],[9.30769231 1.69230769] ; [1.69230769 0.30769231],0
p2,1,0.141032,2.166667,[42  8] ; [10  5],[40. 10.] ; [12.  3.],0
r1,1,0.141032,2.166667,[42  8] ; [10  5],[40. 10.] ; [12.  3.],0
a4,1,0.156484,2.00788,[16 34] ; [ 2 13],[13.84615385 36.15384615] ; [ 4.15384615 10.84615385],0
u3,1,0.171857,1.866667,[15  6] ; [3 4],[13.5  7.5] ; [4.5 2.5],0
v2,1,0.265845,1.238062,[26 20] ; [6 9],[24.13114754 21.86885246] ; [7.86885246 7.13114754],0
s4,1,0.285973,1.138485,[ 9 41] ; [ 1 14],[ 7.69230769 42.30769231] ; [ 2.30769231 12.69230769],0
r3,1,0.349881,0.873889,[47  3] ; [13  2],[46.15384615  3.84615385] ; [13.84615385  1.15384615],0
a1,1,0.358656,0.842593,[ 1 49] ; [ 1 14],[ 1.53846154 48.46153846] ; [ 0.46153846 14.53846154],0
a7,1,0.377141,0.78,[36 14] ; [9 6],[34.61538462 15.38461538] ; [10.38461538  4.61538462],0
s5,1,0.378108,0.776844,[12 38] ; [ 2 13],[10.76923077 39.23076923] ; [ 3.23076923 11.76923077],0
n4,1,0.384902,0.754987,[23 27] ; [ 5 10],[21.53846154 28.46153846] ; [6.46153846 8.53846154],0
b2,1,0.388904,0.742367,[ 7 24] ; [3 5],[ 7.94871795 23.05128205] ; [2.05128205 5.94871795],0
b3,1,0.388904,0.742367,[ 7 24] ; [3 5],[ 7.94871795 23.05128205] ; [2.05128205 5.94871795],0
s2,1,0.401977,0.702404,[17 32] ; [7 8],[18.375 30.625] ; [5.625 9.375],0
a5,1,0.456417,0.554667,[32 18] ; [8 7],[30.76923077 19.23076923] ; [9.23076923 5.76923077],0
v3,1,0.461301,0.542736,[14 33] ; [6 9],[15.16129032 31.83870968] ; [ 4.83870968 10.16129032],0
b5,1,0.502854,0.448908,[32 18] ; [11  4],[33.07692308 16.92307692] ; [9.92307692 5.07692308],0
n5,1,0.54789,0.361111,[21 29] ; [ 5 10],[20. 30.] ; [6. 9.],0
p6,1,0.575819,0.313043,[17 32] ; [6 8],[17.88888889 31.11111111] ; [5.11111111 8.88888889],0
p9,1,0.577748,0.30989,[37 13] ; [10  5],[36.15384615 13.84615385] ; [10.84615385  4.15384615],0
n3,1,0.715388,0.132955,[7 4] ; [1 1],[6.76923077 4.23076923] ; [1.23076923 0.76923077],0
p3,1,0.717074,0.131313,[24 26] ; [8 7],[24.61538462 25.38461538] ; [7.38461538 7.61538462],0
b1,1,0.717074,0.131313,[26 24] ; [7 8],[25.38461538 24.61538462] ; [7.61538462 7.38461538],0
b4,1,0.717074,0.131313,[26 24] ; [7 8],[25.38461538 24.61538462] ; [7.61538462 7.38461538],0
p7,1,0.783659,0.07538,[36 12] ; [11  3],[36.38709677 11.61290323] ; [10.61290323  3.38709677],0
v1,1,0.842708,0.039375,[21 27] ; [7 8],[21.33333333 26.66666667] ; [6.66666667 8.33333333],0
a3,1,0.855407,0.033206,[28 22] ; [8 7],[27.69230769 22.30769231] ; [8.30769231 6.69230769],0
u2,1,0.871524,0.026154,[15  7] ; [5 2],[15.17241379  6.82758621] ; [4.82758621 2.17241379],0
s8,1,0.888943,0.0195,[19 31] ; [6 9],[19.23076923 30.76923077] ; [5.76923077 9.23076923],0
s7,1,0.918289,0.010524,[16 30] ; [ 5 10],[15.83606557 30.16393443] ; [5.16393443 9.83606557],0
p11,1,0.919381,0.010244,[36 14] ; [11  4],[36.15384615 13.84615385] ; [10.84615385  4.15384615],0
p10,1,0.958904,0.002655,[37 13] ; [11  4],[36.92307692 13.07692308] ; [11.07692308  3.92307692],0
s6,1,1.0,0.0,[30 20] ; [9 6],[30. 20.] ; [9. 6.],0
