Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.166667,[50  8] ; [10 19],[40. 18.] ; [20.  9.],1
n6,1,0.007282,7.202068,[43 14] ; [14 16],[37.34482759 19.65517241] ; [19.65517241 10.34482759],0
a7,1,0.012481,6.241294,[41 17] ; [13 17],[35.59090909 22.40909091] ; [18.40909091 11.59090909],0
d3,1,0.012568,6.228857,[38 18] ; [12 18],[32.55813953 23.44186047] ; [17.44186047 12.55813953],0
u1,1,0.020359,5.380837,[13 45] ; [ 1 29],[ 9.22727273 48.77272727] ; [ 4.77272727 25.22727273],0
d1,1,0.033189,4.536004,[37 21] ; [12 18],[32.29545455 25.70454545] ; [16.70454545 13.29545455],0
p3,1,0.034372,4.47609,[25 32] ; [ 6 23],[20.54651163 36.45348837] ; [10.45348837 18.54651163],0
s7,1,0.048715,3.885139,[36 19] ; [12 16],[31.80722892 23.19277108] ; [16.19277108 11.80722892],0
v3,1,0.056693,3.631593,[21 32] ; [ 5 22],[17.225 35.775] ; [ 8.775 18.225],0
r1,1,0.069102,3.304215,[47 11] ; [19 11],[43.5 14.5] ; [22.5  7.5],0
a6,1,0.088038,2.909887,[35 21] ; [13 17],[31.25581395 24.74418605] ; [16.74418605 13.25581395],0
p11,1,0.088221,2.906533,[38 20] ; [14 16],[34.27272727 23.72727273] ; [17.72727273 12.27272727],0
s8,1,0.115933,2.47142,[31 26] ; [11 19],[27.51724138 29.48275862] ; [14.48275862 15.51724138],0
s5,1,0.151888,2.053185,[15 40] ; [12 16],[17.89156627 37.10843373] ; [ 9.10843373 18.89156627],0
p9,1,0.156726,2.005533,[42 16] ; [16 12],[39.11627907 18.88372093] ; [18.88372093  9.11627907],0
a8,1,0.161972,1.955719,[10 47] ; [ 2 28],[ 7.86206897 49.13793103] ; [ 4.13793103 25.86206897],0
n2,1,0.169327,1.888889,[15  3] ; [10  6],[13.23529412  4.76470588] ; [11.76470588  4.23529412],0
a4,1,0.177231,1.82069,[26 32] ; [18 12],[29. 29.] ; [15. 15.],0
p12,1,0.264921,1.242857,[ 6 52] ; [ 1 28],[ 4.66666667 53.33333333] ; [ 2.33333333 26.66666667],0
b2,1,0.27097,1.211828,[12 30] ; [7 9],[13.75862069 28.24137931] ; [ 5.24137931 10.75862069],0
b3,1,0.27097,1.211828,[12 30] ; [7 9],[13.75862069 28.24137931] ; [ 5.24137931 10.75862069],0
b5,1,0.328323,0.955501,[39 19] ; [17 13],[36.90909091 21.09090909] ; [19.09090909 10.90909091],0
s4,1,0.33142,0.943342,[12 46] ; [ 9 21],[13.84090909 44.15909091] ; [ 7.15909091 22.84090909],0
p10,1,0.338583,0.915789,[40 18] ; [17 12],[38. 20.] ; [19. 10.],0
b4,1,0.353059,0.862432,[35 23] ; [15 15],[32.95454545 25.04545455] ; [17.04545455 12.95454545],0
b1,1,0.361823,0.831556,[33 25] ; [14 16],[30.97727273 27.02272727] ; [16.02272727 13.97727273],0
p4,1,0.367314,0.81273,[18 39] ; [12 17],[19.88372093 37.11627907] ; [10.11627907 18.88372093],0
a1,1,0.394406,0.725315,[ 3 55] ; [ 3 27],[ 3.95454545 54.04545455] ; [ 2.04545455 27.95454545],0
s6,1,0.402242,0.701613,[43 15] ; [19 10],[41.33333333 16.66666667] ; [20.66666667  8.33333333],0
r3,1,0.427898,0.628521,[51  7] ; [28  2],[52.06818182  5.93181818] ; [26.93181818  3.06818182],0
n1,1,0.435078,0.609231,[12  6] ; [8 7],[10.90909091  7.09090909] ; [9.09090909 5.90909091],0
d4,1,0.454293,0.559918,[45 11] ; [22  8],[43.62790698 12.37209302] ; [23.37209302  6.62790698],0
p7,1,0.463445,0.537562,[25 29] ; [11 18],[23.42168675 30.57831325] ; [12.57831325 16.42168675],0
p1,1,0.489198,0.47829,[ 5 53] ; [ 4 26],[ 5.93181818 52.06818182] ; [ 3.06818182 26.93181818],0
r2,1,0.506671,0.440936,[52  5] ; [26  4],[51.10344828  5.89655172] ; [26.89655172  3.10344828],0
u3,1,0.506984,0.440286,[13  6] ; [5 4],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
a5,1,0.594169,0.283881,[40 18] ; [19 11],[38.88636364 19.11363636] ; [20.11363636  9.88636364],0
d2,1,0.665368,0.187068,[29 27] ; [17 13],[29.95348837 26.04651163] ; [16.04651163 13.95348837],0
u4,1,0.694617,0.154132,[ 3 55] ; [ 1 29],[ 2.63636364 55.36363636] ; [ 1.36363636 28.63636364],0
u2,1,0.700472,0.147981,[12  7] ; [5 4],[11.53571429  7.46428571] ; [5.46428571 3.53571429],0
v4,1,0.718765,0.129679,[50  8] ; [25  5],[49.43181818  8.56818182] ; [25.56818182  4.43181818],0
s1,1,0.751232,0.100499,[ 7 50] ; [ 3 27],[ 6.55172414 50.44827586] ; [ 3.44827586 26.55172414],0
d5,1,0.75145,0.100317,[41 15] ; [21  9],[40.37209302 15.62790698] ; [21.62790698  8.37209302],0
v2,1,0.763956,0.090174,[31 25] ; [14 13],[30.36144578 25.63855422] ; [14.63855422 12.36144578],0
n3,1,0.783779,0.075294,[11  6] ; [9 6],[10.625  6.375] ; [9.375 5.625],0
a2,1,0.790984,0.070243,[11 47] ; [ 5 25],[10.54545455 47.45454545] ; [ 5.45454545 24.54545455],0
a3,1,0.792271,0.06936,[39 19] ; [21  9],[39.54545455 18.45454545] ; [20.45454545  9.54545455],0
p6,1,0.82295,0.050065,[13 44] ; [ 6 23],[12.59302326 44.40697674] ; [ 6.40697674 22.59302326],0
p8,1,0.844857,0.038292,[11 47] ; [ 5 24],[10.66666667 47.33333333] ; [ 5.33333333 23.66666667],0
v1,1,0.891068,0.018756,[29 27] ; [16 14],[29.30232558 26.69767442] ; [15.69767442 14.30232558],0
r4,1,0.907244,0.013576,[47 11] ; [24  6],[46.79545455 11.20454545] ; [24.20454545  5.79545455],0
s2,1,0.935102,0.006631,[43 15] ; [22  8],[42.84090909 15.15909091] ; [22.15909091  7.84090909],0
