Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,32.78669,[18 23] ; [86 10],[31.12408759  9.87591241] ; [72.87591241 23.12408759],1
r4,1,3e-06,21.687201,[ 8 33] ; [61 36],[20.5 20.5] ; [48.5 48.5],1
p11,1,5e-05,16.449187,[15 26] ; [71 26],[25.55072464 15.44927536] ; [60.44927536 36.55072464],1
v4,1,5.9e-05,16.126625,[22 19] ; [83 14],[31.19565217  9.80434783] ; [73.80434783 23.19565217],1
p10,1,7.5e-05,15.672668,[12 27] ; [64 30],[22.28571429 16.71428571] ; [53.71428571 40.28571429],1
p8,1,0.002523,9.123651,[ 6 33] ; [41 55],[13.57777778 25.42222222] ; [33.42222222 62.57777778],0
a1,1,0.003876,8.341231,[ 6 35] ; [ 2 95],[ 2.37681159 38.62318841] ; [ 5.62318841 91.37681159],0
b1,1,0.004532,8.057152,[26 15] ; [36 61],[18.42028986 22.57971014] ; [43.57971014 53.42028986],0
p9,1,0.006318,7.457345,[21 19] ; [71 22],[27.66917293 12.33082707] ; [64.33082707 28.66917293],0
p2,1,0.008802,6.862629,[18 21] ; [68 29],[24.66176471 14.33823529] ; [61.33823529 35.66176471],0
n4,1,0.017247,5.671038,[20 21] ; [68 29],[26.14492754 14.85507246] ; [61.85507246 35.14492754],0
p4,1,0.019681,5.44,[ 9 31] ; [42 54],[15. 25.] ; [36. 60.],0
p3,1,0.022798,5.183806,[ 7 32] ; [37 60],[12.61764706 26.38235294] ; [31.38235294 65.61764706],0
r2,1,0.027705,4.846312,[24 16] ; [73 20],[29.17293233 10.82706767] ; [67.82706767 25.17293233],0
d5,1,0.083785,2.989912,[22 19] ; [67 30],[26.44202899 14.55797101] ; [62.55797101 34.44202899],0
b4,1,0.086336,2.941388,[18 23] ; [58 39],[22.57971014 18.42028986] ; [53.42028986 43.57971014],0
b5,1,0.092283,2.834097,[19 22] ; [60 37],[23.47101449 17.52898551] ; [55.52898551 41.47101449],0
d2,1,0.092463,2.830953,[21 20] ; [34 61],[16.58088235 24.41911765] ; [38.41911765 56.58088235],0
s1,1,0.122754,2.381825,[ 3 37] ; [ 2 95],[ 1.45985401 38.54014599] ; [ 3.54014599 93.45985401],0
p1,1,0.12796,2.317082,[ 7 34] ; [ 8 89],[ 4.45652174 36.54347826] ; [10.54347826 86.45652174],0
s7,1,0.143579,2.139176,[ 5 34] ; [22 69],[ 8.1 30.9] ; [18.9 72.1],0
n5,1,0.160501,1.969499,[24 17] ; [68 28],[27.53284672 13.46715328] ; [64.46715328 31.53284672],0
d4,1,0.212719,1.552821,[22 19] ; [63 34],[25.25362319 15.74637681] ; [59.74637681 37.25362319],0
s8,1,0.2451,1.351021,[ 3 38] ; [14 83],[ 5.05072464 35.94927536] ; [11.94927536 85.05072464],0
s6,1,0.248804,1.330008,[10 31] ; [33 63],[12.86861314 28.13138686] ; [30.13138686 65.86861314],0
d3,1,0.262424,1.255924,[16 24] ; [49 48],[18.97810219 21.02189781] ; [46.02189781 50.97810219],0
p7,1,0.265738,1.238616,[15 25] ; [46 50],[17.94117647 22.05882353] ; [43.05882353 52.94117647],0
s4,1,0.269232,1.220657,[ 7 34] ; [10 87],[ 5.05072464 35.94927536] ; [11.94927536 85.05072464],0
v2,1,0.314344,1.012335,[11 29] ; [35 61],[13.52941176 26.47058824] ; [32.47058824 63.52941176],0
n2,1,0.316463,1.003509,[11  9] ; [22 10],[12.69230769  7.30769231] ; [20.30769231 11.69230769],0
a8,1,0.33499,0.92951,[ 2 39] ; [ 9 82],[ 3.41666667 37.58333333] ; [ 7.58333333 83.41666667],0
n1,1,0.358152,0.844363,[ 9 10] ; [11 21],[ 7.45098039 11.54901961] ; [12.54901961 19.45098039],0
p5,1,0.40211,0.702008,[ 2 38] ; [ 9 88],[ 3.21167883 36.78832117] ; [ 7.78832117 89.21167883],0
n3,1,0.438716,0.59964,[13  7] ; [24  8],[14.23076923  5.76923077] ; [22.76923077  9.23076923],0
d1,1,0.440173,0.595831,[12 29] ; [35 62],[13.96376812 27.03623188] ; [33.03623188 63.96376812],0
