Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.8e-05,16.170868,[54  4] ; [44 26],[44.40625 13.59375] ; [53.59375 16.40625],1
r4,1,0.000114,14.896359,[49 10] ; [36 35],[38.57692308 20.42307692] ; [46.42307692 24.57692308],1
b1,1,0.001943,9.602701,[23 36] ; [47 24],[31.76923077 27.23076923] ; [38.23076923 32.76923077],0
v4,1,0.00495,7.897557,[51  7] ; [46 23],[44.2992126 13.7007874] ; [52.7007874 16.2992126],0
p10,1,0.005331,7.763749,[17 41] ; [ 7 63],[10.875 47.125] ; [13.125 56.875],0
n6,1,0.006964,7.282314,[44 15] ; [36 34],[36.58914729 22.41085271] ; [43.41085271 26.58914729],0
n3,1,0.014272,6.004188,[15  3] ; [17 18],[10.86792453  7.13207547] ; [21.13207547 13.86792453],0
p2,1,0.016753,5.722016,[34 25] ; [26 45],[27.23076923 31.76923077] ; [32.76923077 38.23076923],0
a1,1,0.019321,5.472269,[ 1 58] ; [ 9 62],[ 4.53846154 54.46153846] ; [ 5.46153846 65.53846154],0
s3,1,0.034213,4.484031,[28 30] ; [21 49],[22.203125 35.796875] ; [26.796875 43.203125],0
b4,1,0.039285,4.248508,[42 17] ; [38 33],[36.30769231 22.69230769] ; [43.69230769 27.30769231],0
s2,1,0.050382,3.828695,[20 37] ; [14 57],[15.140625 41.859375] ; [18.859375 52.140625],0
r2,1,0.051642,3.787321,[53  6] ; [53 16],[48.859375 10.140625] ; [57.140625 11.859375],0
s7,1,0.06258,3.467667,[18 38] ; [11 52],[13.64705882 42.35294118] ; [15.35294118 47.64705882],0
r1,1,0.062681,3.464988,[46 13] ; [44 26],[41.1627907 17.8372093] ; [48.8372093 21.1627907],0
n2,1,0.06589,3.382553,[13  4] ; [19 19],[9.89090909 7.10909091] ; [22.10909091 15.89090909],0
p7,1,0.141693,2.159477,[21 37] ; [17 53],[17.21875 40.78125] ; [20.78125 49.21875],0
s5,1,0.15514,2.020968,[14 44] ; [10 60],[10.875 47.125] ; [13.125 56.875],0
n4,1,0.169235,1.889709,[43 16] ; [43 27],[39.33333333 19.66666667] ; [46.66666667 23.33333333],0
s4,1,0.204138,1.612519,[ 6 52] ; [13 58],[ 8.54263566 49.45736434] ; [10.45736434 60.54263566],0
p4,1,0.234302,1.41455,[19 40] ; [16 54],[16.00775194 42.99224806] ; [18.99224806 51.00775194],0
p6,1,0.250162,1.322396,[ 9 50] ; [ 6 63],[ 6.9140625 52.0859375] ; [ 8.0859375 60.9140625],0
v1,1,0.259179,1.273135,[23 36] ; [21 50],[19.96923077 39.03076923] ; [24.03076923 46.96923077],0
u3,1,0.273322,1.2,[14 10] ; [13 17],[12. 12.] ; [15. 15.],0
a6,1,0.325814,0.965466,[35 24] ; [36 35],[32.22307692 26.77692308] ; [38.77692308 32.22307692],0
d5,1,0.364426,0.822583,[38 21] ; [51 20],[40.39230769 18.60769231] ; [48.60769231 22.39230769],0
v2,1,0.49053,0.475364,[22 34] ; [23 46],[20.16 35.84] ; [24.84 44.16],0
s8,1,0.494194,0.467383,[12 47] ; [11 59],[10.51937984 48.48062016] ; [12.48062016 57.51937984],0
v3,1,0.511528,0.43094,[19 40] ; [18 49],[17.32539683 41.67460317] ; [19.67460317 47.32539683],0
a5,1,0.552069,0.353624,[33 26] ; [36 35],[31.31538462 27.68461538] ; [37.68461538 33.31538462],0
d1,1,0.565056,0.331026,[22 37] ; [30 41],[23.6 35.4] ; [28.4 42.6],0
n1,1,0.577962,0.309541,[ 6 10] ; [11 26],[ 5.13207547 10.86792453] ; [11.86792453 25.13207547],0
a4,1,0.581952,0.303089,[26 32] ; [28 42],[24.46875 33.53125] ; [29.53125 40.46875],0
