Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000421,12.438237,[22  7] ; [ 9 21],[15.23728814 13.76271186] ; [15.76271186 14.23728814],1
a6,1,0.003971,8.297143,[18 12] ; [ 7 23],[12.5 17.5] ; [12.5 17.5],0
p11,1,0.018435,5.554286,[22  8] ; [13 17],[17.5 12.5] ; [17.5 12.5],0
a4,1,0.019517,5.454545,[12 18] ; [ 4 26],[ 8. 22.] ; [ 8. 22.],0
p8,1,0.03614,4.390475,[12 17] ; [ 5 25],[ 8.3559322 20.6440678] ; [ 8.6440678 21.3559322],0
p9,1,0.038273,4.292868,[21  7] ; [14 15],[17.19298246 10.80701754] ; [17.80701754 11.19298246],0
d5,1,0.070545,3.2703,[19 11] ; [12 18],[15.5 14.5] ; [15.5 14.5],0
s4,1,0.070645,3.267974,[ 2 28] ; [ 7 23],[ 4.5 25.5] ; [ 4.5 25.5],0
b2,1,0.094962,2.788175,[ 7 11] ; [ 3 17],[ 4.73684211 13.26315789] ; [ 5.26315789 14.73684211],0
b3,1,0.094962,2.788175,[ 7 11] ; [ 3 17],[ 4.73684211 13.26315789] ; [ 5.26315789 14.73684211],0
p7,1,0.113846,2.5,[15 15] ; [ 9 21],[12. 18.] ; [12. 18.],0
v4,1,0.118017,2.443439,[14 16] ; [20 10],[17. 13.] ; [17. 13.],0
a7,1,0.120507,2.410714,[17 13] ; [11 19],[14. 16.] ; [14. 16.],0
u2,1,0.121573,2.396939,[6 2] ; [ 9 12],[4.13793103 3.86206897] ; [10.86206897 10.13793103],0
n1,1,0.164725,1.930303,[5 6] ; [ 3 12],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
p10,1,0.188108,1.732378,[18 11] ; [13 16],[15.5 13.5] ; [15.5 13.5],0
b4,1,0.19043,1.714286,[15 15] ; [20 10],[17.5 12.5] ; [17.5 12.5],0
v3,1,0.196706,1.666667,[ 8 22] ; [ 4 26],[ 6. 24.] ; [ 6. 24.],0
s7,1,0.205916,1.599912,[ 8 17] ; [ 5 24],[ 6.01851852 18.98148148] ; [ 6.98148148 22.01851852],0
d1,1,0.242908,1.363636,[10 20] ; [ 6 24],[ 8. 22.] ; [ 8. 22.],0
d2,1,0.259796,1.269841,[11 19] ; [ 7 23],[ 9. 21.] ; [ 9. 21.],0
d4,1,0.273322,1.2,[22  8] ; [18 12],[20. 10.] ; [20. 10.],0
r1,1,0.273322,1.2,[12 18] ; [ 8 22],[10. 20.] ; [10. 20.],0
b5,1,0.3017,1.066667,[13 17] ; [17 13],[15. 15.] ; [15. 15.],0
r3,1,0.31392,1.014111,[21  8] ; [18 12],[19.16949153  9.83050847] ; [19.83050847 10.16949153],0
n3,1,0.315266,1.008485,[8 3] ; [8 7],[6.76923077 4.23076923] ; [9.23076923 5.76923077],0
r4,1,0.347164,0.883797,[ 8 22] ; [ 5 25],[ 6.5 23.5] ; [ 6.5 23.5],0
v1,1,0.390073,0.738714,[10 20] ; [ 7 23],[ 8.5 21.5] ; [ 8.5 21.5],0
a8,1,0.413361,0.669114,[ 4 24] ; [ 2 25],[ 3.05454545 24.94545455] ; [ 2.94545455 24.05454545],0
b1,1,0.432111,0.617143,[19 11] ; [16 14],[17.5 12.5] ; [17.5 12.5],0
p4,1,0.432111,0.617143,[14 16] ; [11 19],[12.5 17.5] ; [12.5 17.5],0
s5,1,0.447521,0.576923,[ 3 27] ; [ 5 25],[ 4. 26.] ; [ 4. 26.],0
n6,1,0.522869,0.40823,[17 12] ; [20 10],[18.18644068 10.81355932] ; [18.81355932 11.18644068],0
p3,1,0.541552,0.372671,[ 8 22] ; [ 6 24],[ 7. 23.] ; [ 7. 23.],0
n5,1,0.598161,0.277778,[19 11] ; [17 13],[18. 12.] ; [18. 12.],0
s6,1,0.598161,0.277778,[13 17] ; [11 19],[12. 18.] ; [12. 18.],0
s1,1,0.640429,0.218182,[ 3 27] ; [ 2 28],[ 2.5 27.5] ; [ 2.5 27.5],0
a1,1,0.640429,0.218182,[ 3 27] ; [ 2 28],[ 2.5 27.5] ; [ 2.5 27.5],0
p1,1,0.640429,0.218182,[ 3 27] ; [ 2 28],[ 2.5 27.5] ; [ 2.5 27.5],0
p5,1,0.652399,0.202889,[ 4 25] ; [ 3 27],[ 3.44067797 25.55932203] ; [ 3.55932203 26.44067797],0
s8,1,0.754001,0.0982,[ 7 23] ; [ 6 24],[ 6.5 23.5] ; [ 6.5 23.5],0
s3,1,0.764276,0.089922,[ 7 22] ; [ 8 21],[ 7.5 21.5] ; [ 7.5 21.5],0
v2,1,0.772989,0.083214,[ 9 20] ; [ 8 21],[ 8.5 20.5] ; [ 8.5 20.5],0
p2,1,0.793428,0.068571,[17 13] ; [18 12],[17.5 12.5] ; [17.5 12.5],0
d3,1,0.796143,0.066741,[15 15] ; [14 16],[14.5 15.5] ; [14.5 15.5],0
s2,1,0.80651,0.059991,[ 6 23] ; [ 7 23],[ 6.38983051 22.61016949] ; [ 6.61016949 23.38983051],0
u3,1,0.847486,0.03699,[2 6] ; [ 6 15],[2.20689655 5.79310345] ; [ 5.79310345 15.20689655],0
n2,1,0.850646,0.035455,[7 4] ; [9 6],[6.76923077 4.23076923] ; [9.23076923 5.76923077],0
n4,1,1.0,0.0,[17 13] ; [17 13],[17. 13.] ; [17. 13.],0
