Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,28.30944,[80  1] ; [7 5],[75.77419355  5.22580645] ; [11.22580645  0.77419355],1
r1,1,3e-06,21.993035,[65 15] ; [ 2 10],[58.26086957 21.73913043] ; [8.73913043 3.26086957],1
r3,1,5.9e-05,16.129887,[77  4] ; [7 5],[73.16129032  7.83870968] ; [10.83870968  1.16129032],1
p11,1,0.002087,9.471256,[62 19] ; [4 8],[57.48387097 23.51612903] ; [8.51612903 3.48387097],0
s8,1,0.020491,5.369571,[42 38] ; [ 2 10],[38.26086957 41.73913043] ; [5.73913043 6.26086957],0
s1,1,0.023675,5.11829,[ 2 79] ; [ 2 10],[ 3.48387097 77.51612903] ; [ 0.51612903 11.48387097],0
p8,1,0.033897,4.499897,[39 40] ; [ 2 10],[35.59340659 43.40659341] ; [5.40659341 6.59340659],0
n6,1,0.04307,4.092647,[62 18] ; [6 6],[59.13043478 20.86956522] ; [8.86956522 3.13043478],0
p7,1,0.056634,3.633313,[61 19] ; [6 6],[58.26086957 21.73913043] ; [8.73913043 3.26086957],0
d3,1,0.082372,3.017477,[39 42] ; [9 3],[41.80645161 39.19354839] ; [6.19354839 5.80645161],0
s5,1,0.100945,2.690548,[28 50] ; [1 9],[25.70454545 52.29545455] ; [3.29545455 6.70454545],0
p10,1,0.154162,2.030579,[60 20] ; [6 5],[58.02197802 21.97802198] ; [7.97802198 3.02197802],0
b1,1,0.201508,1.631411,[38 43] ; [8 4],[40.06451613 40.93548387] ; [5.93548387 6.06451613],0
a5,1,0.215772,1.532271,[61 20] ; [7 5],[59.22580645 21.77419355] ; [8.77419355 3.22580645],0
s6,1,0.24495,1.351881,[47 32] ; [5 7],[45.14285714 33.85714286] ; [6.85714286 5.14285714],0
p2,1,0.256835,1.285735,[60 21] ; [7 5],[58.35483871 22.64516129] ; [8.64516129 3.35483871],0
n5,1,0.273753,1.197843,[53 27] ; [6 6],[51.30434783 28.69565217] ; [7.69565217 4.30434783],0
s7,1,0.279277,1.170604,[38 41] ; [3 7],[36.39325843 42.60674157] ; [4.60674157 5.39325843],0
a7,1,0.29614,1.091496,[48 33] ; [9 3],[49.64516129 31.35483871] ; [7.35483871 4.64516129],0
b5,1,0.343428,0.897592,[52 29] ; [6 6],[50.51612903 30.48387097] ; [7.48387097 4.51612903],0
p9,1,0.365435,0.819128,[62 17] ; [8 4],[60.76923077 18.23076923] ; [9.23076923 2.76923077],0
d1,1,0.460052,0.545769,[38 43] ; [7 5],[39.19354839 41.80645161] ; [5.80645161 6.19354839],0
n4,1,0.474658,0.511111,[59 21] ; [10  2],[60. 20.] ; [9. 3.],0
a3,1,0.474658,0.511111,[59 21] ; [10  2],[60. 20.] ; [9. 3.],0
v2,1,0.479567,0.499848,[48 31] ; [6 6],[46.87912088 32.12087912] ; [7.12087912 4.87912088],0
u1,1,0.485442,0.486613,[13 68] ; [ 1 11],[12.19354839 68.80645161] ; [ 1.80645161 10.19354839],0
n2,1,0.496329,0.462778,[11  1] ; [4 1],[10.58823529  1.41176471] ; [4.41176471 0.58823529],0
a1,1,0.626523,0.236806,[ 4 77] ; [ 1 11],[ 4.35483871 76.64516129] ; [ 0.64516129 11.35483871],0
p5,1,0.626523,0.236806,[ 4 77] ; [ 1 11],[ 4.35483871 76.64516129] ; [ 0.64516129 11.35483871],0
a6,1,0.653425,0.201609,[52 28] ; [7 5],[51.30434783 28.69565217] ; [7.69565217 4.30434783],0
p1,1,0.676897,0.17364,[10 71] ; [ 2 10],[10.4516129 70.5483871] ; [ 1.5483871 10.4516129],0
n1,1,0.70663,0.141667,[6 6] ; [2 3],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
b4,1,0.733691,0.115749,[43 38] ; [7 5],[43.5483871 37.4516129] ; [6.4516129 5.5483871],0
s3,1,0.733691,0.115749,[43 38] ; [7 5],[43.5483871 37.4516129] ; [6.4516129 5.5483871],0
a2,1,0.752218,0.099677,[17 64] ; [3 9],[17.41935484 63.58064516] ; [2.58064516 9.41935484],0
s4,1,0.773539,0.082799,[11 70] ; [ 2 10],[11.32258065 69.67741935] ; [ 1.67741935 10.32258065],0
b2,1,0.780619,0.077569,[24 32] ; [2 2],[24.26666667 31.73333333] ; [1.73333333 2.26666667],0
b3,1,0.780619,0.077569,[24 32] ; [2 2],[24.26666667 31.73333333] ; [1.73333333 2.26666667],0
a8,1,0.789172,0.071495,[ 9 67] ; [ 1 10],[ 8.73563218 67.26436782] ; [1.26436782 9.73563218],0
d2,1,0.828492,0.046931,[36 44] ; [5 7],[35.65217391 44.34782609] ; [5.34782609 6.65217391],0
p6,1,0.852369,0.034632,[19 58] ; [3 8],[19.25 57.75] ; [2.75 8.25],0
v1,1,0.863838,0.029409,[44 35] ; [7 5],[44.27472527 34.72527473] ; [6.72527473 5.27472527],0
d5,1,0.906545,0.013782,[62 19] ; [9 3],[61.83870968 19.16129032] ; [9.16129032 2.83870968],0
v3,1,0.928733,0.007999,[34 45] ; [5 7],[33.85714286 45.14285714] ; [5.14285714 6.85714286],0
a4,1,0.983867,0.000409,[34 47] ; [5 7],[33.96774194 47.03225806] ; [5.03225806 6.96774194],0
s2,1,0.983867,0.000409,[34 47] ; [5 7],[33.96774194 47.03225806] ; [5.03225806 6.96774194],0
