Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5e-06,20.880682,[51 81] ; [47 17],[66. 66.] ; [32. 32.],1
p7,1,6e-06,20.585848,[60 69] ; [51 12],[74.578125 54.421875] ; [36.421875 26.578125],1
p8,1,0.00031,13.007732,[52 79] ; [43 21],[63.82051282 67.17948718] ; [31.17948718 32.82051282],1
n5,1,0.001264,10.393799,[84 48] ; [55  9],[93.6122449 38.3877551] ; [45.3877551 18.6122449],0
s7,1,0.001556,10.011053,[38 91] ; [32 28],[47.77777778 81.22222222] ; [22.22222222 37.77777778],0
p3,1,0.006825,7.318501,[42 91] ; [33 31],[50.63451777 82.36548223] ; [24.36548223 39.63451777],0
p5,1,0.012671,6.214457,[  9 121] ; [12 52],[ 14.07216495 115.92783505] ; [ 6.92783505 57.07216495],0
p1,1,0.01355,6.095804,[  8 124] ; [11 53],[ 12.79591837 119.20408163] ; [ 6.20408163 57.79591837],0
s8,1,0.020187,5.39568,[38 95] ; [29 35],[45.23350254 87.76649746] ; [21.76649746 42.23350254],0
d5,1,0.021517,5.284444,[79 54] ; [48 15],[86.17857143 46.82142857] ; [40.82142857 22.17857143],0
a3,1,0.037311,4.336155,[54 77] ; [36 27],[60.77319588 70.22680412] ; [29.22680412 33.77319588],0
b3,1,0.03989,4.222556,[13 52] ; [15 24],[17.5 47.5] ; [10.5 28.5],0
b2,1,0.03989,4.222556,[13 52] ; [15 24],[17.5 47.5] ; [10.5 28.5],0
p2,1,0.040134,4.212193,[104  28] ; [58  6],[109.10204082  22.89795918] ; [52.89795918 11.10204082],0
n4,1,0.040743,4.186679,[80 53] ; [48 16],[86.41624365 46.58375635] ; [41.58375635 22.41624365],0
p12,1,0.048519,3.891921,[  5 128] ; [ 7 57],[  8.10152284 124.89847716] ; [ 3.89847716 60.10152284],0
s6,1,0.050259,3.832802,[72 60] ; [43 19],[78.24742268 53.75257732] ; [36.75257732 25.24742268],0
r4,1,0.054457,3.698646,[106  27] ; [58  6],[110.72081218  22.27918782] ; [53.27918782 10.72081218],0
n1,1,0.066212,3.374508,[ 9 22] ; [10  8],[12.02040816 18.97959184] ; [ 6.97959184 11.02040816],0
