Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.015534,5.854915,[4 2] ; [ 3 16],[1.68 4.32] ; [ 5.32 13.68],0
d3,1,0.026721,4.908766,[10  3] ; [18 25],[6.5 6.5] ; [21.5 21.5],0
a2,1,0.041198,4.167835,[ 3 10] ; [ 2 41],[ 1.16071429 11.83928571] ; [ 3.83928571 39.16071429],0
d4,1,0.044045,4.054834,[11  2] ; [23 20],[7.89285714 5.10714286] ; [26.10714286 16.89285714],0
u1,1,0.066897,3.357568,[ 2 11] ; [ 1 42],[ 0.69642857 12.30357143] ; [ 2.30357143 40.69642857],0
s7,1,0.069975,3.2836,[5 8] ; [ 6 34],[ 2.69811321 10.30188679] ; [ 8.30188679 31.69811321],0
n2,1,0.080123,3.062402,[5 1] ; [ 9 12],[3.11111111 2.88888889] ; [10.88888889 10.11111111],0
s6,1,0.083465,2.996104,[7 6] ; [12 31],[4.41071429 8.58928571] ; [14.58928571 28.41071429],0
v2,1,0.083465,2.996104,[7 6] ; [12 31],[4.41071429 8.58928571] ; [14.58928571 28.41071429],0
a3,1,0.083522,2.995003,[9 4] ; [18 25],[6.26785714 6.73214286] ; [20.73214286 22.26785714],0
a6,1,0.100045,2.70483,[10  3] ; [22 21],[7.42857143 5.57142857] ; [24.57142857 18.42857143],0
b4,1,0.113524,2.504472,[4 9] ; [24 19],[6.5 6.5] ; [21.5 21.5],0
r3,1,0.132322,2.265046,[10  3] ; [23 20],[7.66071429 5.33928571] ; [25.33928571 17.66071429],0
d5,1,0.172069,1.864827,[10  3] ; [24 19],[7.89285714 5.10714286] ; [26.10714286 16.89285714],0
s2,1,0.20084,1.636255,[5 8] ; [ 9 34],[3.25 9.75] ; [10.75 32.25],0
p3,1,0.205439,1.603278,[5 7] ; [10 33],[3.27272727 8.72727273] ; [11.72727273 31.27272727],0
p11,1,0.21993,1.504826,[7 6] ; [15 28],[5.10714286 7.89285714] ; [16.89285714 26.10714286],0
s3,1,0.237744,1.393921,[6 7] ; [12 30],[4.25454545 8.74545455] ; [13.74545455 28.25454545],0
v3,1,0.249192,1.327826,[4 9] ; [ 7 36],[ 2.55357143 10.44642857] ; [ 8.44642857 34.55357143],0
a7,1,0.272562,1.20381,[8 5] ; [19 24],[6.26785714 6.73214286] ; [20.73214286 22.26785714],0
a5,1,0.285322,1.141564,[7 6] ; [16 27],[5.33928571 7.66071429] ; [17.66071429 25.33928571],0
r2,1,0.313817,1.014542,[7 6] ; [29 13],[8.50909091 4.49090909] ; [27.49090909 14.50909091],0
n6,1,0.355374,0.854174,[9 4] ; [23 19],[7.56363636 5.43636364] ; [24.43636364 17.56363636],0
s1,1,0.366372,0.815934,[ 2 11] ; [ 3 39],[ 1.18181818 11.81818182] ; [ 3.81818182 38.18181818],0
d1,1,0.370002,0.803657,[6 7] ; [14 29],[4.64285714 8.35714286] ; [15.35714286 27.64285714],0
d2,1,0.380335,0.769618,[5 8] ; [22 20],[6.38181818 6.61818182] ; [20.61818182 21.38181818],0
n4,1,0.421921,0.644958,[8 5] ; [21 22],[6.73214286 6.26785714] ; [22.26785714 20.73214286],0
b1,1,0.421921,0.644958,[8 5] ; [21 22],[6.73214286 6.26785714] ; [22.26785714 20.73214286],0
s4,1,0.445429,0.582256,[ 2 11] ; [11 32],[3.01785714 9.98214286] ; [ 9.98214286 33.01785714],0
p4,1,0.462033,0.540966,[6 7] ; [15 28],[4.875 8.125] ; [16.125 26.875],0
n5,1,0.642821,0.215071,[6 7] ; [23 20],[6.73214286 6.26785714] ; [22.26785714 20.73214286],0
v4,1,0.671097,0.180322,[9 4] ; [27 16],[8.35714286 4.64285714] ; [27.64285714 15.35714286],0
b2,1,0.673633,0.177381,[3 5] ; [ 8 19],[2.51428571 5.48571429] ; [ 8.48571429 18.51428571],0
b3,1,0.673633,0.177381,[3 5] ; [ 8 19],[2.51428571 5.48571429] ; [ 8.48571429 18.51428571],0
b5,1,0.751615,0.100179,[7 6] ; [21 22],[6.5 6.5] ; [21.5 21.5],0
u3,1,0.778733,0.078944,[1 3] ; [ 8 17],[1.24137931 2.75862069] ; [ 7.75862069 17.24137931],0
p2,1,0.784003,0.075134,[6 7] ; [18 25],[5.57142857 7.42857143] ; [18.42857143 24.57142857],0
p6,1,0.792978,0.068878,[3 9] ; [ 9 33],[2.66666667 9.33333333] ; [ 9.33333333 32.66666667],0
u2,1,0.823218,0.049911,[1 2] ; [10 15],[1.17857143 1.82142857] ; [ 9.82142857 15.17857143],0
p8,1,0.878819,0.023246,[4 9] ; [12 30],[3.78181818 9.21818182] ; [12.21818182 29.78181818],0
a4,1,0.878819,0.023246,[4 9] ; [12 30],[3.78181818 9.21818182] ; [12.21818182 29.78181818],0
