Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.012649,6.217578,[13 11] ; [23 62],[ 7.9266055 16.0733945] ; [28.0733945 56.9266055],0
a2,1,0.040853,4.182091,[ 5 19] ; [ 6 82],[ 2.35714286 21.64285714] ; [ 8.64285714 79.35714286],0
p1,1,0.040853,4.182091,[ 5 19] ; [ 6 82],[ 2.35714286 21.64285714] ; [ 8.64285714 79.35714286],0
d3,1,0.044469,4.038647,[17  7] ; [42 46],[12.64285714 11.35714286] ; [46.35714286 41.64285714],0
b1,1,0.065436,3.393939,[ 8 16] ; [48 40],[12. 12.] ; [44. 44.],0
a3,1,0.073008,3.214073,[18  6] ; [47 39],[14.18181818  9.81818182] ; [50.81818182 35.18181818],0
d5,1,0.08706,2.927906,[18  6] ; [49 39],[14.35714286  9.64285714] ; [52.64285714 35.35714286],0
a7,1,0.091435,2.84893,[15  8] ; [40 48],[11.3963964 11.6036036] ; [43.6036036 44.3963964],0
d1,1,0.092182,2.835845,[13 11] ; [31 57],[ 9.42857143 14.57142857] ; [34.57142857 53.42857143],0
v1,1,0.111049,2.539223,[11 13] ; [24 60],[ 7.77777778 16.22222222] ; [27.22222222 56.77777778],0
r2,1,0.117902,2.444972,[16  7] ; [42 40],[12.7047619 10.2952381] ; [45.2952381 36.7047619],0
d4,1,0.121865,2.393185,[19  4] ; [58 30],[15.95495495  7.04504505] ; [61.04504505 26.95495495],0
s8,1,0.130332,2.288545,[ 6 18] ; [11 77],[ 3.64285714 20.35714286] ; [13.35714286 74.64285714],0
a6,1,0.187078,1.740482,[14 10] ; [38 50],[11.14285714 12.85714286] ; [40.85714286 47.14285714],0
b2,1,0.196492,1.668257,[5 5] ; [17 41],[3.23529412 6.76470588] ; [18.76470588 39.23529412],0
b3,1,0.196492,1.668257,[5 5] ; [17 41],[3.23529412 6.76470588] ; [18.76470588 39.23529412],0
d2,1,0.216632,1.526544,[12 11] ; [33 54],[ 9.40909091 13.59090909] ; [35.59090909 51.40909091],0
