Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9e-06,19.632063,[13 25] ; [39  9],[22.97674419 15.02325581] ; [29.02325581 18.97674419],1
a4,1,0.025124,5.015297,[ 7 31] ; [20 29],[11.79310345 26.20689655] ; [15.20689655 33.79310345],0
s7,1,0.027802,4.840313,[ 9 28] ; [22 24],[13.81927711 23.18072289] ; [17.18072289 28.81927711],0
d2,1,0.040788,4.184815,[10 28] ; [23 25],[14.58139535 23.41860465] ; [18.41860465 29.58139535],0
n2,1,0.042082,4.131892,[12 10] ; [19  4],[15.15555556  6.84444444] ; [15.84444444  7.15555556],0
a5,1,0.060183,3.532331,[14 24] ; [28 21],[18.34482759 19.65517241] ; [23.65517241 25.34482759],0
u3,1,0.062799,3.461869,[12  8] ; [ 5 12],[ 9.18918919 10.81081081] ; [7.81081081 9.18918919],0
s6,1,0.068873,3.309672,[12 26] ; [25 24],[16.16091954 21.83908046] ; [20.83908046 28.16091954],0
n6,1,0.076389,3.140096,[21 17] ; [36 13],[24.89655172 13.10344828] ; [32.10344828 16.89655172],0
p11,1,0.08478,2.97079,[17 21] ; [31 18],[20.96551724 17.03448276] ; [27.03448276 21.96551724],0
n3,1,0.101647,2.679506,[10 12] ; [16  7],[12.71111111  9.28888889] ; [13.28888889  9.71111111],0
v3,1,0.109046,2.567997,[ 6 32] ; [15 34],[ 9.17241379 28.82758621] ; [11.82758621 37.17241379],0
a3,1,0.175261,1.837361,[18 19] ; [31 18],[21.08139535 15.91860465] ; [27.91860465 21.08139535],0
a6,1,0.1806,1.792679,[17 21] ; [29 20],[20.09195402 17.90804598] ; [25.90804598 23.09195402],0
n1,1,0.234782,1.411655,[ 5 17] ; [ 9 14],[ 6.84444444 15.15555556] ; [ 7.15555556 15.84444444],0
a7,1,0.244312,1.355537,[23 15] ; [23 25],[20.3255814 17.6744186] ; [25.6744186 22.3255814],0
