Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.287799,[92  8] ; [19 13],[84.09090909 15.90909091] ; [26.90909091  5.09090909],1
v4,1,0.002094,9.465366,[97  3] ; [26  6],[93.18181818  6.81818182] ; [29.81818182  2.18181818],0
a5,1,0.003571,8.489926,[77 23] ; [16 16],[70.45454545 29.54545455] ; [22.54545455  9.45454545],0
v2,1,0.012252,6.273982,[78 21] ; [18 14],[72.54961832 26.45038168] ; [23.45038168  8.54961832],0
p1,1,0.028985,4.7685,[ 6 94] ; [ 6 26],[ 9.09090909 90.90909091] ; [ 2.90909091 29.09090909],0
s2,1,0.032032,4.59677,[53 47] ; [10 22],[47.72727273 52.27272727] ; [15.27272727 16.72727273],0
a8,1,0.046208,3.974006,[16 75] ; [ 1 30],[12.68032787 78.31967213] ; [ 4.31967213 26.68032787],0
p10,1,0.047721,3.919783,[79 20] ; [20 12],[74.81679389 24.18320611] ; [24.18320611  7.81679389],0
r3,1,0.050186,3.835221,[94  5] ; [27  5],[91.44274809  7.55725191] ; [29.55725191  2.44274809],0
s8,1,0.063732,3.4375,[50 50] ; [10 22],[45.45454545 54.54545455] ; [14.54545455 17.45454545],0
n5,1,0.114501,2.490968,[74 26] ; [19 13],[70.45454545 29.54545455] ; [22.54545455  9.45454545],0
u3,1,0.129873,2.294021,[18 11] ; [3 6],[16.02631579 12.97368421] ; [4.97368421 4.02631579],0
s7,1,0.138182,2.198083,[49 44] ; [12 20],[45.384 47.616] ; [15.616 16.384],0
s6,1,0.138572,2.19375,[65 35] ; [15 15],[61.53846154 38.46153846] ; [18.46153846 11.53846154],0
s3,1,0.154806,2.024248,[54 44] ; [13 19],[50.50769231 47.49230769] ; [16.49230769 15.50769231],0
s5,1,0.156023,2.012351,[25 72] ; [ 4 26],[22.1496063 74.8503937] ; [ 6.8503937 23.1496063],0
p7,1,0.161969,1.955749,[50 44] ; [12 19],[46.624 47.376] ; [15.376 15.624],0
s4,1,0.16602,1.918519,[12 88] ; [ 7 25],[14.39393939 85.60606061] ; [ 4.60606061 27.39393939],0
a4,1,0.177238,1.820632,[48 52] ; [11 21],[44.6969697 55.3030303] ; [14.3030303 17.6969697],0
p6,1,0.195216,1.677807,[16 83] ; [ 8 22],[18.41860465 80.58139535] ; [ 5.58139535 24.41860465],0
p11,1,0.200285,1.640294,[77 23] ; [21 11],[74.24242424 25.75757576] ; [23.75757576  8.24242424],0
r2,1,0.222192,1.490156,[98  2] ; [30  2],[96.96969697  3.03030303] ; [31.03030303  0.96969697],0
b1,1,0.226201,1.464593,[40 60] ; [ 9 23],[37.12121212 62.87878788] ; [11.87878788 20.12121212],0
d1,1,0.226848,1.460516,[56 44] ; [14 18],[53.03030303 46.96969697] ; [16.96969697 15.03030303],0
b3,1,0.23219,1.427397,[18 38] ; [ 9 10],[20.16 35.84] ; [ 6.84 12.16],0
b2,1,0.23219,1.427397,[18 38] ; [ 9 10],[20.16 35.84] ; [ 6.84 12.16],0
p9,1,0.25623,1.289014,[79 19] ; [22  9],[76.72868217 21.27131783] ; [24.27131783  6.72868217],0
a6,1,0.337024,0.921721,[65 34] ; [18 14],[62.72519084 36.27480916] ; [20.27480916 11.72519084],0
s1,1,0.346937,0.884628,[ 8 90] ; [ 1 30],[ 6.8372093 91.1627907] ; [ 2.1627907 28.8372093],0
u4,1,0.391714,0.733615,[ 1 99] ; [ 1 31],[ 1.51515152 98.48484848] ; [ 0.48484848 31.51515152],0
n3,1,0.407016,0.6875,[15  7] ; [9 2],[16.  6.] ; [8. 3.],0
a1,1,0.440876,0.594,[ 8 92] ; [ 4 28],[ 9.09090909 90.90909091] ; [ 2.90909091 29.09090909],0
p2,1,0.448253,0.575064,[69 30] ; [20 12],[67.25954198 31.74045802] ; [21.74045802 10.25954198],0
a7,1,0.497161,0.460992,[68 31] ; [24  8],[69.52671756 29.47328244] ; [22.47328244  9.52671756],0
n6,1,0.533726,0.387292,[83 17] ; [25  7],[81.81818182 18.18181818] ; [26.18181818  5.81818182],0
u2,1,0.538197,0.378892,[18 11] ; [4 4],[17.24324324 11.75675676] ; [4.75675676 3.24324324],0
d4,1,0.549904,0.35749,[82 17] ; [25  7],[80.86259542 18.13740458] ; [26.13740458  5.86259542],0
d2,1,0.563808,0.333154,[46 53] ; [13 19],[44.58778626 54.41221374] ; [14.41221374 17.58778626],0
a2,1,0.58248,0.302243,[20 80] ; [ 5 27],[18.93939394 81.06060606] ; [ 6.06060606 25.93939394],0
d5,1,0.63904,0.22,[76 24] ; [23  9],[75. 25.] ; [24.  8.],0
v1,1,0.700406,0.148049,[55 44] ; [16 15],[54.06923077 44.93076923] ; [16.93076923 14.06923077],0
b5,1,0.711807,0.136479,[62 38] ; [21 11],[62.87878788 37.12121212] ; [20.12121212 11.87878788],0
n1,1,0.71271,0.135585,[ 5 16] ; [3 7],[ 5.41935484 15.58064516] ; [2.58064516 7.41935484],0
b4,1,0.788178,0.072187,[63 37] ; [21 11],[63.63636364 36.36363636] ; [20.36363636 11.63636364],0
n2,1,0.788821,0.071739,[15  7] ; [8 3],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
p8,1,0.797989,0.065511,[32 65] ; [11 20],[32.5859375 64.4140625] ; [10.4140625 20.5859375],0
p5,1,0.814249,0.0552,[ 4 95] ; [ 1 31],[ 3.77862595 95.22137405] ; [ 1.22137405 30.77862595],0
p3,1,0.814797,0.05487,[30 69] ; [ 9 23],[29.47328244 69.52671756] ; [ 9.52671756 22.47328244],0
n4,1,0.816305,0.053964,[77 23] ; [24  8],[76.51515152 23.48484848] ; [24.48484848  7.51515152],0
d3,1,0.87798,0.023571,[64 36] ; [20 12],[63.63636364 36.36363636] ; [20.36363636 11.63636364],0
a3,1,0.986245,0.000297,[71 28] ; [23  9],[71.03816794 27.96183206] ; [22.96183206  9.03816794],0
