Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000158,14.271169,[72 21] ; [ 9 15],[64.38461538 28.61538462] ; [16.61538462  7.38461538],1
a5,1,0.000168,14.155677,[69 24] ; [ 8 16],[61.20512821 31.79487179] ; [15.79487179  8.20512821],1
r4,1,0.003994,8.286485,[79 14] ; [14 10],[73.92307692 19.07692308] ; [19.07692308  4.92307692],0
n4,1,0.004746,7.973895,[64 29] ; [ 9 15],[58.02564103 34.97435897] ; [14.97435897  9.02564103],0
p4,1,0.007855,7.066192,[59 34] ; [ 8 16],[53.25641026 39.74358974] ; [13.74358974 10.25641026],0
p10,1,0.015347,5.876154,[77 16] ; [13  9],[72.7826087 20.2173913] ; [17.2173913  4.7826087],0
r1,1,0.022049,5.241935,[69 24] ; [12 12],[64.38461538 28.61538462] ; [16.61538462  7.38461538],0
p9,1,0.022299,5.222273,[79 14] ; [14  8],[75.20869565 17.79130435] ; [17.79130435  4.20869565],0
u2,1,0.02487,5.032887,[12 23] ; [8 3],[15.2173913 19.7826087] ; [4.7826087 6.2173913],0
r2,1,0.047403,3.931028,[85  7] ; [18  5],[82.4  9.6] ; [20.6  2.4],0
s6,1,0.054135,3.708517,[75 15] ; [15  8],[71.68141593 18.31858407] ; [18.31858407  4.68141593],0
a2,1,0.072068,3.235276,[18 75] ; [ 1 23],[15.1025641 77.8974359] ; [ 3.8974359 20.1025641],0
p11,1,0.093135,2.819329,[67 26] ; [13 11],[63.58974359 29.41025641] ; [16.41025641  7.58974359],0
p8,1,0.094632,2.793755,[48 45] ; [ 7 15],[44.47826087 48.52173913] ; [10.52173913 11.47826087],0
n3,1,0.097254,2.75,[18  4] ; [6 5],[16.  6.] ; [8. 3.],0
d1,1,0.129745,2.295554,[51 42] ; [ 9 15],[47.69230769 45.30769231] ; [12.30769231 11.69230769],0
d2,1,0.219188,1.509677,[44 49] ; [ 8 16],[41.33333333 51.66666667] ; [10.66666667 13.33333333],0
p6,1,0.240424,1.378104,[36 57] ; [12 11],[38.48275862 54.51724138] ; [ 9.51724138 13.48275862],0
a7,1,0.248851,1.329744,[65 27] ; [14 10],[62.65517241 29.34482759] ; [16.34482759  7.65517241],0
b4,1,0.282329,1.155847,[54 39] ; [11 13],[51.66666667 41.33333333] ; [13.33333333 10.66666667],0
u1,1,0.282875,1.153226,[16 77] ; [ 2 22],[14.30769231 78.69230769] ; [ 3.69230769 20.30769231],0
v4,1,0.290007,1.11959,[87  6] ; [20  3],[85.78448276  7.21551724] ; [21.21551724  1.78448276],0
v1,1,0.296344,1.090573,[42 51] ; [ 8 16],[39.74358974 53.25641026] ; [10.25641026 13.74358974],0
r3,1,0.302667,1.062406,[83  9] ; [19  4],[81.6 10.4] ; [20.4  2.6],0
s7,1,0.305797,1.04874,[48 42] ; [15  8],[50.17699115 39.82300885] ; [12.82300885 10.17699115],0
p3,1,0.340154,0.90985,[45 48] ; [ 9 15],[42.92307692 50.07692308] ; [11.07692308 12.92307692],0
p7,1,0.372649,0.794813,[55 36] ; [11 11],[53.15044248 37.84955752] ; [12.84955752  9.15044248],0
b2,1,0.384851,0.755148,[ 9 41] ; [ 4 10],[10.15625 39.84375] ; [ 2.84375 11.15625],0
b3,1,0.384851,0.755148,[ 9 41] ; [ 4 10],[10.15625 39.84375] ; [ 2.84375 11.15625],0
a4,1,0.390165,0.738429,[40 53] ; [ 8 16],[38.15384615 54.84615385] ; [ 9.84615385 14.15384615],0
a3,1,0.463471,0.537499,[58 35] ; [13 11],[56.43589744 36.56410256] ; [14.56410256  9.43589744],0
b1,1,0.463471,0.537499,[35 58] ; [11 13],[36.56410256 56.43589744] ; [ 9.43589744 14.56410256],0
u3,1,0.548819,0.359437,[22 13] ; [8 3],[22.82608696 12.17391304] ; [7.17391304 3.82608696],0
b5,1,0.575403,0.313725,[60 33] ; [14 10],[58.82051282 34.17948718] ; [15.17948718  8.82051282],0
d4,1,0.614915,0.253079,[69 24] ; [19  5],[69.94871795 23.05128205] ; [18.05128205  5.94871795],0
s8,1,0.758712,0.094355,[42 51] ; [10 14],[41.33333333 51.66666667] ; [10.66666667 13.33333333],0
p2,1,0.769823,0.085618,[71 22] ; [19  5],[71.53846154 21.46153846] ; [18.46153846  5.53846154],0
s3,1,0.771535,0.084314,[63 30] ; [17  7],[63.58974359 29.41025641] ; [16.41025641  7.58974359],0
s2,1,0.784587,0.074718,[64 28] ; [16  8],[63.44827586 28.55172414] ; [16.55172414  7.44827586],0
n1,1,0.794003,0.068182,[ 7 15] ; [4 7],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
d5,1,0.822418,0.050372,[71 21] ; [18  6],[70.5862069 21.4137931] ; [18.4137931  5.5862069],0
a8,1,0.82971,0.046257,[ 3 85] ; [ 1 22],[ 3.17117117 84.82882883] ; [ 0.82882883 22.17117117],0
p1,1,0.840582,0.040461,[ 9 84] ; [ 2 22],[ 8.74358974 84.25641026] ; [ 2.25641026 21.74358974],0
a6,1,0.866861,0.028106,[56 37] ; [14 10],[55.64102564 37.35897436] ; [14.35897436  9.64102564],0
s5,1,0.963268,0.002121,[40 45] ; [10 11],[40.09433962 44.90566038] ; [ 9.90566038 11.09433962],0
v2,1,0.975713,0.000927,[31 59] ; [ 8 15],[31.0619469 58.9380531] ; [ 7.9380531 15.0619469],0
d3,1,0.986146,0.000301,[65 27] ; [17  7],[65.03448276 26.96551724] ; [16.96551724  7.03448276],0
n2,1,1.0,0.0,[16  6] ; [8 3],[16.  6.] ; [8. 3.],0
