Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.1e-05,19.403062,[26 42] ; [28  5],[36.35643564 31.64356436] ; [17.64356436 15.35643564],1
p3,1,5.9e-05,16.127104,[23 46] ; [25  8],[32.47058824 36.52941176] ; [15.52941176 17.47058824],1
p12,1,0.000232,13.553411,[ 2 66] ; [ 9 24],[ 7.40594059 60.59405941] ; [ 3.59405941 29.40594059],1
p4,1,0.000379,12.632572,[28 40] ; [26  7],[36.35643564 31.64356436] ; [17.64356436 15.35643564],1
p8,1,0.000435,12.37758,[30 37] ; [27  6],[38.19 28.81] ; [18.81 14.19],1
p5,1,0.006582,7.383568,[ 5 63] ; [ 9 24],[ 9.42574257 58.57425743] ; [ 4.57425743 28.42574257],0
a7,1,0.012857,6.188746,[41 27] ; [28  5],[46.45544554 21.54455446] ; [22.54455446 10.45544554],0
p2,1,0.016429,5.756345,[45 24] ; [29  4],[50.05882353 18.94117647] ; [23.94117647  9.05882353],0
p10,1,0.018818,5.518334,[47 21] ; [29  3],[51.68 16.32] ; [24.32  7.68],0
p1,1,0.026066,4.951627,[ 7 62] ; [ 9 24],[10.82352941 58.17647059] ; [ 5.17647059 27.82352941],0
s2,1,0.033137,4.538692,[27 41] ; [20 12],[31.96 36.04] ; [15.04 16.96],0
p9,1,0.040171,4.210658,[49 18] ; [30  3],[52.93 14.07] ; [26.07  6.93],0
n6,1,0.040171,4.210658,[49 18] ; [30  3],[52.93 14.07] ; [26.07  6.93],0
s7,1,0.043263,4.085106,[28 36] ; [21 11],[32.66666667 31.33333333] ; [16.33333333 15.66666667],0
a6,1,0.054233,3.705511,[46 23] ; [28  5],[50.05882353 18.94117647] ; [23.94117647  9.05882353],0
s5,1,0.058605,3.576438,[17 51] ; [14 18],[21.08 46.92] ; [ 9.92 22.08],0
v2,1,0.064299,3.422872,[27 39] ; [20 13],[31.33333333 34.66666667] ; [15.66666667 17.33333333],0
d4,1,0.078951,3.086355,[40 29] ; [13 20],[35.85294118 33.14705882] ; [17.14705882 15.85294118],0
r1,1,0.081605,3.032642,[52 16] ; [30  3],[55.20792079 12.79207921] ; [26.79207921  6.20792079],0
r4,1,0.088208,2.906783,[56 13] ; [31  2],[58.85294118 10.14705882] ; [28.14705882  4.85294118],0
n4,1,0.103178,2.65572,[45 23] ; [27  6],[48.47524752 19.52475248] ; [23.52475248  9.47524752],0
v3,1,0.111141,2.537924,[23 43] ; [17 16],[26.66666667 39.33333333] ; [13.33333333 19.66666667],0
s8,1,0.151535,2.056734,[21 47] ; [15 18],[24.23762376 43.76237624] ; [11.76237624 21.23762376],0
r2,1,0.154492,2.027329,[57 11] ; [31  2],[59.24752475  8.75247525] ; [28.75247525  4.24752475],0
p11,1,0.167747,1.902959,[50 19] ; [28  5],[52.76470588 16.23529412] ; [25.23529412  7.76470588],0
n5,1,0.176157,1.829754,[47 21] ; [27  6],[49.82178218 18.17821782] ; [24.17821782  8.82178218],0
b1,1,0.289941,1.119895,[32 37] ; [19 14],[34.5 34.5] ; [16.5 16.5],0
s3,1,0.331352,0.943608,[36 33] ; [20 12],[38.25742574 30.74257426] ; [17.74257426 14.25742574],0
s6,1,0.346829,0.885026,[36 31] ; [21 12],[38.19 28.81] ; [18.81 14.19],0
a2,1,0.346873,0.884862,[11 58] ; [ 3 30],[ 9.47058824 59.52941176] ; [ 4.52941176 28.47058824],0
v4,1,0.368014,0.810358,[60  8] ; [31  2],[61.26732673  6.73267327] ; [29.73267327  3.26732673],0
u1,1,0.397218,0.716733,[ 5 64] ; [ 1 32],[ 4.05882353 64.94117647] ; [ 1.94117647 31.05882353],0
d2,1,0.428131,0.627888,[22 47] ; [ 8 25],[20.29411765 48.70588235] ; [ 9.70588235 23.29411765],0
a8,1,0.461478,0.542308,[10 54] ; [ 3 27],[ 8.85106383 55.14893617] ; [ 4.14893617 25.85106383],0
a4,1,0.481188,0.496169,[22 47] ; [ 8 24],[20.4950495 48.5049505] ; [ 9.5049505 22.4950495],0
s4,1,0.513649,0.426627,[11 58] ; [ 7 26],[12.17647059 56.82352941] ; [ 5.82352941 27.17647059],0
u3,1,0.528871,0.396561,[12 11] ; [7 4],[12.85294118 10.14705882] ; [6.14705882 4.85294118],0
